1_topic,1_weight,2_topic,2_weight,3_topic,3_weight,4_topic,4_weight
야구,0.075133561,결제,0.063911548,자막,0.072690585,화면,0.046509604
경기,0.042859426,돈,0.040362444,영화,0.03964681,불편,0.034117326
화질,0.037854848,로그인,0.039528957,드라마,0.033719043,재생,0.033130261
시청,0.036959975,회원,0.024275566,컨텐츠,0.025160576,업데이트,0.032959925
팀,0.030144136,가입,0.020808209,확인,0.019466459,영상,0.025238434
중계,0.026172071,오류,0.019773845,설정,0.014678254,시청,0.016257416
실시간,0.020331893,구매,0.017662017,시즌,0.013458521,연동,0.016076436
동시,0.020315907,구독,0.015569422,콘텐츠,0.012168297,회차,0.013652979
확인,0.020182278,환불,0.013487577,배속,0.010751983,티비,0.013058255
방송,0.015885405,인증,0.013409874,불편,0.010560383,문제,0.012636217
가능,0.014182202,무료,0.012158457,추가,0.010324752,개선,0.012539123
채널,0.012473969,취소,0.011693984,작품,0.010204065,오류,0.011006815
편리,0.01187293,해지,0.011201866,예능,0.008576841,조절,0.010446109
설정,0.011498038,고객,0.010219175,영상,0.007985002,버튼,0.009586898
최고,0.011414938,확인,0.009349233,시리즈,0.007976226,앱,0.009441024
오디오,0.011023465,번호,0.008935864,업데이트,0.007876735,삭제,0.009194376
응원,0.010762081,계정,0.008804958,영어,0.007305839,폰,0.009188307
프로그램,0.009753987,플레이,0.008556237,프로그램,0.0065893,설치,0.009070789
라이브,0.008516596,유료,0.007847571,한국어,0.006568915,로딩,0.008960239
화면,0.008304846,성인,0.007840635,요구,0.006520573,확인,0.008908375
