,keyword,kobert_p,kobert_n,koelectra_p,koelectra_n
0,돈,0.16603053435114504,0.833969465648855,0.16666666666666666,0.8333333333333334
1,시리즈,0.664504971897968,0.33549502810203197,0.4444444444444444,0.5555555555555556
2,자막,0.19751908396946566,0.8024809160305344,0.2916666666666667,0.7083333333333334
3,설치,0.16076533978447327,0.8392346602155267,0.0,1.0
4,인증,0.14937759336099585,0.8506224066390041,0.11764705882352941,0.8823529411764706
5,작품,0.6561598681499794,0.3438401318500206,0.4090909090909091,0.5909090909090909
6,버튼,0.1789644012944984,0.8210355987055016,0.2222222222222222,0.7777777777777778
7,성인,0.16597510373443983,0.8340248962655602,0.17647058823529413,0.8235294117647058
8,플레이,0.22311897943243947,0.7768810205675605,0.0,1.0
9,실시간,0.7331723513431935,0.2668276486568065,0.35294117647058826,0.6470588235294118
10,컨텐츠,0.6343886462882096,0.3656113537117904,0.625,0.375
11,로딩,0.15197255574614066,0.8480274442538593,0.0,1.0
12,설정,0.14468085106382977,0.8553191489361702,0.0,1.0
13,최고,0.6347348798674399,0.3652651201325601,0.4166666666666667,0.5833333333333334
14,취소,0.11683417085427136,0.8831658291457286,0.25,0.75
15,유료,0.318298308559713,0.681701691440287,0.2903225806451613,0.7096774193548387
16,재생,0.17552045944005742,0.8244795405599425,0.5,0.5
17,해지,0.12974683544303797,0.870253164556962,0.2,0.8
18,추가,0.5303261200853399,0.46967387991466014,0.5,0.5
19,드라마,0.6749341527655839,0.32506584723441617,0.5833333333333334,0.4166666666666667
20,한국어,0.3145419602818706,0.6854580397181294,0.36,0.64
21,티비,0.2755741127348643,0.7244258872651357,0.3,0.7
22,화질,0.7191539365452408,0.2808460634547591,0.7894736842105263,0.21052631578947367
23,결제,0.11891279728199321,0.8810872027180068,0.21052631578947367,0.7894736842105263
24,폰,0.21038183179435987,0.7896181682056401,0.0,1.0
25,번호,0.09157509157509157,0.9084249084249084,0.14285714285714285,0.8571428571428571
26,시청,0.491478834524464,0.508521165475536,0.5925925925925926,0.4074074074074074
27,경기,0.784,0.216,0.95,0.05
28,방송,0.7198646986469864,0.2801353013530135,0.35,0.65
29,오디오,0.3940256045519203,0.6059743954480796,0.6551724137931034,0.3448275862068966
30,개선,0.2344,0.7656,0.375,0.625
31,콘텐츠,0.662530612244898,0.33746938775510205,0.6153846153846154,0.38461538461538464
32,예능,0.68,0.32,0.5,0.5
33,편리,0.624218392557572,0.37578160744242795,0.3103448275862069,0.6896551724137931
34,로그인,0.10955914447839371,0.8904408555216062,0.15789473684210525,0.8421052631578947
35,가입,0.1793478260869565,0.8206521739130435,0.375,0.625
36,영화,0.6684813753581662,0.3315186246418338,0.5,0.5
37,배속,0.23117960877296978,0.7688203912270303,0.6086956521739131,0.391304347826087
38,확인,0.5193848354792561,0.48061516452074393,0.35714285714285715,0.6428571428571429
39,회원,0.17105263157894737,0.8289473684210527,0.5,0.5
40,번역,0.3762071992976295,0.6237928007023705,0.3333333333333333,0.6666666666666666
41,업데이트,0.2678076413161384,0.7321923586838617,0.2222222222222222,0.7777777777777778
42,조절,0.16172506738544473,0.8382749326145552,0.48,0.52
43,회차,0.41496598639455784,0.5850340136054422,0.45454545454545453,0.5454545454545454
44,삭제,0.11976047904191617,0.8802395209580839,0.0,1.0
45,무료,0.25541795665634676,0.7445820433436533,0.16666666666666666,0.8333333333333334
46,채널,0.7001239157372986,0.29987608426270135,0.6,0.4
47,구매,0.13712374581939799,0.862876254180602,0.18181818181818182,0.8181818181818182
48,구독,0.1679790026246719,0.8320209973753281,0.23076923076923078,0.7692307692307693
49,중계,0.7384370015948963,0.26156299840510366,0.6451612903225806,0.3548387096774194
50,응원,0.6103896103896104,0.38961038961038963,0.5,0.5
51,연동,0.21628189550425272,0.7837181044957473,0.07142857142857142,0.9285714285714286
52,동시,0.76,0.24,0.46153846153846156,0.5384615384615384
53,가능,0.3350051440329218,0.6649948559670782,0.25,0.75
54,환불,0.12114285714285715,0.8788571428571429,0.18181818181818182,0.8181818181818182
55,시즌,0.748527679623086,0.251472320376914,0.5,0.5
56,영어,0.28162291169451076,0.7183770883054893,0.3333333333333333,0.6666666666666666
57,팀,0.8260292164674635,0.17397078353253653,1.0,0.0
58,불편,0.2202086765513454,0.7797913234486545,0.2692307692307692,0.7307692307692307
59,고객,0.12844036697247707,0.8715596330275229,0.3076923076923077,0.6923076923076923
60,오류,0.11915438821268418,0.8808456117873158,0.12,0.88
61,계정,0.10638297872340426,0.8936170212765957,0.20689655172413793,0.7931034482758621
62,영상,0.20290607161390764,0.7970939283860924,0.35714285714285715,0.6428571428571429
63,앱,0.197197991012424,0.802802008987576,0.0,1.0
64,프로그램,0.6261261261261262,0.3738738738738739,0.6666666666666666,0.3333333333333333
65,화면,0.18541885734314756,0.8145811426568524,0.2,0.8
66,문제,0.1941331575477917,0.8058668424522083,0.07692307692307693,0.9230769230769231
67,라이브,0.6477790432801822,0.3522209567198178,0.5,0.5
68,야구,0.6998527245949926,0.30014727540500735,0.6666666666666666,0.3333333333333333
