,word,BERT,Electra
0,야구,0.0,0.0
1,방송,0.0,0.0
2,문제,0.0,1.0
3,확인,0.0,0.0
4,플레이,0.0,0.0
5,연동,1.0,1.0
6,가능,1.0,0.0
7,배속,0.0,0.0
8,돈,0.0,0.0
9,편리,1.0,0.0
10,로그인,0.0,0.0
11,동시,0.0,0.0
12,실시간,0.0,0.0
13,성인,1.0,0.0
14,영상,0.0,0.0
15,오류,0.0,1.0
16,취소,0.0,0.0
17,폰,0.0,0.0
18,화면,0.0,0.0
19,개선,0.0,0.0
20,응원,1.0,1.0
21,시청,0.0,0.0
22,불편,0.0,0.0
23,번역,1.0,0.0
24,작품,1.0,0.0
25,프로그램,0.0,0.0
26,콘텐츠,1.0,1.0
27,채널,0.0,0.0
28,삭제,0.0,0.0
29,중계,0.0,0.0
30,영어,0.0,0.0
31,구독,1.0,0.0
32,드라마,1.0,0.0
33,시즌,1.0,0.0
34,티비,0.0,0.0
35,설정,0.0,1.0
36,해지,0.0,0.0
37,결제,0.0,0.0
38,경기,0.0,1.0
39,회차,1.0,0.0
40,앱,0.0,0.0
41,예능,0.0,1.0
42,인증,1.0,0.0
43,무료,0.0,0.0
44,팀,0.0,0.0
45,회원,1.0,0.0
46,가입,0.0,0.0
47,설치,0.0,1.0
48,고객,1.0,1.0
49,오디오,1.0,1.0
50,라이브,1.0,0.0
51,최고,1.0,1.0
52,자막,0.0,0.0
53,영화,0.0,0.0
54,로딩,1.0,0.0
55,화질,0.0,0.0
56,조절,0.0,0.0
57,업데이트,1.0,1.0
58,환불,0.0,0.0
59,재생,1.0,1.0
60,버튼,0.0,0.0
61,컨텐츠,1.0,0.0
62,시리즈,1.0,0.0
63,구매,1.0,0.0
64,추가,1.0,0.0
65,계정,1.0,0.0
66,한국어,1.0,0.0
67,유료,0.0,1.0
68,번호,0.0,0.0
