,0
0,도대체 아이패드 블루투스 키보드로 재생하고 멈출 수 있는 기능 언제 내 주실 건가요... 넷츨 왓챠 등등 심지어 인강 앱까지도 키보드 스페이스로 멈출 ㅜ수 있는데.. 너무 불편해요 ㅠㅜ
1,"TV에서 시청중입니다

아직은 안정화가 덜 되어 있는듯한 느낌입니다 

딜레이가 좀 길고 리모컨 방향키(좌, 우) 버튼으로 되감기나 빨리감긴 지원이 아직 되지 않는 것 같습니다"
2,제목처럼 글자가 안보이고 칸만 보여요.  뭐가 뭔지 모르겠어요ㅠㅠㅠ 빨리 수정좀요 아이패드로도 했는데 똑같아요 화면에 아무글자도 안떠요
3,"아직은 전채적으로 쿠팡플레이 정도의 느낌
TV와의 연동이나 자막도 2% 부족.
볼거 골라보고 이탈 하지 않을 수 있는 그런 한국시장이
되길 바랍니다."
4,무엇보다도 동시 접속 4명인데도 화질 저하없이 9900원에 좋은 화질로 감상할 수 있어서 너무 좋습니다. 2% 아쉬운게 있다면 휴대폰으로 시청할 때 화면으로 밝기 조정이나 음량 조절이 없는게 조금 아쉬울뿐 그거 외에는 아이맥스도 지원하니 정말 좋습니다 :)
5,"최적화는 구리고, 기타 편의기능도 넷플릭스에 비해 부족함(속도조절, 자막조절 등등등)"
6,버튼이 에피소드 끝나고 바로뜨면 젛겠어요 왓이프는 언제공개되나요?
7,뭔영화보다가 화병걸릴듯 아이폰13씀
8,"아이패드로 시청중인데, 기본적으로 앱에서 나오는 글씨가 이미지화 된 글씨말고는 보이지가 않습니다. 어서 패치해주세요"
9,동기화의 문제인지 뭔지 모르겠지만 핸드폰 빼고 아직 최적화가 안되었나 보네요 영상은 틀어지는데 ui들이 다 작동되지 않아서 답답해요
10,헤헤소울봐야지
11,너무 좋아요 ㅠㅠ 관심에 추가하느라 손가락 아팠음 볼게 너무 많아서 너무 ㅅ행복함
12,"pip모드에서 앞뒤로 감을 때 자주 자막꺼짐. pip모드에서 전체화면으로 돌아갈 시 초기화 되어 처음 계정설정으로 감.
한글 자막이 매우 엉터리임. 
너무 직관적으로 표현되어 있어 이해하기 어려움"
13,"모바일 기기 자막좀 손봐주세요 플스 자막도 마찬가지고요
무슨 모바일 자막은 너무 커서 화면을 가릴 정도고
플스는 검은색 박스에 흰색 자막… 무슨생각인거죠…??"
14,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
15,"영상에 비해 자막 너무 커서 얼굴 다 가리고 
자막 뒤에 배경 때문에 얼굴 싹다 가리고 미치겠어요
자막크기랑 배경 설정좀 할 수 있게 바꿔주세요 제발"
16,아이패드에서만
17,뒤로가기나 다른 상단바 터치들이 잘 먹히지 않습니다
18,10등안에 들어보기
19,"평생 디즈니 보면서 자란 어른이가 또 디즈니를 보네요. 로그인하는 순간부터 두근두근.

컨텐트 목록 첫 화면 보고 와… 했슴니다."
20,"pip모드로 영상보다가
전체로돌아가면 프로필화면으로 넘어가네요
ios최신버젼에 맞춰 업데이트 부탁드립니다"
21,어릴적 나왔던 것들도 보이고 많이 기대가 됩니다
22,굿 말이 필요 없음
23,방금 깔았는데.. 버튼에 텍스트도 안나오고…. 뭔지 모르겠네요….
24,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
25,로고만 뜨고 그 뒤로는 아무것도 안뜸
26,아케인 기다리고 있는데 언제 나오나요? 13일인데 12시 땡하면 나와줘야하는 거 아닌가요? 이렇게 된다면 공개 시간까지 알려주세요. 제발 마음 편히 잠자게요.
27,밀리터리 영화 더 넣어주세요
28,며칠째 영상 재생이 안됩니다. 영상에 문제가 있다니 디바이스에 오류가 있다니 오류코드도 가지각색;; 2초에 한번씩 화면 멈추고 소리만 재생되네요. s21과 아이패드 이용해 사용중인데 s21에서만 오류가 생기네요. 기기가 문제인지 어플이 문제인지 다 짜증납니다.
29,"1. 자막 설정
  자막 크기가 너무 커서 화면을 너무 많이 가려요 사용자 설정으로 자막 글씨 크기 설정, 위치 설정을 할 수 있게 해주세요
2. 백그라운드 재생
  백그라운드 재생할 수 있게 해주세요"
30,시청기록 지우는 것도 추가하면 좋을 것 같아요
