,0
0,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
1,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
2,"다 좋은데 삼성폰에서 hdr,4k,돌비비젼 다 지원하는데 저런것 안되고 달랑 hd만 뜨던데 타 ott서비스들도 hdr 4k 돌비비젼 다 해줘요 자막 폰트 크기 변경 됐으면 좋겠고 밝기 음량 조절 되게 해주세요"
3,하이큐 4기!!
4,돈을 내고 결제했는데 실시간 시청은 또 돈을 내야함 ㅋㅋ 그럴꺼면 축구 중계권 갖고가질 마시지
5,하이
6,광고가 너무 많아요. 넘 많은 탓에 짜증이 나서 실시간 tv도 못 보고 있습니다.
7,하이큐!! 4기 좀 나오게 해주세요 티비로 3기 끝까지 다 봤는데 한창 좋은데서 끊김
8,전체화면기능은 도대체 언제 만드는건지... 일안하나?.....
9,하이큐 4기제발 방영해주세요ㅠㅠ
10,아니 유료 짱나네ㅡㅡ
11,순위20위 뭐냐 변경도 안되는 순위 실시간 으로 다시 돌려라
12,겟백 볼려고 가입했는데 그것만 쏙 빼놓고 없네요? 나가뒤지세요 그냥 ^^
13,하이큐 다음화 언제 나오나요..;;
14,보려다가 암걸리겠다 지짜 짜증난다
15,하이큐가 3기까지밖에 없는데 4기도 보고싶어요 찾아보니까 다른 많은분들도 4기 찾고잇더라구요 다 좋은데 3기끝나고 볼게없어졌어요ㅠㅠ
16,하이큐 4기 보고싶어서 2주동안 1 2 3기 정주행했는데요 4기 없는거 보고 개 얼탱없어서 왓챠 결제해서 봤습니다… 진짜 기절 제발 추가점 해주세요 추가해주시면 5점..
17,우주패스로 웨이브라이트 이용으로 들어옴. 근데 막상 볼수있는게 없네요. 다 이용권결제하라그러고... 라이트 유저 존을 따로 만들어주던지... 우주패스고 나발이고 어플 삭제했습니다.
18,오늘새벽 토트넘 경기. 방송 왜 안해줬냐!!!
19,심슨 보려고 하는데 왜 안되는 건가요?? 시청제한 설정 한적도 없는데 키즈 계정도 아니구요
20,라이트로 볼 수 없는 게 많은 거 치고 비싸요 모프로를 보는 게 가입이유였는데 취소합니다
