,0
0,결제방법이 휴대폰 결제 밖에 없나요?..
1,고객센터 연결좀 되게 해주세요
2,문의 사항은 제목과 같습니다.
3,로켓배송 쓰는 겸에 따라오는 덤 치고 영상 라인업이 상당히 좋음 로켓배송 없이 이것만 월 2900원에 팔아도 혜자 소리 들을듯
4,환불처리 빨리 해주세요~
5,고객센터는 코로나로 인해 전화 받지 않고 1:1 문의는 필수 파라미터 누락이라며 글이 써지지 않는데 어떻게 해야 하나요?
6,환불해주세요 구글 디즈니 서로 권한없다 떠넘김
7,구글 번역기 돌려서 자막 넣는 듯. 한편 보는데 출연진들 이름 표기가 계속 바뀜. 마조리 마저리 이러질 않나ㅡ 마쁘띠 마프띠 마쁘티 마트프띠 이러고 ㅜ ㅜ
8,"구글 번역기를 돌린듯한 번역, 가끔 로딩 걸리다가 저절로 꺼지는 앱."
9,환불해주시죠 지금 한달동안 최소 1주일이상 연결불가로 시청을 못하고있는데 돈 받아놓고 뭐하는 건가요 이게. 관리 똑바로 해주시고 환불이 불가능하더라도 1주일 이상 앱 사용 못한 것에 대한 보상은 확실하게 해주세요.
10,"고객센터 문의하니까 보는 시청자가 많아서 재생안된다고함 ㅋㅋㅋ 갈길이 멀다 ㅎㅎ 어느날은 뭔 죄?
버퍼링때문에 볼수가 있어야지"
11,하루 3편 제한/ 한달 20편 제한하고 이용권 가격 내려주세면 구독 유지할 의향 있습니다 공부해야해서요...
12,해지가 잘안됨.넷플은 바로 해지되는데 디플은 그달다봐야함 ㅡㅡ
13,뷰잉과 핸드폰 연결해서 잘보고있습니다. 다만 다음편으로 이어보기부분이 지원되지않아 매화마지막에서 내가몇편보고잇엇는지 확인후 돌아가기해서 다음화를 틀어야 되는부분이 불편하며 다른 웨이브 티비연결 같은경우 배속으로시청하기가 가능하나 티빙 티비에연결해서 보는거는 배속시청이 안되는 부분이 불편하네요 티빙어플은되는데 ㅜㅜ 개선되었으면좋겟어요
14,구글 계정로그인 안되는게아쉬워요
15,"구글 환불 정책 뒤에 숨어서 연간 구독 환불안하고 있는데, 한국소비자원 통해 피해 구제 요청하도록 하겠습니다"
16,구글티비에서 어플이 없다니…… 이건 개선을 좀 하셔야 하지 않을까요? 내용물도 좋고 유료결제해서 보고 있는데 구글티비에 어플이 없어서 별점 깍습니다ㅜㅜ 제발 출시좀….
17,고객센터 체계와 서비스 응대 엉망이네요. 같은 문제를 몇 번을 연결해야하는지 .. 게다가 도중에 끊어버리면 다시 연락줘야하는거 아닙니까 ?! 오전 반나절을 시간 허비만 하고 문제 해결은 안되고
18,환불은 안되고 이용만 못하게 해놨어요 ㅠ 환불을 해주시던지 약정기간동안 보게해주세던지 해주세여
19,결제 취소 좀 하게해주세요. 무슨 오류인지 모르겠는데 어떤 방법을 써도 구독 취소를 할수 없네요. 직접 고객센터에 컴플레인을 넣어야하는지..하...
20,카카오 선물하기 받은 쿠폰 핀번호입력하고 쿠폰함에서 등록을 못했는데요 화면이탈하면 쿠폰함 진입이 안되게 만들어 놓으면 어떡하나요 다시 그 핀번호 입력하면 이미 입력되었다고 나오는데ㅠ 앱에서라도 쿠폰함 확인이 되어야죠 ㅠ 사용을 못하잖아요
21,고객센터 어딘가요? 그리고 자막에서 문장 앞에 '고' 가 붙어있는경우들이 있ㅇ어요 중긴에 깨지는문자가 있는경우도 있고. 이렇게된거 청와대로 간다 5화
22,결제수단에 카카오페이 되게 해주세요.. 결제수단이 넘 진입장벽임. 젊은층들은 귀찮은 거 싫어해여
23,구글결제는 15%할인이고 디즈니홈페이지 가입은 10개월+2개월무료 라네요. 구글은 결제 부분이 더티하네요
24,"연결이 문제고 자시고 우측 상단에 미러링 버튼이 아예 없어졌네요?
 전에 잘사용했는데 뭐가 문제인지요??
애플기기만 의도적으로 없엔건지??"
25,이틀전부터 갑자기 로그인이 안돼요 데스크탑이나 노트북 핸드폰 앱에서도 로그인이 전혀 안돼요 며칠있으면 괜찮아 지겠지 했는데 계속 이상태네요 아이디 비번 정확히 맞는데 해결 부탁드립니다
26,결제까지했는데 ㅡㅡ 안들어가져요 ㅡㅡ
27,구글 추가 백업 결제가 안됨. 거부됨.
28,연락은 안되고 해지 한번하기가 드럽게 힘드네요
29,결재 아니면..ㅠ
30,고객센터 대응 최악
31,구글티비박스 애트모스 지원 언제되나요?
32,문의가 9시부터9시까지네요?ㅋㅋ 새벽엔 서버도 자나봅니다? 전기료 아끼려고 글남겨두는것도 안되네
33,고객 댓 꾸도 없고. 돈만 처벌고.에라이. 화면잠금버튼 다시풀려면 터치도 안되고. 어쩌자는겨.
34,환불 하고싶은데 환불요청에서 디즈니 플러스 체크가 되지 않습니다.
35,고객센터 너무 전화 안받음
36,구글결제유도해놓고 연간구독 해지는 안되는 이상한 곳.소보원신고해도 이 큰기업은 벌금 쬐금내면그만. 구글결제로 연간구독할때 신중하세요.중도해지 안됩니다.
37,해지가 안되요. 디즈니는 구글에 구글은 디즈니에 연락해서 해지하래요. 돈 안 내고 싶어요...
38,결재가 안되서 다시 깔았는데 또 안되요
39,구글에 영화검색하면 많은 영화들은 wavve구독 시 감상가능 문구가 떠있었다. 나도 혹해서 결제했지만 실상은 개별구매해야한단다. 딴 ott들은 병00신이라서 그런거냐. 아쉬운감정만 남게해야지.. 화나는감정을 심어주는 ott는 처음이네 니들이 나중에 1등해도 니네껀 구독안한다
40,환불하고 싶어요
41,구글 번역기 돌린거보다 못하네
42,앱누르면 들어가지는데 계정클릭이 아예 먹통입니다
43,결제는 계속되고 안들어가지는데 어쩌라는거죠?
44,고객센터 연락두절. 100원이벤트 했는데 3천원 결재 나가고 월정액 해지 시켰는데 또 나감 열받아서 전화했는데 고객센터 연락두절 그릇이 작으면 안하는게 맞는거 같은데 편의도 못 봐주는게 기업임?
45,구글 결제기능 없으면 구글스토어와 관계없으니 넷플릭스 구글스토어에서 꺼져
46,한번볼까 구독했더니 하루조일 로딩중이내 결국 결제 두번하고 맨붕중~~~ 써비스 접어라!
47,구글결제 너무 불편해요.... 네이버페이 결제가 좋았는데..
48,결제 바로 취소해주세요
49,결재취소어찌하나요?
50,카드등록이되어있는데 이용권구매터치하면 구글결제로뜨네요 전에는 카드가바로떳었는데..7900원에서9000원으로바뀌고부터 안되네요 불편하네요
51,결제취소했습니다 환불도와주세요
52,"아이디 비번 정확히 다 적고 와우회원인데
왜 로그인 안된다고 자꾸 뜨냐??
이따구로 하면서 멤버쉽가입비 받고 올려받아먹냐??
이번달 회원비 환불해주던지 해라
ㅉㅉ이딴것도 어플이라고 만드냐"
53,환불 요청합니다. 채널 보려고 결제했는데 저작권때문에 중계가 안되면 결제를 못하게 해야 하는거 아닌가요? 이메일도 보냈으니 확인바랍니다.
54,구글에서 베이직 이용권 구매했는데 계속 이용권이 없다고 뜨는데 어떻게 할지 모르겠어요
55,환불도 복잡하고 진짜 문의해도 똑같은 답변만하지 코로나때문에 상담안된다고 일관 그냥 나몰라라하는게 너무 역겹네요^^
56,문의가 빠르게 처리되어 좋았습니다
57,환불 안되면 여의도가서 자살할게요
58,환불부탁드립니다. 백원 적용이 안되네요.
59,구글에서 실행하기 난이함
60,환불해주세요 결제했는데 아이디가 없다는데 무슨 말이죠???
61,구글 결제엔 결제된걸로나오는데 웨이브 구독관리엔 이용권 없다고하고 결제오류 어떻게좀 해주시거나 환불해주세요 제발~~
62,고객상담원도없어서 결제나해지 모든것에 문제가생길때 처리도잘안되고 문자로만 답을 받을수있어서 다시는사용안하겠음 중국드라마는 왜이렇게많은건지 ᆢ
63,구글에서 인앱결제했는데 베이직에서 스텐다드로 올릴려면 어떻게 하나요?
64,"버그도 너무 많고
넷플릭스 비교했을때
앱이 진짜 안좋음 편의성도 엄청떨어지고
자막이야 뭐.. 
다 그렇다 치고  영상재생 잘안되는 버그좀여.."
65,구글결제토스로 결제를 했는데 3일뒤인가 취소가. 되어서 돈이 환불이됫네요 이유없이. 결제취소가된건지 이해할수가없네요 구글자체 문제면 여러사람들도 그런일이 있을수도 있다는 말인데 결제에 대해서 신경좀 써주셨으면합니다.
66,구글 계정으로 자동연결 늘러도 젖속 자체가 안됨 ㅋ
67,환불해주세용 ㅋㅋㅋㅋㅠㅠㅠ 결제하고나서 렉만 엄청 걸려서 한편도 못보고 ㅋㅋㅋㅋㅋ 앱 들어가서 메인화면 나오기까지 10분 걸림 다른앱은 안 그러는데 이앱만 렉 걸리면 이건 여기 문제죠?
68,고객센터에 두번이나 문의 했는데 몇시에 나오는거냐니까 오늘 내로 빠른시일내 나온다 이따위로만 대답하고 아직까지 안나오네 ㅡㅡ 이럴거면 왜 결재를 하고 보는거지???
69,결제했는데 이용권이 없어요 해결 좀 해주세요
70,환불해주세요.
71,해지하려는데 해지가 안됌
72,환불해주세요 이용권 구매했는데도 구매가 되어있다고 하였는데도 아직까지도 이용권 구매하라고 떠요 그리고 구매 또 눌러보면 정기구독 상태라고 뜨고요 어제 다시 결제 시작했는데 안될것같아요 환불해주세요
73,해지가복작하노
74,환불을 해주세요. 앱다운도 안했는데 왜 카드에서 돈이 자동으로가져가나요
75,구글 결제 가 안되는데요? 11월9일에 어쩌구 하던데요? 원인이 뭐에요?
76,결제했는데 계속 미리보기만 나와요ㅡㅡ 빨리 처리해주세요
77,환불 해주세요 만료기간이 11/15일인데 오늘이 14일인데 오늘 결제가 되어버렸어요 오늘 결제 취소할려고 했는데 취소하기도 전에 결제가 되어버렸네요
78,결재도 하고 앱을 깔았는데 로딩창만 뜨고 앱이 안 열려요... 왜 이래요?
79,고객센터 직원들 응대도 성의없고 앱도 오류투성이임 최악ㅡㅡ
80,고객센터 짱!!!!즉각처리 너무 빨라요 너무 친절하시고 너무 좋습니다
81,환불요청이요
82,구글 수수료 때문에 웹사이트나 원스토어에서 다운 받은 거에 비해 결제 가격이 비싸네요
83,환불됐다고는 뜨는데 돈이 안 들어와요
84,결제했는데 자꾸 이용권없다고 떠서 구독취소했으니깐 환불해주세요 ㅡㅡ
85,환불 할려고 하는데요
86,해지가 안돼요 구글계정으로 설치됐다는데 구글 정기구독에 없음 그 어떤 계정에도 근데 돈은 빠져나간답니다?
87,구글에서 결제를잘못하여 취소하려고하는데 이틀안에취소된다고해서 빠르게했는데 왜환불안되나요 ㅠ잘못눌러서 큰금액이 결제되었습니다.
88,환불해주세요. 보지도않았는데 환불요청하니 환불도 안되고 심지어 고객센터는 전화도 안받네요 ㅋㅋㅋㅋㅋ
89,해지가 너무어려움 안된다고만하고 자기가 알아서하라고만하고 너무함
90,고객센터 짱짱
91,환불해준다더니 하루동안 환불이 안되고 맴버쉽은 끝나고 장난치나 ㅋㅋㅋ
92,결제했는데 구독권이 없다뜨네요 다시 결제하러가보니 이미 결제됐다고 하고 뭐 어쩌라는건가요 로그아웃도해보고 어플재설치해보고 해도 다안되네요
93,고객센터운영시간이랑 일정이 안겹치는 사람은 돈내고 호구되네요ㅎㅎㅎ
94,구글에서도 결제하고 카카오페이에서도 결제로 이중 결제 됬는데 취소 부탁두립니다
95,전화오면 멈춰요
96,환불요청은 어떻게해야하나요? 1년구독 취소했는데 1년치가 갑자기 결제가 되던데요. 그냥 사용안하고 기다리면 환불되는건가요?
97,통화중 재생이 안됨ㅜ
98,해지 시켜는게 계속현금이빠져 모르고있다가 다시해지 하려하니 아이디를 잊어버려 가려쳐달라니 앞에와 땡땡만 붙여서 들어가게도 못하게 하고 전화문의 하려니 녹음목소리만 계속나오고 이거 본사로 가야 하나 고민중
99,환불 해주세요
100,실틈없이 보고있어요 너무좋은 영화가한가득
101,구글자동결제인데 이용권변경은 어찌하나요?
102,웨이브 구독을 시작하면서부터 KBO중계는 웨이브로만 봤어요 여러구장 한번에 보기도 좋고 화면을 띄어놓고 다른 어플도 사용 할 수 있어서 최고에요!
103,환불 좀 해주세요..카톡으로한 거 다른 아이디로 옮겼는데.. 3번이나 결제를 해버렸네요..저도 등신이죠 첫 가격 그대로 6천원으로 가능할까요 환불 좀 해주세요.
104,정기결재취소문의
105,환불을 정기결제 기간 끝나고 해준다는곳은 진짜 살다살다 처음보네 이용권 결제할때 구글인앱 결제 밖에 안떠서 그걸로 결제 했는데 내 잘못인가? 이용권 사용못하게 하고 환불처리 해주면 될것을 무슨 이 정책 저 정책 가져다 붙여가며 ㅉㅉ 한달뒤에 또 댁들이랑 이러고있을 생각하니 아주 어깨가 들썩들썩하네
106,결제오류가 자꾸 뜨네요ㅡㅡ 카카오페이도 오류뜨면서 해결하려면 계정보안설정하라는데 뭘하라는건지 모르겠고 핸드폰결제로해도 똑같네요ㅡㅡ
107,해지가안되네요ㅡㅡㅋ
108,구글인앱결제요금 낮추면 안될까요? 결제 9만원 비싸서 못 보겠어요 본 사람 없을듯!
