,0
0,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
1,최고의 선택이라 자부합니다
2,시청기록 지우는 것도 추가하면 좋을 것 같아요
3,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
4,한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막(cc) 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요!
5,대만족
6,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
7,최고임
8,실시간으로도 볼 수 있고 중드보느라 앱 설치하게 되었는데 신작도 많이 올라오고 잘 보고 있어여~^^
9,완전 만족
10,굳
11,"화질 좋고 다 좋은데

자막이 씹혀서 안보일때가 있어요 ㅜㅜ"
12,"다 좋은데 삼성폰에서 hdr,4k,돌비비젼 다 지원하는데 저런것 안되고 달랑 hd만 뜨던데 타 ott서비스들도 hdr 4k 돌비비젼 다 해줘요 자막 폰트 크기 변경 됐으면 좋겠고 밝기 음량 조절 되게 해주세요"
13,최고
14,오디오 자막 들어가면 톱니바퀴 설정모양이 보인다는데 노트8에는 안보여서 자막설정을 못 하네요. 검은바탕이 너무 신경쓰이는데 어떻게 설정할 수 있나요?
15,하이큐 4기!!
16,편리합니다
17,빨리감기 개선이 필요합니다. 그 외 전반적으로 만족
18,구성이 너무 좋네요^^가성비 짱!
19,화질쩜
20,처음에는 잘 맞게 나오다가 후반부쯤에 자막이 더 빨리 나와서 싱크가 안 맞아요. 보기 너무 불편하네요 ㅠㅠ
21,실시간 방송보기 편해서 자주 이용하고 있습니다~^^
22,돈을 내고 결제했는데 실시간 시청은 또 돈을 내야함 ㅋㅋ 그럴꺼면 축구 중계권 갖고가질 마시지
23,지난방송 보기 유료는 이해하겠는데 실시간은 도대체 왜 유료화된거죠...? 다른 앱들은 실시간은 걍 보여주는데 왜.....? 도대체 왜죠...🤦‍♀️이해가 안되네
24,만족< 매우)
25,화질이 넷플릭스에 비해 너무 구려요
26,매우만족
