,0
0,"앱 켜면 아무것도 안 뜨고 로그인도 겨우했네요. 
한국 런칭 오래 전부터 기대했는데 실망스러워요."
1,결제방법이 휴대폰 결제 밖에 없나요?..
2,이메일 누르고 다음이 안됨
3,네이버ㅡ오창로또명당 굿~~~~👍👍👍👍👍
4,페이스북으로 로그인하려는데 비활성화 되있다면서 페이스북 앱 깔고 다시 시작하라는데 이미 깔려있는데 뭐 어떻게 하라는 건지도 모르겠고 지웠다가 다시 깔아도 안되고 핸드폰 전원을 껐다가 다시 켜봐도 안되요 이건 뭐 어떡하라는 건가요
5,잘 시청하고 있었는데 어느날부터 로그아웃된 후 로그인 안됨
6,접속 안됌 ㅡㅡ 아니 10월 때도 이런일이 있더니 아직도 안고치고 뭐함?
7,자꾸 로그인이 안되요 어떻게좀 해주세요
8,화면이 안뜨잖아! 글씨가 안나와 로그인을 할수가없어!
9,"화면이 안보여요!
글씨가 안보여서 로그인도 못하고 아무것도 못하고있어요. 
남색 화면 밖에 안보여요."
10,계정 이메일이 오타로 잘못 설정되어버렸는데 수정 가능 할까요?
11,문의 사항은 제목과 같습니다.
12,"애플아이디로 결제되는거말고

카드결제는 언제지원되나요?"
13,왜 구독하려면 이 기기에서 구글플레이 계정으로 로그인 하라는게 계속 뜨네요
14,결제된 계정으로 로그인했는데 왜 로그인이 안되나요 ㅜ
15,무한반복 로그인 뭐 해결이 되었다구요? ?? 괜한 시간만 낭비했네 잰장..
16,와우멤버십가입을 한 적이없는데 돈이빠져나갔네요 ㅎ
17,이거 로그인을 하려면 왜 자꾸 반복창이 뜨나요? 로그인 하기 - 아이디 패스워드 입력 - 로그인 하기 이거 왜이러는 걸까요?
18,이렇게 된 이상 청와대로간다~! 보러 왔어요!!! 응원해요~~
19,가입 버튼을 아무리 눌러도 미동조차 없네요ㅠ 그냥 아이콘만 만들어두고 연결을 해두지 않은건가요...? 로딩중이라는 표시도 안뜨고 그냥.. 눌리기만 할 뿐ㅋ
20,카카오 로그인하니까 자꾸 티빙에오신걸 환영합니다 이러면서 회원가입창 뜨는데어떡하죠 이용권 결제해놓고 못쓰고있는데요
21,통화 중에 재생 불가. 친구랑 전화하면서 못 봄
22,가입 및 모바일.TV설정 매우 간편하고 좋네요. Tv 자막 사이즈 150%도 넣어 주세요.
23,설치가 안댐...
24,가입하고 폰 태블릿 pc tv 설치완료 했습니다 넘 기다리던 ott라 반갑고 자잘한 오류같은거는 차차 좋아질거라 보입니다
25,로그인 안됨 핀번호 안됨 다운 안됨 스트리밍 안됨. 어썸!!! + 다운시 배터리 광탈
26,통화 중에 영상재생이 안되나요? 넷플은 되는데 디플은 안되네요 설정이라도 하게 바꿔주세요
27,모바일에서 성인인증 불가
28,접속오류 무한로딩 스트레스
29,앱스토어에 접수해놓은 상태인데 어제 결제했고 몇시간만에 오류를 알아 바로 취소했습니다. 부탁드립니다 ㅠㅠ
30,결재까지한 아이디로 로그인한뒤 어플 실행했을때 애플이랑 공유?할거냐고 물어보길래 승인했더니 애플아이디로 따로 결제가 되었습니다 관리를 이따위로 하는건지 참
31,쓰레기. 기업. 디즈니
32,"결재도 완료되어있고 구독도 되어 제 폰에서는 재생이 아주 잘됩니다
그런데 같이 하는 친구는 로그인을 하려고해도 엑세스가 없다 문제가 있다고 로그인이 안되네요 ㅡㅡ
돈을 냈는데 보질 못하니;; 빨리 해결해주세요"
33,Groupwatch 공유가 잘 작동하지 않아요 사파리로 연결되어서 로그인 후 들어가도 그룹워치가 뜨지않고 피드백 설명에도 너무 간략하게 되어 별 도움이 안 됩니다 얼른 개선 되었으면 좋겠어요 다른 건 다 너무 너무 좋아요
34,루팅............................'에러
35,"아니 F1때문에 스타스포츠 잘 보고 있었는데 자기들꺼라고 거둬갔으면 디즈니 앱에서 볼수있게 해주던가. 1년 그덕 하고 났더니 그건 서비스를 안한다고??? 
잘 알아보고 할걸. 혹시 환불하는법 아시는분."
36,"아이디비번 맞는데 친구가 로그인 안된다해서 다시 설정했어요
아이패드로 로그인하는데 나도안됨
비번재설정한다고 코드 받아적으라는데 이젠 코드도안옴
넘 번거롭네요.."
37,처음 로그인 했을 때는 돈내라고 안 했는데 왜 갑자기 돈을 내라고 하죠?
38,로그인 무한반복 놀다가 갑니다
