,0
0,도대체 아이패드 블루투스 키보드로 재생하고 멈출 수 있는 기능 언제 내 주실 건가요... 넷츨 왓챠 등등 심지어 인강 앱까지도 키보드 스페이스로 멈출 ㅜ수 있는데.. 너무 불편해요 ㅠㅜ
1,제목처럼 글자가 안보이고 칸만 보여요.  뭐가 뭔지 모르겠어요ㅠㅠㅠ 빨리 수정좀요 아이패드로도 했는데 똑같아요 화면에 아무글자도 안떠요
2,실행하고 가입하는데 글씨가 하나도 안보임
3,"아이패드로 시청중인데, 기본적으로 앱에서 나오는 글씨가 이미지화 된 글씨말고는 보이지가 않습니다. 어서 패치해주세요"
4,아직은 오류 천지인듯 뒤로 가기 여러번 누르면 갑자기 빨리감기 되는 현상도 있고 다운 받은후 영상 보는중 전화 오니 영상 파일 이상으로 다운로드 삭제후 다시 스트리밍으로 봐야하는 경우도 있었습니다.
5,아이패드에서만
6,로고만 뜨고 그 뒤로는 아무것도 안뜸
7,다운로드가 안되잖아
8,며칠째 영상 재생이 안됩니다. 영상에 문제가 있다니 디바이스에 오류가 있다니 오류코드도 가지각색;; 2초에 한번씩 화면 멈추고 소리만 재생되네요. s21과 아이패드 이용해 사용중인데 s21에서만 오류가 생기네요. 기기가 문제인지 어플이 문제인지 다 짜증납니다.
9,접속 안됌 ㅡㅡ 아니 10월 때도 이런일이 있더니 아직도 안고치고 뭐함?
10,다 좋은데.. 제가좋아하는 ☆명탐정코난☆ 도 내줬으면 합니다.. 넷플은 다운로드하면 데이터없이 볼수있다는게 너무 좋았어용~!♡
11,"아이패드앱에서 한 달치 결제했고 아이패드, 아이폰 모두에서 볼 수 있는데 안드폰이나 피씨에서는 결제내역이 복구가 안 되어서 볼 수가 없습니다… 설마 플랫폼별로 각각 결제해야 하는건가요? 답변 좀 부탁드립니다"
12,"다운받았는데 화면 버튼 텍스트랑 이미지가 안보여요..
아이폰 11 사용중입니다"
13,갤럭시탭에서는 자막이 너무 크게 나오고 크기 조절이 되지 않아서 불편하네요. 화면 비율 조정도 가능했으면 좋겠어요... 지플립에서 꽉찬화면(22:9)으로 나오니까 너무 많이 잘려요!
14,갤럭시 탭 S6라이트에서 설치가 안되네요. 용량도 충분한대요
15,무한반복 로그인 뭐 해결이 되었다구요? ?? 괜한 시간만 낭비했네 잰장..
16,설치가 안됩니다 ㅠ 갤럭시 탭s2 디즈니도 되는데.....
17,"태블릿 pc를 하나 구매해서 사용하려고 검색했는데, 거주 국가에선 사용할 수 없다고 나오네요.. 혹시 구글계정과 연관이 있는건가요??"
18,다운로드를 받아서 플레이 하는데 왜 자꾸 와이파이 연결이 안되서 데이타를 사용하겠다고 하는건지 모르겠네요~ 실제로도 데이타가 나가고.. 그러면 다운로드 받는 의미가 뭐가 있는건지…
19,갤럭시도 pip모드 지원좀ㅠ
20,오류코드39번이자꾸 뜨는데 몬가요? 영상을재생할수없다고합니다
21,다좋은데 자막 폰트가 고정되서 불편하네요. 자막 폰트가 너무 알아보기 힘들어요 (폰트가 작은데 거기에 글씨가 너무 얇아서 눈에 잘안들어 와요. 자막 폰트 수정해야할것 같아요(갤럭시)
22,오류 때매 이용을 못하겠다 이걸 쓰라고 만들었냐? 넷플릭스보다가 이거 볼라니까 갑갑해 디 지 겠네. 디 지 라고 디지니냐? 성인 인증을하세요 해놓고 인증창이 안떠. 어쩌라고?
23,조금보다가 버퍼걸리고 조금보다 버퍼걸리고ㅡㅡ 데이터도아닌 와이파이인데 이거 너무 심한거아닙니까? 영화를 볼수가없어요
24,다운이 안되네요 빙글빙글 돌기만하고 다운이 안됨
25,모바일에서 자막설정 좀 할 수 있게 해주세요. 자막이 넘 작음
26,로딩이 너무 길어요..보고 싶은 영화 선택하면 화면 전환이 안되고 계속 렉 걸려서 답답해요
27,설치가 안댐...
28,"휴대폰 영상배속재생기능, 팝업창보기 기능 추가 해주세욤~"
29,아니 모바일 기기에서 성인인증하기 위해 비번을 누르라고 뜨기만하고 자판이 안 묵는건 무슨 경우지?
30,오류코드39 오류발생하면서 재생 안되네요
31,"PC웹브라우저에서 720P 이거 실화입니까? XBOX, PS5 4K 지원 콘솔에서 4K 스트리밍이 안됩니다. PS4에서 HD 스트리밍은 되지만, HDR은 미지원이구요. 일부러 한국계정만 막아 놓은거 같은데 빨리 풀어주세요. 해외는 되는데 왜 한국은 안되나요?"
32,"와이파이가 있어도 재생이 잘 안되고, 로딩이 오래걸림"
33,갤럭시탭A 쓰고있는데 버퍼링때문에 볼수가 없네요 사양에따라 제약이 있나요?
34,갤럭시탭s6인데 설치가안되나여
35,모바일에서 성인인증 불가
36,태블릿에서 작동안함 ㅠ 갤탭a7
37,접속오류 무한로딩 스트레스
38,"PC, 태블릿, 휴대폰 다 끊김이 심해서 볼수가 없는데 도대체 뭘로 보라는겁니까 그나마 휴대폰은 덜한데 PC는 영상 픽셀 다 깨지고 태블릿은 콘텐츠 열기도 어려울 정도로 끊기고 버벅거리네요"
39,"다운로드
했는데 안돼요"
40,루팅............................'에러
41,"아이패드, 아이폰 어플 설치하고 나면 어플에서 한글이 보이질 않아서 진행이 어렵습니다.
수정해주세요!"
42,"아이디비번 맞는데 친구가 로그인 안된다해서 다시 설정했어요
아이패드로 로그인하는데 나도안됨
비번재설정한다고 코드 받아적으라는데 이젠 코드도안옴
넘 번거롭네요.."
43,재밌는 볼거리도 많고 다 좋은데요 다운로드해서 밖에서도 볼 수 있게 그런 시스템은 못 갖추는 걸까요
44,노트20인데 사용 자체가 안됩니다
45,로딩이 느려
46,접속장애 먹통 성인인증 핀에러 심각하다...
47,런칭되서 너무 좋은데 가끔 다운로드 받은거 중간에 안나오고 끊기네오 화나오ㅠ
48,핀설정하면 모바일에서 성인인증 못함
49,한달쓰고해지할예정 이유 콘텐츠부족
50,TCL 티비에 설치했는데 재생이 왜 안되죠??ㅠㅠ 영상 누르면 상세 페이지가 떠야하는데 계속 로딩중이기만 하고 안나와요......
51,오류 코드 39라고 뜨고 재생이 안 되는데 어떻게 해결하죠?
52,영상들의 전반적인 톤이 다른 OTT 보다 좀 어둡고 칙칙한 편 같습니다. 같은 기기로 보고 있어도 디즈니 플러스로 보는 영상들은 물빠진 듯한 톤에 살짝 어둡네요.. 아이폰 삼성티비 모두 그렇게 느껴집니다. 전반적인 밝기 좀 올려주세요
