,0
0,네이버ㅡ오창로또명당 굿~~~~👍👍👍👍👍
1,구독은 했는데 설치가 안됩니다..
2,첫 가입자입니다. 와우멤버십30일무료체험 버튼을 몇 번을 눌러도 다음으로 진행이 되지 않네요. 앱 지웠다가 다시 설치해도 똑같습니다. 서버가 한번에 몰리는 가입자들을 감당 못해서 이런건지 다른 사람들도 저랑 비슷한 현상을 겪는 것 같습니다. 개선 부탁드립니다. TV조선만 원망스러워지네요
3,와우멤버십가입을 한 적이없는데 돈이빠져나갔네요 ㅎ
4,정기결제로 잘 사용하고 있긴한데요..궁굼한게 있는데 왜 TVN은 따로 결제를 해서 봐야 하는건가요? 라이브에도 없잖아요..
5,가입 버튼을 아무리 눌러도 미동조차 없네요ㅠ 그냥 아이콘만 만들어두고 연결을 해두지 않은건가요...? 로딩중이라는 표시도 안뜨고 그냥.. 눌리기만 할 뿐ㅋ
6,광고가너무길고 재생시마다 광고를봐야하니짜증나네요
7,광고 장난 아님 ㅎㅎ
8,회원가입하고 와우멤버쉽 가입하기 누르면 먹통됨 뭘 보라는건지 말라는건지 모르겠음
9,넘넘 좋고 유용해요~^^
10,어플로 영상 재생하는데 5분마다 자꾸 자동으로 나가져요
11,멤버쉽 가입에서 뒤로 안넘어가네요
12,무료 체험 기간은 없나요 ?
13,탈퇴 메뉴얼좀 만들어주세요
14,회원가입 그지 같이 안 되네
15,와우 멤버십 30일 무료체험를 사용하려고 해도 사용이 안되네요..
16,광고는 오지게 하더니 이게 뭐람;
17,가입하고도 이용할 수 없는 어플이라니.... 와우회원이 뭔지 저기서 넘어가질 않네요 ㅋㅋㅋㅋ
18,축구보려고 가입했는데 축구 중계를 안함
19,무료는 개뿔 복잡하계 해나가지고는 결국 결제 처하라는것 잖아 그딴식으로 운영하지 말아라 별점 한개도 아깝다 쿠팡 처망해라
20,이걸 쓰라고 만든거냐? 와우멤버십을 왜 가입하고 이용해야되는데 회원가입 했으면 그만이잖아ㅡㅡ
21,마블 덕후로서 너무너무 좋은데요ㅠㅠ 다른앱들과 비교했을때 눈에 띄는 불편한점이 두 가지 있어요! 앱 자체에서 화면밝기 조정이 가능했으면 좋겠고 화면잠금기능도 있으면 더 편리하게 이용 가능할 것 같아요ㅎㅎ
22,와우 멤버십 가입이 안되네요. 가입 조차 안되니 뭘 해볼수가 없어요. 시스템이 많이 실망스럽네요.
23,아니 능력 안되면 중계 독점을 하지 말던가 멤버십 30일 버튼 하나 안눌려서 깔았다 지웠다 쿠키삭제했다 하다가 결국 쓰지도 않는 쿠팡 다운 받아서 우회로 멤버십 가입했네 ㅋㅋㅋㅋ 어이가 없습니다 진짜 테스트도 안해요?
24,광고 넘 마니뜸 전화와서 다시보려면 또광고 진짜 이건아니지않나요? 광고시간좀 짧게해주던가
25,축구를 볼수있어요
26,광고 때문에 짜증나지만 그래도 좋다
27,요금 개비싸게 받네 미친
28,무료컨텐츠앱을 써봤었는데 늘 실망하고 지웠었는데요 혹시나 했는데.. 무료제공에 이정도면 만족합니다
29,가입하려는데 비밀번호 입력을 해도 안된다네요 사람 차별하는것도 아니고... 돈도 비싸고 로그인도 안되네요...
30,축구경기 라이브로 보고 있는데 중간 중간 화질이 자동으로 저하 되다 다시 원상태로 돌아오고 그러던데 정상인건가요? 한 1분 마다 한번씩 그러네요ㅜ
31,볼만한건 다 유료
32,회원 탈퇴를 너무 어렵게 해놨네요. 어플에서도 pc에서도 도저히 찾을수가 없어요. 어떻게 하는거죠?
33,업뎃후 초기화묜에서 안 넘어감 돈내놔라 이놈드라
34,가격 인상
35,광고 천국 Wavve
36,가입하고 2일사용했는데 갑자기 계속 오류코드73 뜨면서 접속이 안됩니다
37,축구 중계 너무 끊기고 화질도 너무 안좋습니다.. 해결 좀 해주세요ㅠㅠ
38,광고가 너무 많아요. 넘 많은 탓에 짜증이 나서 실시간 tv도 못 보고 있습니다.
39,회원가입하는데 시스템오류가 떠서 회원가입이 안되요 최악이네요 시스템오류 문제좀 빨리 개선해주세요.
40,무료라서 좋아요
41,가입하는데... 비번이 짜구 틀렸다고 하는거에요 이거 고쳐주세요 삼성 겔럭시 테블릿 7이에요
42,가격은오르고 재미는없고 그만봐야겠다
43,가입하고 화면자체가 연결이 안돼요 몇번을 지우고 삭제하고 회원가입만 하고는 화면자체가 캄캄하게만보이고 먹통입니다. 해결부탁드립니다.
44,무료함을 달래주는데 최고에요!!
45,금액 X 같아여
46,아는형님 보는데 다 시청도 안했는데 다음화로 자동넘어가 버그 수정 좀 해놔라
47,네이버에서 결제하고 티빙에서 볼려하는데 이용권이 없다하네요 너무 번거롭습니다
48,광고 좀 없애주세요. 매번 볼때마다 불편합니다.
49,지상파 방송을 쉽게 볼 수 있습니다.
50,아 네이버 가입하고 다시 3000원결재해서 베이직 요금제햇는데도 계속 결제하라고 하네요 술꾼 보려하는데요
51,회원가입 눌렀는데 몇 번을 눌러도 회원가입이 안 뜨네요
52,런닝맨도 추가해 주세요
53,보는 중간중간 버퍼가 생기는데...왜 그러는거죠ㅜㅅㅜ
54,영화를 구매했는데 시청이 안됨 시청하기누르면 개별구매하기로 넘어감 네이버페이로 카드결제한 내역도 있는데 완전 사기도아니고 짜증남
55,볼게없어요 무료이벤트라 설치했는데 들어가질 않아요
56,"가격 이정도 하고 이정도면 괜찮아요.
다만 다음 편으로 넘어갈때 자막 계속 다시 설정해야하는 오류 고쳐주세요"
57,유료있어서 .... 무료는 없나요 혹시 탈퇴 하고싶어요
58,"연간멤버십 가입했는데
구독 취소 하고 싶습니다
(구독취소시에도 내년까지 구독해야
한다는 내용으로 확인이 됩니다.)"
59,가격 때문애 너쩌구 하는놈들 소직히 ㄸㄹㅇ 임
60,유료임에도 시스템점검이라고하면서 재생안됨.공지도 없음.그냥 시청하다가 시스템점겅로 바뀌어버림.자기맘대로.옥수수때가더나았음.웨이브는별루.
61,지상파 채널 아예 안됨
62,광고없이 무한질주 감동의 독점작.
63,무료로보게해주세요 아님 저 죽어요...!
64,가격 손절ㅋㅋ 디즈니로 갈아타요 번창하세요
65,김수현 때문에 갈아탐
66,"구독취소한다 
역사외곡 드라마 내려라"
67,유료 사용한달 해보고 연장여부 결정하려했으나 설강화따위에 투자하는 모습보니 유료결재한게 아깝지만 앱삭제한다. 굿바이 디즈니플러스 멀리 안나간다
68,"가격대비  너무  혜자네요 ㅠㅠ
무료배송에 ott서비스까지  ㅠㅠ  넘  좋습니다
ㄷ혹시   애플tv 지원할  계획이신지요 ㅠㅠ  좀더  넓은  화면으로  보고  싶네요  ㅋ"
69,무료영화 좋아요
70,구독을 쳐했는데 다른 기기로 접속하니까 구독 안된걸로 되있네요 앱 제대로 처만드세여
71,라이온킹 쩌네요 ㅋ
72,가입을 했는데 로그인이 안되요
73,자꾸 강제종료 되거나 제대로 재생 되지 않는 문제 흐름 끊기고 어이 없음 프리미엄 요금제인데... 타 경쟁사랑 비교 했을 때 어플이 너무 후짐...
74,드라마는 재생 잘되는데 영화는 왜 서비스연결안된다며 재생이 아예안되요. 심지어 구매한것도 서비스연결 지연된다구하며 계속 로딩하다 끝나네요?
75,정기결제 구독했는데 광고가 나오네요. 그리고 구독해도 영화는 따로 결제하는 게 많아서 별로네요
76,오늘새벽 토트넘 경기. 방송 왜 안해줬냐!!!
