,0
0,자막크기 150% 만들어주시길. 100은 너무작고 200은 너무크네요
1,한글 설정 방법 알려주세요..
2,자막이 좀 이상해요...ㅠㅠ
3,한국에 떴다!
4,자막이 너무 커요
5,"자막을 한번 정하면, 외국 거 이든 한국거 이든 
그대로 나오는게 흠이네요
외국 영상에서는 자막이 나오게 하고
한국 영상에서는 자동으로 자막이 안나오게 해야하는
시스템이 있어야할 거 같네요"
6,너무 좋아요 ㅠㅠ 관심에 추가하느라 손가락 아팠음 볼게 너무 많아서 너무 ㅅ행복함
7,한국어 자막이 너무 커요
8,자막 골때림
9,방금 깔았는데.. 버튼에 텍스트도 안나오고…. 뭔지 모르겠네요….
10,한국에도 나왔다
11,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
12,자막 크기가 너무 큰데요..조절할 수 있을까요?
13,화면에 아무것도 안나오네. 하단 버튼 백그라운드 색깔만 나오고.. 어쩌라는건지
14,언어에 한국어 체크하는데도 없고 언어설정 다 바꿨는데 계속 영어로 나오네요 한국어로 바꾸는 방법좀 알려주세요
15,자막이 화면의 4분의 1정도 가리네요 ㅠㅠ 글씨 크기가 조금 작으면 좋을 것 같아요 !!! 엄청 기대했는데 볼 것도 많고 너무 만족스럽습니다 ㅎㅎ
16,자막 크기 좀 줄이고 시청한 콘텐츠도 볼 수 있게 해주세요 ㅜㅜ
17,배속왜없냐
18,"자막보다가 눈빠지겠어요. 스마트티비는 자막크기와 테두리 투명 가능한데, 모바일기기는 크기나 테두리배경 조절이 안되네요. 자막 크기 변화없으면 재구독 의향 없습니다."
19,밝기조절 소리조절탭이 따로없는것같고 작은 화면으로 띄워놓는 기능도 없어서 이런부분을 보완하면 좋을 것 같습니다
20,출시돼서 좋긴한데 앱UI가 너무 구림...플레이어에선 기본적인 볼륨 및 밝기조절도 안되고 pip모드도 안돼있고 하여튼 불편한 점이 많음 못보던거 볼수있다는게 최대 장점임..그외에 죄다 별로..
21,자막이 너무 작아요...
22,자막크기조절가능하게해주세요 짜증납니다
23,한국 서비스 시작! (2021.11.12)
