,0
0,자막크기 150% 만들어주시길. 100은 너무작고 200은 너무크네요
1,감사감사요
2,한글 설정 방법 알려주세요..
3,자막이 좀 이상해요...ㅠㅠ
4,"디즈니 사랑해요ㅠㅠ
디즈니 픽사 마블 스타 네셔널 지오그래픽 다 있으무ㅠㅠ"
5,한국에도 디즈니 플러스를 보게 되어서 좋은데 컨탠츠가 어떤게 있나 볼려면 9900원 가입을 하고 볼수 있다는게 아쉬움…
6,한국에 떴다!
7,자막이 너무 커요
8,"자막을 한번 정하면, 외국 거 이든 한국거 이든 
그대로 나오는게 흠이네요
외국 영상에서는 자막이 나오게 하고
한국 영상에서는 자동으로 자막이 안나오게 해야하는
시스템이 있어야할 거 같네요"
9,한국어 자막이 너무 커요
10,진짜 구독하길 잘했네요 제가 좋아하는 시리즈가 있어서 감사함!!!
11,자막 골때림
12,일본어랑 브라질어랑 다있는데 앱 언어설정에 한국어가없네요…? 웃긴건 또 영상 자막이랑 더빙은 한국어 지원이되네요
13,"근데 없네요, 다크윙 덕, 칩과 데일은 왜 저렇게 만들어 둔건디, 곰돌이 푸 이런거 하나도 없습니다
거기다가 결제 안하면 뭐가 있는지도 확인 안되게 해뒀습니다 이거 거의 사기 아닙니까?"
14,한국에도 나왔다
15,자막 크기가 너무 큰데요..조절할 수 있을까요?
16,"더빙버전말고 자막버전은 없나요?
더빙,자막 버전이 따로 있으면 좋을거같아요."
17,스타워즈 시리즈 마블 시리즈 디즈니 프린세스 픽사 작품 내셔널 지오그래픽 등등 너무 많다
18,"화면 슬라이드로 볼륨 조절 밝기조절,
ㅠㅠ빠른재생(1.5배, 3배) 기능이 없는게 너무 불편해요
첫 홈 화면에 카테고리 바가 있으면 편할거같아요.
(드라마 영화 애니메이션 등)"
19,언어에 한국어 체크하는데도 없고 언어설정 다 바꿨는데 계속 영어로 나오네요 한국어로 바꾸는 방법좀 알려주세요
20,자막이 화면의 4분의 1정도 가리네요 ㅠㅠ 글씨 크기가 조금 작으면 좋을 것 같아요 !!! 엄청 기대했는데 볼 것도 많고 너무 만족스럽습니다 ㅎㅎ
21,다 좋은데 한국어 자막이 좀 커서 아쉬워요 나머지는 다 정말 👍🏻👍🏻 4k여서 더 좋습니당
22,내셔널지오그래픽을 풀로 볼 수 있다니....
23,완다비전 로키 팔콘앤윈터솔저 등등 마블드라마도 실컷보고있고 디즈니 영화도 제공해줘서 좋네요! 무엇보다 한국어패치 너무 좋네요
24,스타워즈 컨텐츠 미쳤네요ㅠㅜ
25,자막 크기 좀 줄이고 시청한 콘텐츠도 볼 수 있게 해주세요 ㅜㅜ
26,아니더라도 필수
27,배속왜없냐
28,"자막보다가 눈빠지겠어요. 스마트티비는 자막크기와 테두리 투명 가능한데, 모바일기기는 크기나 테두리배경 조절이 안되네요. 자막 크기 변화없으면 재구독 의향 없습니다."
29,내셔널지오그래픽!!
30,심슨 볼려고 1년구독 넣었음돠 ㅋㅋ 시즌30개 ㅋㅋㅋ...(스타워즈랑 디즈니애니포함)자막이 좀 투박한데 점차 세련되게 개선되길 기대해요.
31,정식 런칭 전에 지들이 받아놓고 별 한개 달아놓은 매크로식 두뇌로 연결된 인간들이 참 많군용
32,자막이 너무 작아요...
33,한국드라마나 한국영화 자막 좀 달아주세요… 안 들리는 대사나 조용히 봐야할 땐 자막이 있어야 하는데 ㅠㅠ 그리고 청각장애인 분들 배려도 좀 해주세요 🥺
34,자막크기조절가능하게해주세요 짜증납니다
35,한국 서비스 시작! (2021.11.12)
36,자막 배경 없애는 기능 넣어주세요
37,인크레더블2 보고 있는데 자막 싱크가 엉망이네요
38,자막크기 심각하게 작은데 크기조정 안되요?
39,자막 크기가 핸드폰 시스템 자막과 동기화됨. 모바일 환경에서도 자막 크기 수정 필요.
40,한국어 자막같은 기본적인게 추가되어있지않네요. 실망스럽습니다
41,한국드라마컨텐츠 부족
42,심슨가족 시즌1 6화부터 자막 싱크가 안맞음 돈주고보는건데 신경좀 써주세요
43,한글자막 번역이 너무 엉망이네요...싱크 안맞을때도 많구요...
44,인크레더블2 보는데 자막 싱크가 안맞네요 돈 내고 보는데 영화 한 편 제대로 못보네요.. 솔직히 실망입니다 그래서 그냥 한국어 더빙으로 본다능..
45,"심슨, 뮬란 등 제가 좋아했던 만화를 다시 볼 수 있어서 너무 좋아요 하나 아쉬운 점이 있다면 화면에서 소리조절기능이라든지 화면밝기조절기능을 추가해주셨으면 좋겠습니다"
46,자막판으로 못 바꾸는 사람들들 특 영어못함ㅋ
47,자막이 까맣게 나오는데 어떻게보라는건지 조절할수있게 해주세요
48,자막이 나오는 언어가 없음.. 그냥 모든 언어의 자막이 다 안나옴
49,오늘 오픈한 앱이 테스트도 안하고 올리나요. 성인인증 안되는 오류정도는 충분히 확인하고 올려야죠. 실망이네요. 빨리 수정해주세요.
50,자막좀 빨리수정해주시길 자막뒤에 검은색 눈에 거슬려요
51,자막이보기안좋아요
52,컨텐츠는 맘에 드는데 번역상태 왜 이럼? 자막상태도 엉망이고 기기따라 자막이 붕 뜨는 현상도 있음. 유튜브로 런칭기념인지 뭔지 할 시간에 기본은 제대로 하고 하자... 일단 계속 구독은 할껀데 개선 안하면 탈주각임
53,자막이 변역기 돌린거마냥 수준이 아쉽습니다 개선쫌요...
54,해밀턴 자막없는거 뭡니까? 디즈니플러스가 한국에 들어왔으면 적어도 한국어자막이 있어야하는거 아닙니까? 이런성의없는 경우는 무엇인지요? 일년결제했는데 실망스럽네요
55,아이가 디즈니 애니메이션 좋아해서 1년결제했는데요 왕실탐정 미라는 왜없나요?
56,배속설정
57,자막 투명도 조절이 시급해 보임 ㅜ
58,기본적인 것만 충고합니다. 1) 자막 사이즈 키우세요 2) 키워드 기반 컨텐츠 검색 가능하게 해주세요 3) 자막팀 늘려서 컨텐츠 빨리 늘려주세요
59,자막좀 크게 1.5배속 빠르게 좀 업뎃 해주세요 나홀로집에 잇어서 좋음
60,"12일 밤 00시 기다려서 바로 가입함. 검색 어려움 볼것 특정 시리즈 말고 별로 없음, 예정작 언제 어디서 나오는지 모름, 자막 검은색 바탕화면 안에 나와서 걸리적 거림..... 왜 넷플이 1위인지 나는 이제 알겠소 반성해라 디즈니 !!!!"
61,디즈니주니어에서 하던게 다 있지 않네요 디즈니주니어에서 하던 하이호! 일곱난쟁이를 아이가 좋아해서 기다리고 기다리다가 결재했는데 없네요;; 기존에 보던 애니메이션정도는 다 있어야 하지 않나요ㅜ 앞으로 추가가 될 예정인지 궁금하네요
62,자막이 영상을 다 가림. 게다가 불투명 자막이라 더 불편함. 다음화로 바로 넘기기 기능도 없음. 재생바를 꼭 손으로 넘겨야함.화면 밝기 소리 제어 기능 없음. 영상에서 회차정보 보는 내용도 없어서 재생 취소를 반복해야함
63,볼 것은 많은디 좀 느린 듯. 개선되리라 믿습니다.
64,배속 만들어주세요
65,자막크기 조절 시급합니다...
66,배속 기능 추가 해주세요
67,배속 설정 추가해주세요 쿠플에도 있는게 여긴 없네ㅜㅠㅡㅠㅠㅜㅡ
68,자막 미친거 아님? 뭔 발음 받아쓰기에 속도는 겁나빠르고 띄어쓰기도 이상하고 번역 제대로 안되고 걍 번역기 돌린거아님?? 진짜 자막 고쳐지지 않는 이상 절대 안함
69,자막 상태가 왜이러나요..? 차차 개선할건가요?
70,자막 싱크도 하나도 안맞아요 .. 그리고 밝기조절 음량조절 기능도 없네요? 가장기본적인건데요 개선해주세요
71,"자막크기, 재생속도 빠르게 조절할 수 있게 해주세요"
72,자막 크기 설정 안되나요? 한국어로 설정하면 너무 쥐콩만해요... ★☆자막 크기좀 키워주시고 배속기능 넣어주시면 좋겠어요☆★ 한국 출시는 초창기라 아쉬운 부분이 많네요... 콘텐츠도 다양했으면 좋겠어요ㅠ 뱀파이어다이어리도 디즈니에 있는줄 알았는데 없네요ㅠㅠ 보고싶은 콘텐츠 신청은 못할까요??
73,자막 뒤의 검은 배경이 화면을 많이 가려서 거슬리네요. 그리고 ps5버젼 인터페이스는 느리고 오류가 많습니다. 디즈니 픽사 애니메이션을 좋아하는 아이를 위해 1년치 가입했지만 솔직히 넷플릭스 대비 컨텐츠의 양도 절대적으로 부족합니다. 볼게 부족하다는 거죠... 체감상 한 1/5정도..? 많이 노력해야겠네요.
74,좋긴 좋은것 같은데 자막이 너무 작아서 하나도 집중이 안되네요..
