,0
0,"앱 켜면 아무것도 안 뜨고 로그인도 겨우했네요. 
한국 런칭 오래 전부터 기대했는데 실망스러워요."
1,이메일 누르고 다음이 안됨
2,잘 시청하고 있었는데 어느날부터 로그아웃된 후 로그인 안됨
3,접속 안됌 ㅡㅡ 아니 10월 때도 이런일이 있더니 아직도 안고치고 뭐함?
4,자꾸 로그인이 안되요 어떻게좀 해주세요
5,계정 이메일이 오타로 잘못 설정되어버렸는데 수정 가능 할까요?
6,성인인증을 위해 스마트폰으로 핀번호를 누르는데 인증이안됩니다.
7,결제된 계정으로 로그인했는데 왜 로그인이 안되나요 ㅜ
8,인증하려는 창은 왜 키가 안먹히는거냐고!!!
9,이거 로그인을 하려면 왜 자꾸 반복창이 뜨나요? 로그인 하기 - 아이디 패스워드 입력 - 로그인 하기 이거 왜이러는 걸까요?
10,프로필 시청기록 다 지워도 취향추천에 관련된거 보지도 않았는데 이상한거 뜹니다ㅡㅡ 요즘 4인팟 이용자도 많은데 프로필 삭제하고 다시 만드는 기능좀 추가해주세요
11,정말 잘 이용하고 있습니다. 근데 프로필에 비밀번호 설정이 있으면 정말 좋을거 같습니다
12,이렇게 된 이상 청와대로간다~! 보러 왔어요!!! 응원해요~~
13,카카오 로그인하니까 자꾸 티빙에오신걸 환영합니다 이러면서 회원가입창 뜨는데어떡하죠 이용권 결제해놓고 못쓰고있는데요
14,성인인증히려는데 pin입력이 아예안되는데요?
15,S20+사용하는데 무한로딩....너무 자주있음 프로필 핀번호도 가끔 잘못된 거라고 나오고.... 짜증난다 1년구독 해놓고 한편도 제대로 못봄
16,성인인증 하려는데 pin번호가 안눌러지네요
17,로그인 안됨 핀번호 안됨 다운 안됨 스트리밍 안됨. 어썸!!! + 다운시 배터리 광탈
18,성인인증을 하는데 앱에서 인증번호 입력이 되지 않네요. 다른분들은 PC에서 하니까 된다고 하네요. 이건 분명 앱오류인데 그걸 피해서 PC에서 인증을 해야만 하나요? 오류를 수정해주시는게 맞지 않나요?
19,킹스맨 시청 시 왜 성인 인증이 필요하죠? 참조로 전 시청 가능으로 되어 있는데..
20,성인인증이 안되네요
21,킹스맨보려는데성인인증하래서하려는데 핀입력왜안댐???
22,성인인증에 문제가 있는 것 같아요 그거 빼곤 괜찮아요
23,결재까지한 아이디로 로그인한뒤 어플 실행했을때 애플이랑 공유?할거냐고 물어보길래 승인했더니 애플아이디로 따로 결제가 되었습니다 관리를 이따위로 하는건지 참
24,"결재도 완료되어있고 구독도 되어 제 폰에서는 재생이 아주 잘됩니다
그런데 같이 하는 친구는 로그인을 하려고해도 엑세스가 없다 문제가 있다고 로그인이 안되네요 ㅡㅡ
돈을 냈는데 보질 못하니;; 빨리 해결해주세요"
25,처음 로그인 했을 때는 돈내라고 안 했는데 왜 갑자기 돈을 내라고 하죠?
26,로그인 무한반복 놀다가 갑니다
27,내가 지금 회원가입이 된건지 않된건지 회원 가입 절차가 넘어가질 않으니... 반복 로그인만 하네... 취소 방법도 없고... 점검 중이면 메인 화면에 공지 하나 띄우시던가...
28,접속장애 먹통 성인인증 핀에러 심각하다...
29,성인인증 자체가 안됨 개구림 볼수 있는게 없음
30,아니 왜 계속 구독만 뜨는건지 아이디로 결제했는데두 돈내구 볼수가 없네 3명이 같이보는데 내기기만 안되네 갤21+인데 뭐가문제냐
31,성인인증 하라는데 핀코드 안처지는데 해결방법좀 결제만하고 아우것도 못 보네
32,성인인증 하래서 하려고 하는데 핀 번호가 왜 안눌리죠
33,성인인증이 가입시 기본 프로필 말고는 다른 프로필은 안되네요. 참.. 어쩌라는건지.. 하..
34,성인인증 핀번호 개짜증 이것때문에 탈퇴할판 뭐 이렇게 만든건지 핀번호 눌러지지도않어
35,성인인증을 할려고 비밀번호를 누르니까 안눌러져요
36,아니 사이트에서는 앱으로 가라하고 앱은 사이트로 가라하 에라이
37,이거 계속 로그인해도 얼마남지 않았습니다 이것만 뜨던데....
38,성인인증 하느라 머리폭발직전 입니다 티비에선 앱에서 하라하고 앱엔 설정 다 되어있어도 먹질 않고 공유기까지 다 바꿔놨는데 뭐가 문제인지 노트북도 안돼서 짜증 백만개예요.... ㅜㅜ
39,"로그인이 진행이 안됨. 비밀번호가 잘못되었나해서 쿠팡가서 로그인 해보면 제대로 되어있는데, 이 앱에서만 비밀번호가 틀렸다거나 등록되지 않은 아이디라고 나옴 뭐 이래 ㅋㅋ"
40,성인인증 핀번호 왜 먹통인거야?? 개판이네.
41,잘사용하고있었는데 갑자기 어제부터 잠금된 프로필에서 비번입력하는창이뜨면 키보드가 안나와서 비번입력을못하는데 어떻게해야하나요?
42,"오류 39..
뭐 재생만 했다하면 오류 오류 오류
찾아보니 여러계정 동시접속불가 오류라고?
프로필이  4명 뿐인데 ?

혹여나 다른프로 필 사용자들 확인해봤는데 사용도 안하고 있고..

종일 시달였더니 복장터질까봐 하마디 하고 갑니다

속터지네요"
43,성인인증 안됨 비번 걸어놓은거 안풀림 인증 일년에 한번인데 왜 볼려면 인증해야하고 로그아웃 계속 되면서 재생 자체를 안되게 해놓았는지 왜 인증만하다가 끝나는건지
44,아직 하나도 안 보고 친구 아이디로 같이 쓰려는데 환불 가능할까요
45,별로 없어요 사용하기 불편ㅠ 복잡하고 그리고 무조건 자동결제됩니다 해지도 하기 쉽지않고 그냥 다되갈때쯤 탈퇴가답임ㅋㅋ
46,성인인증이 안돼 ㅋㅋㅋ 어떻게 해야됨?
47,"분명 처음에 성인인증 하래서 만들자마자 해놨는데,, 오늘 성인인증 또 하래서 했더니 프로필 두개중에 하나는 성인인증이 계속 안됩니다, 한프로필로만 뜨네요,, 고쳐주세요ㅠ"
48,성인 인증 핀 번호 입력 오류 계속 나고 윈도우 앱에서 깐거는 키보드 방향키 오류 계속 나고 최악 이네요 윈도우 초기화 까지 했음
49,그룹워치 누르면 pc에서만 되고 폰에서는 되질 않아요. 폰에서는 자꾸 어플다운창부터 뜨고. 기존 어플을 켜서 그룹워치 초대장을 눌러도. 로그인창 다시 뜨고 상대가보낸 초대장링크의 그룹워치로 들어가지질 않습니다.
50,"치명적인거

볼륨이 지 맛대로 바뀝니다 

바탕화면넘어가면 줄어드는건되는데 다시 원상 복귀하면 재 로그인 하게됨"
51,아니 왜 계정 등록이 안되나요. 네이버나 카카오 계정 연동을 하면 죄송합니다. 문구 딱 뜨고 그담엔 뭐~ 이유라도 설명을 해야할거 아니에요. 죄송합니다. 만 써있으면 뭘 어쩌라는건지.
52,로그인 무한반복에 태어나서 처음으로 리뷰 남긴다 쓰레기 같은 서비스네 해결 됐다고 다시 설치하라더니 여전하네 중계 독점하지마 쓰레기 같은 것들아
53,성인인증 핀입력 오류 왜 아직도 수정이 안됐나요 ㅠㅠ
54,고객센터는 코로나로 인해 전화 받지 않고 1:1 문의는 필수 파라미터 누락이라며 글이 써지지 않는데 어떻게 해야 하나요?
55,쿠팡 아이디 로그인이 안됩니다. 쓰지말란 뜻.
56,축구볼려고 로그인 하려는데 왜 로그인 안됨? 아 개짜증나
57,프로필에 새 기기연결하기가 없어요...갤폴드 3입니다
58,성인인증 구독취소를 위한 핀버튼 입력은 폰에서는 안됩니다 모바일에서 가입하고 이용하려고 설치한건데 왜이러나요
59,"계정 가입해서 구독도 했는데 바로 로그아웃하고 로그인하려니까 없는 계정이라고 계속 오류만 뜨네요
지금 가입한지 십분 정도 되었고 바로 구독취소 했습니다"
60,계정관리 할때 핀번호가 안먹히네요.. 답답해서 포기~~ 하나하나 수정해 가시겠죠? 오류 수정 부탁드려요
61,꼭 로그인 한나요 그냥보면 안돼나요
62,성인인증이 안됩니다 팝업창 들어가서 핀 입력하려하면 입력 자체가 안돼요;
63,성인인증 창에서 프로필 핀번호와 본인확인 비밀번호가 입력이 안 돼요^^... 태블릿 핸드폰 모두 똑같은 걸 보니 제 기기 문제는 아닌 것 같네요. 검토 부탁드립니다.
64,성인인증시 숫자입력이 왜 안되나요?
65,프로필 잠금 기능 만들어주세요
66,티빙 회원 탈퇴좀 해주세요!!지금 티빙 아이디하구 비번을 몰라서 시청할수가 없네요...아무리 찾아도 찾을수가 없어요...다시 가입 하더라도 일단 탈퇴좀 해주시면 감하겠습니다...
67,"앱을 아주 잘 사용하고 있는 유저입니다. 
다만 여러개의 프로필의 순서를 바꿀 수가 없어서 아주 곤란합니다. 수정 부탁합니다."
68,"몇번이나 아이디, 비번 입럭했는데 도돌이표네요. ㅜ"
69,성인 인증이 안됩니다. 문자 메세지 전송 버튼을 눌러도 계속 응답없다가 시간이 경과합니다 메세지가 뜹니다.
70,접속안됨 장난하나 이러면서 돈받는건가? 일주일 넘 은듯
71,디즈니 결제 까지 다하고 계정을 바꿀려고 하는데 계정 아이디가 틀려서 모르는 사람 계정으로 로그인이 됐는데 바꿀려고 했더니 지메일에서 인증번호를 받아야되는데 모르는 사람 계정이라 못바꾸는 상황 이네요 이것좀 개선해주시면 좋을거 같네요 돈은 나가서 어쩔수가 없는 상황이고 좀 당황스럽네요.
72,계속 잘 쓰고 있었는데 어느 순간 자동로그아웃이 되었는데 다시 로그인 하려고 하니 로그인이 안되고 있어요. 다시 로그인 하려고 했는데 계속 로그인이 안 된다고만 뜨고 몇번을 다시 삭제하고 깔아보고 다른 아이디까지 만들어서 들어가 보려고 하는데 아무리해도 로그인 자체가 안 되고 있어요. 아니 돈을 내고 보겠다는 어플 상태 왜 이러나요?!!?! 너무 어이가 없어서... 계속 잘 사용하다가 자동 로그아웃이 되지 않나... 로그인도 안되는 어플을 어떻게 사용해요?
73,접속 오류 pin오류 초기화면 오류 다운오류 오류오류오류 오류투성이 하지만 체험기간 없음 돈주고 오류를 산 꼴...
74,성인인증 하는 문자가 왜이렇게 안떠요??????
75,"이사하고 TV변경해서 등록했는데 아이디 비번을 수십번 반복해도 로그인 되지 않고 이메일, 전화번호, 카드번호 전부 눌러서 확인하고 이메일 로 보낸다고 계속 뜨는데 이메일에는 답변오지 않네요 취소도 못하겠네요"
76,로그인 안할거야
77,성인인증 나만 안되나? 핀 입력 하라는데 키보드가 안뜨면 어쩌라고
78,?? 제가 쓴 리뷰가 없어졌네여??? 아니 저 가입도 안했는데 왜 가입에 성인인증에 핀번호 설정꺼지 자동으로 되어서 메일 발송되고 이상해서 어플깔고 로그인에 영상 3초정도 돌렸는데 진짜 돌아가네요. 이거 남의 개인정보로 자동가입해서 유치하고 계신건가요?
79,넷..처럼 여러계정이나 폰으로 로그인할려면 어떻게 하나요?? 텝에 해놓고 폰에서 로그인하니 또 결제가 뜨는데??
80,성인인증 허려고 정말 여러번 시도 끝에 들어갔으나 숫자가 입력이 안됩니다... 언제 수정해주시나요? 성인인증 할 수 있게 바로 해줘야 하는거 아닌지.. 어쩌라는건지...
81,"계정을 많이 추가할수 있어서 좋고, 각자의 취향대로잘 골라주네여"
82,성인인증에러도 해결못하는 넷플릭스 어렵다.나잡아라.
83,쓰레기 같은 앱. 프로필 선택 후 비밀번호 입력하면 자꾸 틀리다고 나옴. 로그인 시도 10번 중 1번 정도만 됨.
84,접속안됨
85,데드풀 보려고 재생 눌렀더니 성인인증 하라고 하는데 창이 나왔다 꺼지고를 계속 반복합니다. 어떻게 성인인증을 하라는 거며 프로필에서 하고 싶어도 따로 할 수 있는 곳이 마련 되어있지 않아요. 어쩌다 켰는데 계속 핀번호 누르라면서 눌리지도 않으니 네이버앱으로 켜기 누르니까 갑자기 다시 디즈니 플러스 어플로 이동하네요. 진짜 답답합니다.
86,입력잠금 기능이 없고 실수로 시청을 눌렀을때 시청중이라고 된걸 삭제할수 있는기능도 없어요 ㅠㅠ
87,로그인 했는데도 못 쓰네요.
88,내 계정을 누군가 해킹했는지는 모르겠지만 자꾸 모르는 프로필에 핀번호까지 걸려서 생성되는데 짜증나네요
89,갑자기 로그인이 안됨. 쿨론 답변은 이메일 어쩌구 하면서 보내라고 하겠지
90,애플 로그인이 안 되는데 '제 계정'이 로그인이 불가한게 아니라 티빙앱(웹도 마찬가지) 자체에 애플로그인을 눌렀을 때 오류가 생겼다며 넘어가지 않습니다. 일요일부터 이렇습니다ㅠ
91,성인인증에 들어가면 pin번호가 써지질 않아서 볼수가 없네요 디즈니라 아예 19금은 못 보도록 막아놓은 건가요ㅡㅡ
92,보려고 결제 까고 잠깐 로그아웃했다가 다시 로그인 하는데 애플오류 떠서 안되는줄알았는데 일주일동안 안되네요 티빙에서 결제 한걸 환불 해주시던지 아님 빨리 해결해주세요
93,항상 잼있게 보고있는데 애플 아이디 로그인 오류가 떠서 접속이 안돼요..해결좀 부탁드립니다!
94,도대체가 앱 로그인은 어떡하면 끝나는가
95,어~라... 또 로그인이 안되네... 아~놔 계속 튕기네요...ㅠㅠ 혈압 있으신 분들은 사용상 주의요함!
96,22일 어제 티비보고있었는데 갑자기 로딩중으로 뜨면서 화면이 정지되어서 앱종료하고 다시 들어갔더니 아이디를 다시 로그인하라고 하는데 로그인이 안됩니다. 앱삭제하고 다시 깔았는데도 안돼요.뭘 어떻게 해야되나요?
97,아니 왜 로그인이 안돼 제발 이것좀 고쳐 제발 빨리
98,접속불가.
99,지브리 또는 핀과 제이크 프로필 좀 내주세요 사랑하는 저의 하쿠와 제이크를 프로필로 하고싶어요 그리고 찜했던거 초기화 좀 시킬 수 있게해주세요 일일히 삭제하는거 귀찮아요 그렇다고 프로필을 지우면 시청했던게 날라가잖아요 그거 말고는 괜춘 가격 오른게 좀 그렇지만
100,어플을 재설치해도 비번을 바꿔봐도 로그인이 안됩니다..
101,로그인이 않되네
102,다 좋은데 프로필 잠금이나 초기화 웂나요
103,접속 불가가 너무 자주 일어나요...
104,접속이 안됨 ㅋ킼ㅋㅋ
105,접속이 왜 않될까요
106,접속도 안되고 돈은 공지없이 오르고 갑질이 아주 심해졌네 별 하나도 아깝다
107,기준아이디로그인하니깐 번호변경하라고해서 하려는대 머가이리복잡함? 신규로가입하려니깐되지도않고 시간만버리고 머여ㅡㅡ
108,며칠째 로그인이 안되요 왜이런겁니까?
109,접속이 안돼요ㅠ 안 들어가져요ㅠ 지우고 다시 깔았는데도 안 들어가지네요.. ㅠ
110,로그인했는데 자꾸 다음화면 안넘어가고 다시 로그인화면이 떠요
111,앱에서 영화를보고싶은대 자꾸만 시간이 얼마안남았습니다만 뜹니다... 그리고 자꾸 로그인이 안돼요..
112,pc 웹에서는 로그인 되는데 app로그인 불가입니다
113,카카오뱅크로 넷플이나 타 어플도 결제중인데 결제의 폭이 넓어지면 좋겠어요 ㅠ 농협이 있어서 결제후 잘 보고있습니다.
114,다 좋은데 프로필 잠금 기능이 없어서 불편합니다!!!!!
115,계정 만들고 결제도 했고 앱도 깔앗는데 왜 안들어 가지나요?
116,쿠팡 아디만들고 로그인을 하려는데 로그인이후에 왜 안넘어가나요?
117,일시적인오류로 자동로그인이 실패하였습니다라고 계속 뜨네요 어제까지만해도 됬는데
118,네이버로 로그인 하려고 하자 인증하라고 비밀번호 및 영수증 등 입력이 나옵니다 10번을 해도 로그인이 안되고요. 몇번을 해야 하는 건지... 시청도 못하고 이용권 낭비하고싶지 않습니다. 빠른 조치 부탁드립니다.
119,"로그인하면 와우멤버심 가입하라고 떠서 나중에 하기 했는데 다시 로그인 창 뜨고 무한반복이네요,,,"
120,결제를 한다는데도 본인인증 뺑뺑이만 돌리네요. 오늘 티빙에서만 본인인증을 다섯 번도 더 했어요. 본인인증을 했는데도 계속해서 본인인증 하라는 창만 나오질 않나. 나이 인식을 못하는지 14세 미만이라고 결제가 안된다나 앱사용성이 너무 떨어집니다. 방송 보러 들어갔다가 화만 잔뜩 얻고 갑니다.
121,비밀번호를 몇번 치게 하는거야 드럽게 만들어났냐 퉤
122,로그인 해도 자꾸 로그인창만 나오고 접속 안되는데 언제 고치시나요
123,로그인이 안됩니다 모든 계정이 안돼요 갤럭시탭s7플러스예요
124,아이디찾기부터 모든 절차가 21세기 어플이라고 보기 어려울정도로 번거롭고 타 ott어플에 비해 나은점이 없음
125,아이디 찾기를 해서 아이디를 찾았는데 비밀번호 찾기 들어갔더니 아이디가 틀렸다고 계속 뜨네요 ㅠㅠ
126,2020.8월달 남긴 리뷰에 답글이 ㅇ아직도 없네요. 현재 로그인 문제 발생했습니다. 점검부탁드립니다.
127,보려다가 암걸리겠다 지짜 짜증난다
128,로그인이 안 됩니다. 아이디나 비밀번호 찾기 눌러도 변화가 없습니다.
129,비번까먹어서 오류뜬것같은데 83으로 떳는데 뭔가요?
130,아니 며칠전부터 자꾸 로그인이 안돼요 개빡치게 비밀번호가 맞는데 자꾸 틀렸다고 하네요? 심지어 엊그제는 하다하다 안돼서 비밀번호 찾기 후 변경해서 로그인했었는데 오늘 또 비밀번호가 틀리대요. 변경한 비밀번호 따로 적어둔거 보고 오늘 그대로 입력했는데도!!!!!!!!!!!!! 진짜 어이가 없어서 무슨 문제인지 모르겠지만 빨리 해결해주세요. 비번 변경하는것도 하루이틀이지
131,로그인자체가안됩니다 pc로는되지만 성인인증때문에 모바일깔아서 할려고하는데 로그인 비번틀렸다고나옵니다
132,앱 키자마자 넷플 글씨만 뜨고 로그인 안됨 1주일째 이상태임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가격도 겁나게 올리면서 앱관리 제대로 하지도않고 돈벌 생각이 있는건지 없는건지~
133,접속 불가... '문제가 계속 되면 나중에 다시 시도하세요.'
134,"앱 로그인 오류, 티비도 오류, 비밀번호 바꿨는데도 오류...오류코드83 만 계속 보내요."
135,페이지를 불러오지못했습니다.AN-BCP-on 새로고침해도 영상이안나오는데요..해결해주십시요
136,아니 장난하나 쿠팡아이디 로그인 된다더니 와우인지 뭔지 가입 안 하면 로그인도 안되냐? 어이가 없네.뭐 이딴 앱이 있어
