,0
0,버튼이 에피소드 끝나고 바로뜨면 젛겠어요 왓이프는 언제공개되나요?
1,너무 좋아요 ㅠㅠ 관심에 추가하느라 손가락 아팠음 볼게 너무 많아서 너무 ㅅ행복함
2,"영상에 비해 자막 너무 커서 얼굴 다 가리고 
자막 뒤에 배경 때문에 얼굴 싹다 가리고 미치겠어요
자막크기랑 배경 설정좀 할 수 있게 바꿔주세요 제발"
3,뒤로가기나 다른 상단바 터치들이 잘 먹히지 않습니다
4,"pip모드로 영상보다가
전체로돌아가면 프로필화면으로 넘어가네요
ios최신버젼에 맞춰 업데이트 부탁드립니다"
5,방금 깔았는데.. 버튼에 텍스트도 안나오고…. 뭔지 모르겠네요….
6,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
7,개선 부탁합니다
8,"1. 자막 설정
  자막 크기가 너무 커서 화면을 너무 많이 가려요 사용자 설정으로 자막 글씨 크기 설정, 위치 설정을 할 수 있게 해주세요
2. 백그라운드 재생
  백그라운드 재생할 수 있게 해주세요"
9,1.5배 / 2배속 기능이 없어서 불편해요. 나중에 업데이트 해주시리라 믿습니다.
10,화면에 아무것도 안나오네. 하단 버튼 백그라운드 색깔만 나오고.. 어쩌라는건지
11,배속왜없냐
12,밝기조절 소리조절탭이 따로없는것같고 작은 화면으로 띄워놓는 기능도 없어서 이런부분을 보완하면 좋을 것 같습니다
13,출시돼서 좋긴한데 앱UI가 너무 구림...플레이어에선 기본적인 볼륨 및 밝기조절도 안되고 pip모드도 안돼있고 하여튼 불편한 점이 많음 못보던거 볼수있다는게 최대 장점임..그외에 죄다 별로..
14,팝업재생 안되는거 실화냐
15,좌우레터박스 안 나오게 화면 비율 지원 부탁드립니다
16,다 좋은데 자막 사이즈가 다른 ott에 비해 너무 커요 자막 크기 조정 가능했으면 좋을거같아요
17,배속설정
18,"미녀와 야수, 캐리비안해적 해설자 자막이 하나도 없네요 원래 없었던거 같은데 영화마다 해설이 다 나오는거 같은데 어떻게 없애는지도 모르겠고 오래전 작품들도 볼 수 있을 줄 알았는데 몇개빼고는 없고 101마리 달마시안이나 신데렐라 등, 전 애들이 예전에 보던 작품들을 보고싶어해서 결제한건데 디즈니 작품은 몇개 없는거 같애요 이름만 디즈니지 디즈니 작품도 몇개 없네요 초!! 비추"
19,기본적인 것만 충고합니다. 1) 자막 사이즈 키우세요 2) 키워드 기반 컨텐츠 검색 가능하게 해주세요 3) 자막팀 늘려서 컨텐츠 빨리 늘려주세요
20,왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네ㅋㅋ 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요ㅎㅎ
21,"결정적으로 넷플이나 다른 ott 앱과 비교시 화면 밝기 조절이 안됨... ㅡㅡ 영상에 밝기와 소리 조절, 화면 넘김이나 스크롤이 얼마나 중요한데... 현재 플레이 되는 영상이 어떤 화질로 플레이 되는지에 관한 정보나 이런것도 좀 더 있었으면 좋겠음. 이제 시작이니... 앱 업뎃으로 추가 기능들이 더 생겼으면 좋겠음."
22,자막이 영상을 다 가림. 게다가 불투명 자막이라 더 불편함. 다음화로 바로 넘기기 기능도 없음. 재생바를 꼭 손으로 넘겨야함.화면 밝기 소리 제어 기능 없음. 영상에서 회차정보 보는 내용도 없어서 재생 취소를 반복해야함
23,재생이안됨
24,배속 만들어주세요
25,배속 기능 추가 해주세요
26,한국 자막 표시 위치 조정이 안됩니다. 버그인거 같으니 업데이트 필요해보입니다. 화면 중간에 자막이 표시되네요.ㅋㅋㅋ 넷플릭스랑 비교해서 앱이나 웹브라우저 기술력이 한참 떨어집니다. 한국에 늦게 들어온 만큼 제대로 좀 하시지. ㅉㅉㅉ UI도 굉장히 비효율적입니다.
27,배속 설정 추가해주세요 쿠플에도 있는게 여긴 없네ㅜㅠㅡㅠㅠㅜㅡ
28,같은 네트워크상황에서 넷플릭스보다 로딩이 길고 더딤 인터페이스도 너무 간결해서 불편함 다음회넘김도없고 몇화까지있나보려면 나갔다가 보고 들어와야하고 밝기조정도 인터페이스상엔 없음
29,1. 화면밝기 & 소리 조절 못 함 2. 자막 크기 설정이 없음 3. 결제 관리 앱으로 안됨 4. 자막 오역과 오타 너무 많음 아직 앱에서 부족한 부분이 많은 것 같음 자막번역 때문에 앱 출시가 늦어졌다고 아는데 늦어진거치고 자막의 질이 기대이하임
30,영상을 보려고하면 검은화면과 소리만 들리네요 다시삭제했다가 깔아도
31,페어리테일9기랑 10기 빨리올려주세요!
32,넷플에 없어서 못보던 예능이나 드라마가 있어서 좋습니다. 특히 무한도전.. !! 들어온 거 보고 놀랐었는데 회차도 계속 업데이트 되니까 너무 좋네요 ㅠㅠ
33,개선되어야할게 좀 많다. 왓챠처럼 만들어졌음 좋겠다. 적어도 배속기능은 대중성을 위해 있어야할테고 팝업기능도 필수라고 생각한다. 이 두개만큼은 어플의 성공을 위해서라도 갖추세요
34,화면밝기조절이 불편하네요
35,"영상을 재생한 후에 화면내에서  컨트롤 할 수 있는 기능을 만들어 주세요 밝기를 조절하거나 볼륨조절, 다음화로 중간에 바로 넘어가거나 하는 기능들이 필요합니다!!"
36,"배속기능과 자막 크기조절기능이 필요할 것 같아요
그리고 넘길때도 조금 늦게 버퍼링돼서 넘어가서 약간 답답하긴 합니다 ㅜ 그 외에는 너무 잘 쓰고있어요~♡"
37,"컨텐츠 별5, 재생플레이어 별1"
38,"밝기 조절 , 볼륨조절, 영상 조절이 매우 후지거나 전혀 없음. 관련 gui 개선이 시급함. 그리고 전체적으로 영상이 어두운 듯...."
39,편하고 좋네요~:)
40,화면장금좀 만들어 주세여
41,팝업안됨 배속재생안됨 자막한국영어동시에띄우게해줘 너무 구린거 아니니
