,0
0,실행하고 가입하는데 글씨가 하나도 안보임
1,리뷰가 6개밖에 없다 나도 빨리 써야지
2,첫리뷰 와 첫리뷰
3,로고만 뜨고 그 뒤로는 아무것도 안뜸
4,접속 안됌 ㅡㅡ 아니 10월 때도 이런일이 있더니 아직도 안고치고 뭐함?
5,무한반복 로그인 뭐 해결이 되었다구요? ?? 괜한 시간만 낭비했네 잰장..
6,설치가 안됩니다 ㅠ 갤럭시 탭s2 디즈니도 되는데.....
7,오류코드39번이자꾸 뜨는데 몬가요? 영상을재생할수없다고합니다
8,로딩이 너무 길어요..보고 싶은 영화 선택하면 화면 전환이 안되고 계속 렉 걸려서 답답해요
9,설치가 안댐...
10,오류코드39 오류발생하면서 재생 안되네요
11,접속오류 무한로딩 스트레스
12,로딩이 느려
13,접속장애 먹통 성인인증 핀에러 심각하다...
14,한달쓰고해지할예정 이유 콘텐츠부족
15,TCL 티비에 설치했는데 재생이 왜 안되죠??ㅠㅠ 영상 누르면 상세 페이지가 떠야하는데 계속 로딩중이기만 하고 안나와요......
16,오류 코드 39라고 뜨고 재생이 안 되는데 어떻게 해결하죠?
17,실행이 안 됩니다. 빨리 고쳐주세요
18,오류 코드 39라고 재생이 안됩니다.
19,이유없이 화질깨지고 버퍼링이 걸리네요. 별점 1개도 아깝고 돈이 아쉽네요.
20,최악 환불해주세요. 어서 환불하는거야 짜증나
21,무한 로그인 반복.. 최악
22,재생 누르면 로딩하다가 다시 재생 목록으로 돌아가는데 어떻게 보라는건지 모르겠네요
23,오류가많아요 랙이심해요
24,삭제 버튼 하나 만들어주세요. 중간 보다 나간 영상들 뜨잖아요. 그거 없애고 싶은데 영상을 끝까지 봐야 없어지는게 너무 별로에요..
25,핸폰 업데이트 후 티빙 로그인이 풀렸는데 비번오류가 계속되고 컴으로 사이트에서 비번 찾기로 변경후 로그인 되었는데 모바일은 일치하는 정보가 없다고뜨며 겨속 오류가 발생하네요~ 압 삭제후 재설치하도 같은 오류이고요 로그인이 안되니 답답하기만 하네요~ 고객센터 상담원연결은 크로나로 안되고~ 어찌해결해야할까요~ 앱문제 일까요? 해결 방안을 주세요~~
26,리뷰가 삭제되었네요! 추가 기능 생성 요청 1. 다음화 버튼 2. pip모드(핸드폰 재생시)
27,오류가 많네요...
28,리뷰왜지우는거에요????장난? 계속 오류났다고 어플안들어가지는데 어쩌라는거지?
29,데이터를 겁나 엄청 많이 쓰는 앱임
30,처음엔 그냥 내 인터넷이 느리겠거니 생각 하고서 5분을 기다려도 메인화면에 썸네일들이 하나도 안뜹니다. 하도 안떠서 제목만 보면서 아무거나 골라서 들어갔더니 페이지도 안뜹니다. 영상 렉이 문제가 아니에요. 그냥 텅빈 페이지만 띄워놓습니다.
31,볼것도많고재밌어요^^..
32,폴드3 사용자입니다 가로로지원이 안되네여 최적화좀 ㄱ시켜주세요
33,접속안됨 장난하나 이러면서 돈받는건가? 일주일 넘 은듯
34,"앱 만족스럽게 잘 쓰고 있습니다. 근데 모바일 시청 시 왼쪽 화면을 위아래로 움직이면 밝기 조절이 되고 오른쪽은 음량 조절이 되는데 그 기능을 끌 수는 없는 걸까요? 이런 기능이 없는 타 어플을 주로 사용하다보니 밝기나 음량을 실수로 움직일 때가 많아서요. 상단 메뉴바를 볼 때도 저로써는 꽤 불편했습니다. 이 밝기, 음량 조절 기능을 끄는 게 있나요? 만약 없다면 온오프 기능의 추가를 요청드립니다..😊"
35,오류ㅡㅡ
36,접속 오류 pin오류 초기화면 오류 다운오류 오류오류오류 오류투성이 하지만 체험기간 없음 돈주고 오류를 산 꼴...
37,너네 월급 구글 포인트로 받아라
38,실행안됨 ㅜㅠ
39,실행이안되요.계속 시작화면에서 멈춰서 안넘어가서 오류뜸.빨리해결해주세요
40,실행이 안되요 ㅠ
41,접속안됨
42,리뷰삭제하지말고 해결해주세요ㅡㅡ 제가욕을 한것도아니고 영상이안나오는데
43,실행이안되네요..모든게ㅡㅡ
44,폴드 3 사용중인데 설정에서 기기 추가하기 버튼이 없어서 TV 앱 로그인을 할 수가 없습니다. 언제나 업데이트 되는건가요 최악입니다
45,접속불가.
46,최악!
47,Cant watch while doing other things on your phone. Too bad.
48,로딩 개선좀 제발... 개인 인터넷 문제아닙니다 유튭이나 넷플은 바로바로뜸
49,"1.번역 상태 똥 파파고도 이렇게 번역은 안할듯 몇개는 번역도 안되어 있음 어이가 없더라 2.부족한 콘텐츠 쥰나게 많은 영화를 가지고 있는 넷플도 볼거 없다 소리나오는데 디즈니라고 별 다를까? 3.왜 오프라인 저장은 모바일에서만 되는가?? 이건 진짜 왜그럼??? 아직 출시한지 얼마 안되었다고 해도 넷플,왓챠하고 너무 비교가 됨 앞으로 개선되길 바라요..."
50,어플 깔고 로긴 하고 들어갔는데 영상재생만 하면 '페이지를 불러오지 못했습니다 (AN-BCP-INT)' 라고 뜹니다 지우고 다시깔아도 마찬가지네요 왜이럴까요
51,접속 불가가 너무 자주 일어나요...
52,접속이안됩니다
53,접속이 안됨 ㅋ킼ㅋㅋ
54,접속이 왜 않될까요
55,접속도 안되고 돈은 공지없이 오르고 갑질이 아주 심해졌네 별 하나도 아깝다
56,최악
57,"뭔지 모르고 자동결제 해지를 하기 위해 들어갔더니 무슨 쿠폰을 주더군요. 그래서 뭔지 모르고 그냥 받았고 해지를 하려 했는데 해지가 불가하다고 해서 우선 결제일을 기다렸습니다. 볼 컨텐츠가 거의 없었고 저는 그 쿠폰인지 캐시인지를 쓸 생각도 없고 그냥 해지 하고 싶었습니다. 자동결제가 될 당일 그냥 회원 탈퇴를 하면 자동결제가 될 일이없다고 생각했고 탈퇴를 하였습니다. 탈퇴 확인 메일을 받았는데, 탈퇴 후에 자동 결제가 되었습니다. 이게 무슨 상황인지 모르겠어요. 회원탈퇴라고 하면 개인정보가 지워지는 건데 그것도 아닌거고 결제도 되고.. 글은 왜 삭제하시나요?"
58,접속이 안돼요ㅠ 안 들어가져요ㅠ 지우고 다시 깔았는데도 안 들어가지네요.. ㅠ
59,버퍼링 좋나 심함 ㅡ.ㅡ 다른곳은 안그런데 여기만 그럼
60,설치가 안돼요
61,데이터 품질의 문제라고 하기에는 다른 OTT서비스 영상은 매우 정상적으로 재생이 됩니다. 잘 이용하고 있었는데 오늘따라 특히 영상 끊김이 너무 심하고 저화질로 변환되는 것도 한두번이 아니라 화나네요 ㅠㅠ
62,버퍼링 끊김 심해요..
63,실행이 안되요
64,최악이다 최악이야 핀번호 입력도 안 되고 영화 저장한것도 재생이 안 되고 ㅋㅋㅋ 내 돈 다시 돌려줘 ㅡㅡ
65,이 오래된 버퍼링은 언제쯤 해결 하실건가요?제대로 좀 해주세요
66,실행해도 반응이없네요
67,버퍼오지네요 업데이트한뒤로 버퍼오지네...다른데껀 아무문제없는데 이것만이상함..집데이터 아무문제없는데 여기것만 그러면 쿠팡이문제가있는거네요
68,TV와 연결이 안되네요. 어쩌다 한번 될까 말까해요. 버퍼링도 너무 자주 걸려요
69,실행이 아예 안되네요 잘보다 갑자기 검은 화면만 나와서 삭제 했다 설치를 했는데 또 검은 화면만 나와요 몇번의 삭제와 설치를 반복해도 결과는 같네요 왜 관리가 이런지... 그냥 다시는 설치 안하고 싶네요
70,"업데이트 이후로 강제 로그아웃 되더니 로그인이 전혀 안되네요. 혹시나 하는 마음에 아이디 찾기를 해도 원래 아이디인데 비번찾기를 하면 아이디는 없은
아이디라고 나오고……구독해서 유료로 사용하고 있는데 이런 오류가 계속 뜨니 좀 화가나네요."
71,실행 안됨
72,설치 안됨
73,티빙 홈페이지에서 구독중인 정기권이 두개라고 변경가능하다고 하는데 어떻게 해야하고 어디로 문의해야하나요?
74,안됨 디바이스 오류
75,자꾸오류가나요ㅠㅠㅠ 지금헤어지는중입니다 자꾸 버퍼링 걸려서 안나와요ㅜㅜㅜㅜ
76,설치가 안돼요.. 계속 대기중 ㅠㅠ
77,오류코드 39가 해결이 되지 않아 재생할수가 없습니다
78,접속 불가... '문제가 계속 되면 나중에 다시 시도하세요.'
79,접속이 안됩니다
80,설치했는데 앱자체가 안켜져요 그냥 검정화면만보임.왜 그럴까요?
81,리뷰삭제?? 다른데비해서 데이터 소진이 많이된다고 쓴것뿐인데 삭제하네 ㅡ.ㅡ
82,페이지를 불러오지못했습니다.AN-BCP-on 새로고침해도 영상이안나오는데요..해결해주십시요
83,오류이후에 재설치 10번해도 해결이 안됨
84,오류겁나많음
85,오류코드 91뜨면서 계속 안됨 뭐가 문젠지 몰겠음
86,설치했는데 검정화면만 나오고 안켜지는건 뭔가용?
87,최악의 어플..... 옥수수가 훨나았음
88,리뷰는 왜지우는거죠?어플실행이 안되네요
89,데이터로 볼때 재생이 너무너무 느려요
90,실행이 안돼요
91,설치가 안되네 ㅋ
92,최악 그냥 앱은 볼 수 있는줄 알았더니 아니네
93,실행이 안되는데??...ㅋㅋㅋㅋ
94,오류가 너무 심해서 가입조차 하기 힘듬니다.
95,접속이안됩니다
96,태양의 후예 한 편만 다운받아도 시간이 20분 넘고 잔버그가 너무 많아요. 현재 버그+렉이 넘 심해서 태양의 후예 1화부터 최종화까지 다운버튼을 누르면 페이지를 불러오지 못했다고 나오네요. 제발좀 수정좀 해주세요. 다운로드즘 되게 해주세요. 진짜 제발좀 아니 딴 영상물은 잘만 되는데 왜 태양의 후예만 이래요?
97,접속이 안돼요 해결 바랍니다.
98,접속이 계속 안되여.. 혹시나 싶어서 삭제하고 다시 설치 했는데도 접속이 안되네여..
99,설치하는데 50분도 더 걸렸어요..설치하면서 렉 걸리는듯요..요즘도 이런 앱이 있나요?
100,이상하게티비로연결해서보면버퍼링이 심한데왜그럴까요?
101,오류발생 연결이안되요
102,실행이 안되는 쓰레기네요
103,요새 볼만하면 자꾸 버퍼링 나고 너무짜증나요 무료로 보는것도 아니고 돈내고 보는건데 1분에 1번이상 버퍼링 나네요 도데체 보라는건지 말라는거지 재 제발 업데이트 할때 이런거나 신경써주세요
104,최악. 경고문도 못지움
105,로딩좀 개선해주세요
106,최악
107,접속이 안됩니다
108,"앱 편리성 최악, 번역 최악"
109,"저번달에는 홈페이지에서 결제해서10,900원이였는데 이번달은 아이폰에서 결제했더니16,000원이네요 뭔가 이상해서 다시 홈페이지로 들어갔더니 가격은 동일하던데요 사용한지 하루도 안됐는데 변경해주세요"
110,접속이 안되서 몇번을 다시 지우고 설치하는지 모르겠네요. 아직 디즈니플러스를 사용할 때는 아닌거 같습니다
111,넷플릭스 회원 가입 어떻게 해요?
112,로고만 뜨고 안 들어가지네요ㅜ
113,접속불가... 다시 깔아도 안됨
114,자주 끊기는걸 맊아달렜더니 이젠 아예 먹통되게 해줍니까? 사용기기는 LG G패드 이고 업데이트 이후 앱이 넷프릭스 이름만 뜨고 아무것도 안함 크롬으로 가서 우회 로그인을 시도해도 다시 앱으로 돌아거 먹통임. 이러고도 돈은 꼬박 꼬박 받아갸지. 몇번이나 앱을 지우고 받는지 압니까?
115,짜증
116,버퍼링이 너무 심하네요! 낮에 사용자가 많아서 그런지 사용을 하기가 힘들정도입니다!
117,12월 22일 저녁 7시경 설치 1~2시간 시청 23일 오후5시경 애기한테 티비로 틀어주니 3초마다 버퍼링 이고 콜센터는 코로나로 인하여 운영안함 불편사항은 개인적으로 메일로보내야하고 티빙 버퍼링 심하길래 넷플릭스로 보니 버퍼링 없이 잘나옴 리뷰는 작성하고 등록하니 바로 삭제되고 이정도면 CJ는 티핑을 운영 안해야 하는거 아닌가?
118,접속불가 넷플릭스 접속이 안됩니다. 첫화면 이후 계속 그대로입니다. 앱 삭제 후 재설치 했지만 동일 문제가 계속 나타납니다.
119,영상재생시 화면안나옴 몇번을 지우고 재설치
120,들어가지질 않아요 삭제하고 재다운로드 해봐도 안되요 계속 해봐도 안되요 업데이트 안되요 휴대폰 온오프 해봐도 안되요
121,앱꼬라지가 진짜 구지네요. 무한로딩 버그 로그인 오류 버그 프로필 무한로딩 버그 영상 다운로드 안되는 버그 영상 무한로딩 버그 자잘한 렉과 영상 시청중 발열이 너무 심함 그냥 쓰레기 그 자체고요. 돈내고 보는데 디즈니는 이정도 밖에 못합니까? 다음 달 결제는 할 필요 없겠군요.
122,"별 하나도 아깝습니다. 너무 버퍼링이 심합니다. 집에 노트10. S20, 탭 등을 TV랑 미러링해서 보는데 다 똑갔습니다. 술도녀도 욕하면서 겨우 참고 봤었고, 혹시나 해서 백수세끼 보려는데 역시나 버퍼링 때문에 또 욕이 한움큼 나옵니다. 1년치 구독해놨어서 안보려니 욕나오고, 보면 또 욕나오고. TVING 버퍼링 문제는 여기저기 나오고, 여기에도 질문이 많은데 기계적인 1:1 문의 같은 답변말고 근본적으로 해결을 해주기 바랍니다."
123,앱이 삭제를 하고 다시 깔아도 먹통
124,미설치
125,"못본 영화랑 오랜만에 보고싶은 만화,영화있어서 너무 좋아요 업데이트 이후에 다운로드를 해서 나쁜점이 없었어요"
126,다운도 잘 안됨. 결제를 하려하니 중복 아이디로 복잡하게 얽혀 있음.
127,리뷰를 두번이나 올렸는데 지워지는 이유를 모르겠네요.
128,제목만 보는곳인가요? 클릭해도 반응도 없네요ㅋㅋㅋ 최악 바로삭제
129,디바이스오류 501-109는 몬가요 실행자체가안되는데?
130,접속이왜안되나요?
131,쓰레기. 광고 안끊기게 할려고 업데이트 했구만...간사한 놈들아!!!
132,가끔 버퍼링이~
133,가입했는데 앱이 무한대기로 다운로드가 왜 안될까요??
134,설치 했는디 에러인가 실행이 안되네유
135,설치가 안되는건 무슨 상황인가요
136,리뷰같은거 잘 작성하지도 않는데 이건 넘 심한거 아닌가요? 다운로드 받은 드라마들 보려고 틀면 계속 네트워크 문제 뜨면서 꺼지고 짜증나서 못보겠네요. 그렇다고 껐다키고 데이터도 틀어놓고 보려해도 계속 그러고 도대체.왜이러는거에요 ?
137,설치가 안되요.3일째 대기중입니다.어떻게 해야 할까요?
138,왜 업데이트도안되고.... 삭제후 재설치도 안되는지..안그래도 다중아이디가입되게해놔서 잘못 로그인하면 계속 계정이생기고 ..쓰기싫어지는데 깔리지도않네요
139,버퍼링 없어요
140,"켜놓으면 로그아웃 되는 듯 다음화 떴다 안 떴다 하는 것도 불편해요
기기나 동시시청 때문 아니고요 앱애 들어건 상태로 잠금 후 시간 좀 지나면 로그아웃 돼있어요;"
141,접속자체가 안됩니다 앱을 깔았다가 지웠는데도 검은화면만 나오고 접속자체가 안되요
142,로딩이 너무 자주나옴...
143,더 노력 필요.
144,로딩 오래걸려요. 안켜져서 보지를 못하는중...
145,업뎃이후 웨이브 VOD다운로더파일이 내파일에서 보이지 않는 오류발생 그리고 웨이브&데이터 가입해서 보고있는데 다운로더 중에 동영상을 시청했는데 내 데이터가 소모되는 문제발생 업뎃전에 생기지 않던 문제가 업뎃이후 생겼어니 책임져라 그리고 로딩시간도 길어졌다는 오류도 있음 이런 오류를 하루속히 해결 하길바람
146,실행이 안돼여 제발 버그좀 고쳐라 ㅠ
147,앱이 안들어가진다고 메일보내고 리뷰쓰고 했는데 리뷰에는 메일보내라 그러고 메일도 3번이나 보냈는데 확인도 안하고 전화도 해봤는데 다시 전화준다고만 하고ㅠㅠㅠ 이게 뭡니까 진짜;;
148,접속이 지연되는건 뭐임? 요즘들어 엄청 버퍼걸림.........
