,0
0,자막크기 150% 만들어주시길. 100은 너무작고 200은 너무크네요
1,한글 설정 방법 알려주세요..
2,자막이 좀 이상해요...ㅠㅠ
3,자막이 너무 커요
4,"자막을 한번 정하면, 외국 거 이든 한국거 이든 
그대로 나오는게 흠이네요
외국 영상에서는 자막이 나오게 하고
한국 영상에서는 자동으로 자막이 안나오게 해야하는
시스템이 있어야할 거 같네요"
5,자막 골때림
6,자막 크기가 너무 큰데요..조절할 수 있을까요?
7,언어에 한국어 체크하는데도 없고 언어설정 다 바꿨는데 계속 영어로 나오네요 한국어로 바꾸는 방법좀 알려주세요
8,자막이 화면의 4분의 1정도 가리네요 ㅠㅠ 글씨 크기가 조금 작으면 좋을 것 같아요 !!! 엄청 기대했는데 볼 것도 많고 너무 만족스럽습니다 ㅎㅎ
9,자막 크기 좀 줄이고 시청한 콘텐츠도 볼 수 있게 해주세요 ㅜㅜ
10,배속왜없냐
11,"자막보다가 눈빠지겠어요. 스마트티비는 자막크기와 테두리 투명 가능한데, 모바일기기는 크기나 테두리배경 조절이 안되네요. 자막 크기 변화없으면 재구독 의향 없습니다."
12,자막이 너무 작아요...
13,자막크기조절가능하게해주세요 짜증납니다
14,자막 배경 없애는 기능 넣어주세요
15,자막크기 심각하게 작은데 크기조정 안되요?
16,자막 크기가 핸드폰 시스템 자막과 동기화됨. 모바일 환경에서도 자막 크기 수정 필요.
17,자막판으로 못 바꾸는 사람들들 특 영어못함ㅋ
18,다 좋은데 자막 사이즈가 다른 ott에 비해 너무 커요 자막 크기 조정 가능했으면 좋을거같아요
19,자막이 까맣게 나오는데 어떻게보라는건지 조절할수있게 해주세요
20,자막이 나오는 언어가 없음.. 그냥 모든 언어의 자막이 다 안나옴
21,자막좀 빨리수정해주시길 자막뒤에 검은색 눈에 거슬려요
22,자막이보기안좋아요
23,자막이 변역기 돌린거마냥 수준이 아쉽습니다 개선쫌요...
24,배속설정
25,자막 투명도 조절이 시급해 보임 ㅜ
26,자막좀 크게 1.5배속 빠르게 좀 업뎃 해주세요 나홀로집에 잇어서 좋음
