,0
0,도대체 아이패드 블루투스 키보드로 재생하고 멈출 수 있는 기능 언제 내 주실 건가요... 넷츨 왓챠 등등 심지어 인강 앱까지도 키보드 스페이스로 멈출 ㅜ수 있는데.. 너무 불편해요 ㅠㅜ
1,제목처럼 글자가 안보이고 칸만 보여요.  뭐가 뭔지 모르겠어요ㅠㅠㅠ 빨리 수정좀요 아이패드로도 했는데 똑같아요 화면에 아무글자도 안떠요
2,무엇보다도 동시 접속 4명인데도 화질 저하없이 9900원에 좋은 화질로 감상할 수 있어서 너무 좋습니다. 2% 아쉬운게 있다면 휴대폰으로 시청할 때 화면으로 밝기 조정이나 음량 조절이 없는게 조금 아쉬울뿐 그거 외에는 아이맥스도 지원하니 정말 좋습니다 :)
3,실행하고 가입하는데 글씨가 하나도 안보임
4,"아이패드로 시청중인데, 기본적으로 앱에서 나오는 글씨가 이미지화 된 글씨말고는 보이지가 않습니다. 어서 패치해주세요"
5,"모바일 기기 자막좀 손봐주세요 플스 자막도 마찬가지고요
무슨 모바일 자막은 너무 커서 화면을 가릴 정도고
플스는 검은색 박스에 흰색 자막… 무슨생각인거죠…??"
6,"앱 켜면 아무것도 안 뜨고 로그인도 겨우했네요. 
한국 런칭 오래 전부터 기대했는데 실망스러워요."
7,아이패드에서만
8,로고만 뜨고 그 뒤로는 아무것도 안뜸
9,페이스북으로 로그인하려는데 비활성화 되있다면서 페이스북 앱 깔고 다시 시작하라는데 이미 깔려있는데 뭐 어떻게 하라는 건지도 모르겠고 지웠다가 다시 깔아도 안되고 핸드폰 전원을 껐다가 다시 켜봐도 안되요 이건 뭐 어떡하라는 건가요
10,며칠째 영상 재생이 안됩니다. 영상에 문제가 있다니 디바이스에 오류가 있다니 오류코드도 가지각색;; 2초에 한번씩 화면 멈추고 소리만 재생되네요. s21과 아이패드 이용해 사용중인데 s21에서만 오류가 생기네요. 기기가 문제인지 어플이 문제인지 다 짜증납니다.
11,잘 시청하고 있었는데 어느날부터 로그아웃된 후 로그인 안됨
12,접속 안됌 ㅡㅡ 아니 10월 때도 이런일이 있더니 아직도 안고치고 뭐함?
13,자꾸 로그인이 안되요 어떻게좀 해주세요
14,"아이패드앱에서 한 달치 결제했고 아이패드, 아이폰 모두에서 볼 수 있는데 안드폰이나 피씨에서는 결제내역이 복구가 안 되어서 볼 수가 없습니다… 설마 플랫폼별로 각각 결제해야 하는건가요? 답변 좀 부탁드립니다"
15,"다운받았는데 화면 버튼 텍스트랑 이미지가 안보여요..
아이폰 11 사용중입니다"
16,"애플아이디로 결제되는거말고

카드결제는 언제지원되나요?"
17,왜 구독하려면 이 기기에서 구글플레이 계정으로 로그인 하라는게 계속 뜨네요
18,갤럭시탭에서는 자막이 너무 크게 나오고 크기 조절이 되지 않아서 불편하네요. 화면 비율 조정도 가능했으면 좋겠어요... 지플립에서 꽉찬화면(22:9)으로 나오니까 너무 많이 잘려요!
19,이게 오늘 11월 12월에 온 디플+임?? 이거 다운 받으면 되나?
20,갤럭시 탭 S6라이트에서 설치가 안되네요. 용량도 충분한대요
21,2.35:1화면비율 영화를 보면 왜 화면이 꽉차지않죠??! 그래서 확대시키면 완전오바되서 화면다짤려나가고 빨리수정해주세요 그리고 아이폰은PIP모드 되면서 안드로이드는 왜 안되나요??! 이것도 수정해주세요
22,무한반복 로그인 뭐 해결이 되었다구요? ?? 괜한 시간만 낭비했네 잰장..
23,설치가 안됩니다 ㅠ 갤럭시 탭s2 디즈니도 되는데.....
24,이거 로그인을 하려면 왜 자꾸 반복창이 뜨나요? 로그인 하기 - 아이디 패스워드 입력 - 로그인 하기 이거 왜이러는 걸까요?
25,몇일전부터 모바일에서 서비스 연결이 지연되고 있다면서 재생이 안됩니다
26,"태블릿 pc를 하나 구매해서 사용하려고 검색했는데, 거주 국가에선 사용할 수 없다고 나오네요.. 혹시 구글계정과 연관이 있는건가요??"
27,다운로드를 받아서 플레이 하는데 왜 자꾸 와이파이 연결이 안되서 데이타를 사용하겠다고 하는건지 모르겠네요~ 실제로도 데이타가 나가고.. 그러면 다운로드 받는 의미가 뭐가 있는건지…
28,갤럭시도 pip모드 지원좀ㅠ
29,오류코드39번이자꾸 뜨는데 몬가요? 영상을재생할수없다고합니다
30,다좋은데 자막 폰트가 고정되서 불편하네요. 자막 폰트가 너무 알아보기 힘들어요 (폰트가 작은데 거기에 글씨가 너무 얇아서 눈에 잘안들어 와요. 자막 폰트 수정해야할것 같아요(갤럭시)
31,조금보다가 버퍼걸리고 조금보다 버퍼걸리고ㅡㅡ 데이터도아닌 와이파이인데 이거 너무 심한거아닙니까? 영화를 볼수가없어요
32,모바일에서 자막설정 좀 할 수 있게 해주세요. 자막이 넘 작음
33,로딩이 너무 길어요..보고 싶은 영화 선택하면 화면 전환이 안되고 계속 렉 걸려서 답답해요
34,디즈니 컨텐츠 다양하게 이용할 수 있는 건 좋은데요 성인인증을 하려하니 핀번호 입력이 안됩니다. 사용기종은 갤럭시21과 갤럭시탭FE 사용중입니다(안드로이드). 빠른 해결 바랍니다. 뱀파이어 다큐멘터리 보고싶어요....
35,설치가 안댐...
36,"휴대폰 영상배속재생기능, 팝업창보기 기능 추가 해주세욤~"
37,아니 모바일 기기에서 성인인증하기 위해 비번을 누르라고 뜨기만하고 자판이 안 묵는건 무슨 경우지?
38,로그인 안됨 핀번호 안됨 다운 안됨 스트리밍 안됨. 어썸!!! + 다운시 배터리 광탈
39,"휴대폰, PC에는 문제가 없으나 OTT셋톱+ 일반티비 연결 시 소리 안나는 문제 있습니다. 소리 중 English(audio discription)만 나오고 나머지는 죄다 안나옵니다. 넷플릭스 wavve 왓챠 등등 다른 ott는 문제없었습니다. 추가) 5.1채널 사운드 지원 표시 뜨는건 죄다 안나오는 것 같군요"
40,오류코드39 오류발생하면서 재생 안되네요
41,심슨가족 더무비 밖에없네요 안드로이드 셋탑에시는 자막두 안나오구요 ㅎㅎ 심슨때문에 보는건대 이게 뮌지
42,"티빙 설치하는데 안드로이드티비만 설치된다고 안된다네요
넷플 왓차 웨이브 디즈니플러스 다 되는데, 아무래도 티빙만 설치가 안되는건 문제가 있는거같습니다
처음에 6월쯤엔 잘만 됐엇는데 언제부턴가 안되는걸보니 업데이트가 필요한것같습니다ㅠ 사용에 불편하니 빨리 고쳐주세요"
43,"PC웹브라우저에서 720P 이거 실화입니까? XBOX, PS5 4K 지원 콘솔에서 4K 스트리밍이 안됩니다. PS4에서 HD 스트리밍은 되지만, HDR은 미지원이구요. 일부러 한국계정만 막아 놓은거 같은데 빨리 풀어주세요. 해외는 되는데 왜 한국은 안되나요?"
