,0
0,기대가 됩니다.
1,사랑해요
2,기대됩니다!!
3,감사감사요
4,"디즈니 사랑해요ㅠㅠ
디즈니 픽사 마블 스타 네셔널 지오그래픽 다 있으무ㅠㅠ"
5,사랑해요!!!!!!!!!
6,진짜 구독하길 잘했네요 제가 좋아하는 시리즈가 있어서 감사함!!!
7,"근데 없네요, 다크윙 덕, 칩과 데일은 왜 저렇게 만들어 둔건디, 곰돌이 푸 이런거 하나도 없습니다
거기다가 결제 안하면 뭐가 있는지도 확인 안되게 해뒀습니다 이거 거의 사기 아닙니까?"
8,스타워즈 시리즈 마블 시리즈 디즈니 프린세스 픽사 작품 내셔널 지오그래픽 등등 너무 많다
9,다양한거 볼수 있어 좋네요 영상재생만 조금 고쳐졌으면 좋겠어요
10,스타워즈 컨텐츠 미쳤네요ㅠㅜ
11,드림웍스 화이팅
12,기대보다 볼게 별로...
13,심슨 볼려고 1년구독 넣었음돠 ㅋㅋ 시즌30개 ㅋㅋㅋ...(스타워즈랑 디즈니애니포함)자막이 좀 투박한데 점차 세련되게 개선되길 기대해요.
14,빅 히어로 시즌1은 없나요?
15,한국드라마컨텐츠 부족
16,km6 tv박스 사용중인데 한국드라마는소리잘나오는데 마블이나외국관련영상은 소리가안나옵니다 해결방법이 있습니까?
17,후발주자인데 기본 기능은 오래 전에 나온 넷플릭스보다 한참 떨어지면서 콘텐츠만 내세우고 배짱장사하는 게 스팀과 에픽 게임즈 관계 같네요. 1. 이미 많이 얘기 나온 자막 문제 2. 디즈니 채널로 더빙된 작품이라고 한국 자막 지원 x. 한국 영화도 cc 지원해주는 넷플릭스랑 천지 차이. 캐리비안의 해적처럼 유명한 작품은 온갖 언어 더빙에 자막 다 지원해준다는 점에서 더 짜증남. 3. 보는 중인 콘텐츠 목록 지울 수 없음 4. 찜한 콘텐츠 항목 들어가기가 불편함 5. 디즈니 극장판 애니메이션 시작하기 전에 나왔던 단편 애니메이션 제목을 기억하기도 어려운데 다 분리해놔서 하나하나 찾아야 함. 자기 전에 앰피비아 보려다가 중국어랑 영어 자막만 있는 거 보고 그냥 넷플릭스 보러 갑니다.
18,디즈니주니어에서 하던게 다 있지 않네요 디즈니주니어에서 하던 하이호! 일곱난쟁이를 아이가 좋아해서 기다리고 기다리다가 결재했는데 없네요;; 기존에 보던 애니메이션정도는 다 있어야 하지 않나요ㅜ 앞으로 추가가 될 예정인지 궁금하네요
19,디즈니+ 기타 영화들은 너무 기대 하지 말고 자사(디즈니)의 시리즈 들을 감상하는데 이용 하세요 마블 드라마를 보기위한 어플 디즈니+😄
20,마블 팬들이라면 한국에선 못보던 에오쉴7 팔윈 로키 완비 등등을 볼 수 있으니 한달이라도 구독하는 게 좋음 마블드라마를 볼 수 있단 게 젤 메리트인 듯 +지금 블위랑 샹치까진 볼 수 있음 +크루엘라도 있네 ㅎㅎ 보고는 싶었지만 평이 별로에다 코시국이라 영화관 가기 껄끄럽던 분들 부담없이 보면 됨 미뤄뒀던 마블시리즈있음 다 여기서 ㄱ (아쉽게도 없는 것도 _스파이더맨_몇개 있음 ㅠㅠ)
21,최고다 디즈니!! 보고싶은걸 넘어 갖고싶었던 컨텐츠들~^^
22,재미있어요 드디어 굿
23,"마블팬으로서, 디즈니팬인 아이를 키우는 입장으로서 단연 가성비 갑입니다"
24,그동안 못보던 스타워즈 드라마 애니 볼수있어강추
25,좋긴 좋은것 같은데 자막이 너무 작아서 하나도 집중이 안되네요..
26,아직 쓰지않아서 1점 드려요. 구매하려는데 어떤 드라마나 영화가 있는지 알고싶은데 못 보더르고요. 구매전 비교하자면 왓챠앱같이 결제전 어떤 드라마 어떤 영화가 있는지 들어가면 보여주셨으면 좋겠어요
27,"미국에 체류할때 디즈니플러스 사용했었는데 그때 다양한 컨텐츠를 경험한 기억이 있어 이번 한국 서비스할때까지 2년간 기다렸는데, 팔콘과 윈터솔져도 없고 왓이프도 없고 심슨가족도 없네요... 미국보다 사용료 더 비싸게 내고 구독하는데 한국판에도 컨텐츠 신속하게 탑재 해주시기 바랍니다. 이쯤 되면 한국 차별한다는 이야기가 나올 것 같습니다."
28,"마블 좋아하시는 분들 추천 먼제 로키,완다비전,팔콘과윈터솔져 완다비전은 내년에 나올 닥터2와 연간이 있고 팔콘과윈터솔져는 팔콘이 제2의캡틴아메리카 되는 과정 로키는 모르겠고 다음주에 나올 호크아이 호크아이가 세데교체 되는 과정 이렇게 마블이 페이즈3에서페이즈4로 가는과정에 위에 소개한 드라마가 들에있음 아니면 마블페이즈3정주행"
29,최고임
30,넷플릭스도 볼게 없다고 했지만 여긴 넷플릭스 오리지널도 없네..
31,스타워즈 마블 내가좋아하는건다있네요
32,감사해요
33,예전 드라마나 애니메이션을 보기에는 좋아요 그런데 제가 포켓몬을 좋아하는데 예전에 했던 시리즈 없이 썬문 w이렇게 두개만 있는데 더 추가만 되면 자주 이용하게 될것 같습니다 개인적으로 아쉽네요 ㅠ 영화도 몇개만 있어서 전에 봤던것인데 컨텐츠 추가 부탁드려요
34,마블 다 봐야지 ㅎㅎ
35,올라오는게 예전거나 개느림. Ex) 런닝맨 8월치 매주 업로드중 누가 봄?
36,최고
37,볼거리 즐길거리 정말 환상적으로 다양함
38,완다 정주행했는데 정말정말 재밌게 봤어요. 이제 로키도 정주행 할겁니다 ㅎㅎ 앞으로도 시리즈 많이많이 만들어주세요 :)
39,감사합니다!
40,아동용인데 한글자막 없음 / 번역계의 볼드모트 번역 들어와 있음(특히 어벤져스 시리즈) / 내셔널 지오그래픽 특정년도 이전꺼 없음
41,재미있는 디즈니을 볼수 있어서 너무좋아요
42,"스타워즈 정주행 중인데, 끊었다가 나중에 보려고 하면 자꾸 처음부터 재생이 됩니다ㅠㅠ"
43,영화나 다른 시리즈는 한글자막 지원하는데 왜 애니메이션만 한글자막 지원안해주나요?ㅠㅠ 청각장애 있는 입장으로서 불편합니다…
44,Wave 말 그대로 파도 타듯이 다양한 영화를 즐길 수 있네요. 드라마 미나리 부터 액션 존윅까지 감동과 재미를 느낄 수 있는데요. 해외 OTT와 대응해 국산 OTT 파도처럼 저항해서 잠식 시키길 바랍니다!~
45,다른경재군에 비해 애니메이션 효과도 없고 뭔가 단조로움 후발주자인데 너무 신경을 안쓴듯
46,1월 31일 생일자인데 카드결제번호 입력후에 개인생일 입력시 1월 30일만 입력되고 31일 입력이 불가하네오ㅠ 수정해주세요
47,"마블팬이라 보긴하는데
자막수준이 너무 처참합니다. 엔드게임 오 어머니! 버금갈 정도의 수준.
그리고 배속 기능없음. 자막 폰트구림. 화질설정없음"
48,미국 n사에 비하면 아직 부족하나 그래도 장족의 발전임 컨텐츠질도 꽤 좋아졌고 UI 나 앱 안정성이나 호환성이나 많이 개선됨 이대로만 가줘도 계속 쓸거같음
49,아 응답하라시리즈 다시 계약해주셨음 좋겠어요ㅜㅜ 사골처럼 봤었는데ㅜㅜ 너무 아쉬워요ㅜㅜ
50,안녕하세요! 오리지널 콘텐츠도 볼 수 있고~ 무엇보다도 예전 드라마들을 볼 수 있어서 좋습니댜♡
51,전 예전에 했던 최진실님이 나오는드라마를 보고 싶었는데..드뎌 여기서 찾았네요..ㅎㅎ 보고싶었던 드라마 맘껏 볼수 있어서 감사해요.. 앞으로도 마니 부탁드려요~~~^^
52,웨이브 이용하면서 그동안 못봤던 드라마나 예능을 다 볼수있어서 너무 좋습니다ㅎㅎ 앞으로도 쭉 이용할 예정이에요~ 최고
53,너무 조아용><영화도 많아서 어어어어어어엉ㅁ청 조아용ㅇ
54,짱
55,쿠퐁 화이팅
56,앱 이용하기 편하게 되어 있어요. 보고 싶은 해외시리즈들이 많아서 좋네요.
57,보고싶던 방송이나 드라마 찾기에 너무 좋은거 같아요 ㅎㅎ 다른 OTT에서 찾기 힘든 시리즈들이 있어서 넘 좋습니당 ㅎㅎㅎㅎ
58,화이링~~~~~츠하
59,최고입니다
60,요새핫한드라마 해줘서 좋아요 다만 조금더많이해주셨음좋겠어요^^
61,영화 드라마 미드까지 볼게 너무 많아요 한국사람이면 OTT중에는 볼게 제일많은 것 같아요!!
62,볼거많고 계속 컨텐츠 늘어나는게 보이니까 자꾸 기대가 됩니다ㅋㅋ
63,볼거리가 풍부하고 재밌습니다. 가입자수도 늘어나는 중이라 점점기대가 됩니다. 특히 앱의 메뉴배치의 직관성이 좋고 속도도 빨라서 좋네요.
64,감사합니다♡
65,"쿠팡와우 몇년 사용중인데 이거 있다는거 오늘 알았음. ㅋㅋㅋㅋㅋㅋㅋ 정말 깊은 빡침이 왔었음. 솔직히 넷플보다 시스템 안정화가 덜 됬고 컨텐츠는 적은데, 예상외인 작품들이 아주 상~~~~~~~당히 많음. 그중에 해리포터시리즈, 반지의제왕 호빗 그리고 원피스 전시리즈에다가 (일본어 음성이 아닌점은 싫지만 ㅠㅠ) 그리고 무엇보다 무.한.도.전.이 있었음. ㅋㅋㅋㅋㅋㅋ 깜짝놀랐음 진짜 엄청난 혜자가 아닐수 없음. 쿠팡이 너무 고마웠음 ㅋㅋㅋㅋㅋㅋ"
66,다양한 프로를볼수있어좋아요
67,보고싶은 것 모두 보는 우리나라의 넷플릭스 오리지널도 퀄리티가 넷플릭스만큼 좋고 조만간 넷플도 따라 잡을듯합니다 예전 보고싶은 영상도 많고 최신영상도 많이서 한번 빠지면 시간 가는중 모르겠음 전이만 똑바로 살아라 시트콤 보러갑니다
68,"로켓와우 회원 진짜 할만한듯 ㅋㅋㅋㅋ
쿠팡최고"
69,최고😗
70,국내 ott중에 오리지널 시리즈는 제일 좋아요 해외드라마도 딱 제가 볼것들이 있어서 계속 구독중임 ㅎ 엄청구작 공중파 작품들이 있어서 가끔 구작 사극들을 보는데 너무 좋아요 킵 고잉해주세여
71,와우회원 무료인것에 무조건 감사
72,우선 디즈니 고전 드라마랑 영화 더 많이 넣어주시고 제가 좋아하는 pair of kings가 없네요ㅠㅠㅠ 꼭꼭 올려주세용 그리고 좀비스3도 기대해봅니다 ㅎㅎㅎ
73,음 영상 세로모드도 만들어주시면 감사할것같아요....근데 이건 원래 기본옵션 아닌가싶네요?
74,"음...자막이 너무..파파고를 돌린 느낌이네요. 그리고 넷플에서 건너오시는 분들도 계시는것 같은데, 애니메이션은 미국 애니. 말그대로 디즈니 애니만 나옵니다. 뭐..ㅎ 디즈니 만화를 원하시는 분들이라면 추천드립니다."
75,재밌는 컨텐츠가 많습니다 특히 국내 드라마 예능 좋아하시는 분들에게 강력 추천합니다 애니메이션도 많아서 옛날 애니메이션 정주행 하는것도 매우 좋습니다 웨이브 오리지널도 좋구요 요즘은 피의게임 재밌게 보고 있습니다 웨이브 구독한 뒤로 주말이나 퇴근 시간을 웨이브로 많이 보내고 있습니다 삶의 질이 올라간 느낌이에요 정말 닉값하는지 제 인생에 하나의 물결을 일으키고 있다고 생각합니다 넷플릭스나 왓챠 등등 많은 플랫폼이 있지만 국내 컨텐츠나 애니메이션 그 밖에 피의게임같은 웨이브만의 컨텐츠를 좋아하시는 분들이라면 웨이브를 강력 추천합니다 국내컨텐츠 애니메이션 만큼은 웨이브 따라가는 플랫폼 없습니다
76,"Hbo시리즈 많아서 좋아요 잘보고 있어요 :) 석세션 시즌2,3도 업로드해주세요~~!!"
77,다양한 볼거리로 시간가는줄 몰라요~~ㅋㅋ
78,영화 보면서 쉬는데요 컨텐츠가 많아서 매우 만족하며 이용하고 있어요^^
79,완전 좋아요~~~^^
80,"여러분 디플은 넷플을 대신하긴 어려워요. 하지만 디즈니,픽사,마블,스타워즈 팬이라면 오리지널,상영과 동시 시청가능등 매우 만족하실거라 봅니다. 그리고 자막은 설정에서 구글 자막 설정 수정하면 됩니다. 컴퓨터는 자막설정 할수 있던데 폰은 아쉽네요 +) 넷플릭스도 결제해야만 볼수 있는데 왜 디플에만 그러는거지..?"
81,말이필요없어요~~~굿
82,최고입니다 추천
83,재미있는 영상이 많아 골라보는 재미가 있네요~ 예전 드라마도 많아 다시 보는데 너무 좋네요~
84,재미에 재미를더한 웨이브~
85,스타워즈 보려고 기다리다 가입했는데 도데체 starwars visions는 어디에 있는건가요? 찾아볼수가 없던데... 근데 저장기능 사용하면 엡이 튕긴다는 분 있던데 저는 잘사용중입니다
86,"넷플릭스에는 없던 애니메이션이나 컨텐츠들이 많아서 좋았고, 이용권도 그렇게 비싸지도 않아서 좋았어요. 그리고 FHD이상이라서 더 선명하게 볼 수 있어서 너무 좋아요!!"
87,10년전 첫째 낳기전 뱀다를 시즌5까지인가 봤었는데 임신하면서 태교땜에 참고 그만보게 되였다가 최근에야 쿠팡플 레이에서 있는걸 보고 보기시작해서 8까지 다 봤네요 너무너무 좋았어요 . 대박에요 👍시즌1부터 8까지 있는곳을 찾지 못했었는데 여기서 그것을 이뤘네여. 오리지널스 시즌도 함께 올려주시면 더더더욱 좋을거 같아요 ㅠㅠㅠㅠㅠ 너무너무너무 보고싶어요
88,다양한 컨텐츠를 쉽게 즐길수있어서 애용하고있습니다.
89,오월의 청춘 원해요 내놓으세요 플리즈
90,영화나 드라마가 제 취향대로 볼 수 있다는 점이 너무 좋네요.. 겨울에 전기장판 위에서 귤까먹으면서 볼수있는 어플이 있어서 행복합니다^^
