,0
0,버튼이 에피소드 끝나고 바로뜨면 젛겠어요 왓이프는 언제공개되나요?
1,"영상에 비해 자막 너무 커서 얼굴 다 가리고 
자막 뒤에 배경 때문에 얼굴 싹다 가리고 미치겠어요
자막크기랑 배경 설정좀 할 수 있게 바꿔주세요 제발"
2,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
3,시청기록 지우는 것도 추가하면 좋을 것 같아요
4,영상 배속조절이 없는게 많이 아쉽네요... 요즘 적용 안되는 프로그램이 거의 없는데~ 진짜 그것만 있으면 완전 좋을거 같아요!!
5,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
6,한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막(cc) 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요!
7,"콘텐츠는 좋아요. 그렇지만, 배속 기능이랑 보던 영상을 앱 켜자마자 이어볼 수 있는 기능 추가되면 좋겠어요"
8,좋은 콘텐츠가 많아서 재밌게 보고있어요~!!
9,영상을 보려고하면 검은화면과 소리만 들리네요 다시삭제했다가 깔아도
10,"아니면 디즈니 본사 에서 앱 에 대해 시안 컴펌을 진짜 한건 맞긴함? 사용성이 너무 불편함 컨텐츠 관련 내용은 둘째고 마블추천작, 몰아보기 끝판왕 등등 서브 타이틀 컨텐츠을 한눈에 볼수도 없음 보통 더보기 나 자세히 보시 해서 새로운 페이지 에서 리스트 형태로 보여주는게 맞지 않음? 뭐가 있는지 보려면 계속 가로 스크롤 해야함 전반적으로 너무 ui가 너무 불편함 개선 부탁 드립니다.  검색등등 쓸께 많지만 안쓰면 그만 이라 옛추억 때문에 한번 씀 다음달 결제는 안 할듯 해요"
11,넷플에 없어서 못보던 예능이나 드라마가 있어서 좋습니다. 특히 무한도전.. !! 들어온 거 보고 놀랐었는데 회차도 계속 업데이트 되니까 너무 좋네요 ㅠㅠ
12,"영상을 재생한 후에 화면내에서  컨트롤 할 수 있는 기능을 만들어 주세요 밝기를 조절하거나 볼륨조절, 다음화로 중간에 바로 넘어가거나 하는 기능들이 필요합니다!!"
13,영상마다 화면비 다른건 알고 있어요 근데 좌우에 레터박스가 모든 영상에 일정하게 생깁니다 상하는 원래 생긴다지만 좌우는 없어야죠 다른 ott 앱들은 안 이렇습니다…. 똑같은 프로그램도 티빙만 생겨서 다른 앱을 이용하게 되네요
14,내가 찾던 그 콘텐츠! 웨이브에 없었어!
15,편하고 좋네요~:)
16,한달쓰고해지할예정 이유 콘텐츠부족
17,"화질 좋고 다 좋은데

자막이 씹혀서 안보일때가 있어요 ㅜㅜ"
18,우선 다양한 콘텐츠가 있어 좋지만 자막문제와 공개예정 챕터가 없어 아쉽네요
19,영상 재생이 전반적으로 너무 어두워 시청에 방해될 정도입니다. 개선 요청합니다.
20,지금 많은 분들이 끊기는 현상에 대해 불만을 토로하는데 기계적으로 반복적인 답변만 계속 늘어놓으시고 정작 이루어져야할 업데이트는 없네요. 넷플보다가 갈아탄건데 진짜 돈아까워요. 보라는건지 말란건지. 이 부분에 대해 무슨기기 어떤프로그램에서 그런지 알려달라는것보다 전체적으로 왜 그런 문제가 생기는지 점검을 하세요;
21,영상속도 배속좀 넣어주세요
22,"영상 보다가 잠시 멈춤 후 다시 보려고 하면 매번 처음으로 돌아가 있습니다. 영상을 멈추고 몇달, 며칠이 지난것도 아니고 2,3분 지나서도 맨처음으로 돌아가 있어요. 
진짜 황당하고 짜증납니다. 이런곳  처음봄. 다른 ott들은 이런 적 단 한번도 없고, 보던 영상 이어보기도 영상 누르면 바로 재생 되는데 웨이브는 몇번의 단계를 거쳐야해서 매우 불편함. 
다른거 다 떠나서 일단, 좀!! 제발!! 멈춤 후 재생시 보던 부분에서 재생되도록 꼭!!! 고쳐 주길 바랍니다."
23,"영상 우측 상단에 보면 설정하는 버튼 있어요
오디오를 코리안으로 하면 더빙으로 들리고 
영어로 하면 원작 그대로 들립니다 
모르면 검색이라도 하고 찾아라도 보세요 
그냥 냅다 욕하지 마시구요..."
24,"백그라운 재생, 다음 에피소드 자동 재생 기능이 추가되면 좋겠습니다!! 그래비티 폴즈랑 아울하우스 한글자막 추가도 해주세요!! 오디오는 영어, 자막은 한글로 설정하고 보는데 없어서 너무 아쉽네요ㅠㅠ 또 한글 자막 검수 제대로 해주세요!!"
25,프로그램은 좋습니다! 하나 아쉬운점이 아이들 만화보여주는데 시리즈가있는건 1화에서 2화넘어갈때 버튼을 꼭 눌러줘야되네요. 타 플랫폼은 시간지나면 자동 재생되는데 그부분 업데이트해주시면 좋을것같아요. 애들한테 보여주고서 집안일하는데 계속 다음화 틀어달라고 오고 그러거든요ㅎ 부탁 좀 드립니다~^^!!
26,"영상, 자막설정,재생속도변경기능 모두없음"
27,"와우회원들에게 이런 서비스까지..
쿠팡을 사랑하는 1인인데...넘 좋은 서비스 감사해요~~~~ 원하는것도 많고 다양한 프로그램들 최신이 있어서 좋아여 넷*** 없는게 은근히 많아서 돈아깝다 생각했는데 ㅋㅋㅋ  이거 있어서 여즘 여가시간 잘 즐기고잇네요 ㅎㅎ"
28,편리합니다
29,검색해도.안나오는.애니가.여러개.있음
30,"영상 시청 중간 카톡이나 다른 어플을 사용하느라 잠시 작은화면으로 영상을 보다가, 다시 화면을 키우는 버튼을 누르면 다시 프로필로 돌아가는게 반복됩니다."
31,실시간시청을 결제해야하는 신박한앱.보통 다른방송앱은 지난영상을 다시보기로 구매해야하는데 이건 그반대임(애니나 영화빼고). 근데 난 그다지 티비방송을 잘안보고 어쩌다 한번 보는데 그때마다 실시간으로 그프로그램을 돈주고 봐야하는 아주 그지같은 앱임.한마디로 그 프로그램 딱하나보려고 한달정기권을 구매해서 돈낭비를해야한다는거임.내가 여기에있는 모든채널을 다보고 영화에 애니까지 알뜰하게본다면 돈이아깝지 않겠지만 재미가없는걸 억지로볼수도없는노릇인데 왜 실시간영상을 정기권으로 구매해야하는지 모르겠음.
32,프로그램도 많고 좋은데 작은 화면에서 다음화로 못 넘기니까 다시 프로그램 들어가서 또 바꾸고 너무 번거로워요
33,다 좋지만 광고 시스템이 별로입니다. 마치 초창기 모습을 보는거 같습니다(광고가 2회 나오는 경우 등). 예전처럼 1개만 나오고 방영중인 프로그램을 한번 더 눌렀을 때 광고가 나오지 않게 해줬으면 좋겠습니다.
34,이용하기 편리하고 방대한 콘텐츠 굳굳 : D
35,디즈니 넘 좋아하는데 어플이 생겨 볼수있었어 좋아요 너무고마워요 디즈니 최고입니다
36,너무 좋아요 방송프로그램도 바로바로 볼수 있고 시간 맞추어서 영상 볼필요 없어서 편하네요
37,콘텐츠가 너무 없는데... t플랜 요금제 변경해서 무료로 볼수 있다지만 볼게 없다는게 영.. 아니 왜 웹페이지에서 보는거랑 앱에서 보는 메뉴가 다르냐 =_=.. 웹에서 먼저보고 카테고리 빈약한거 보고 컨텐츠 전혀 없는줄
38,애기가있어서 타요나 뽀로로나 이런 프로그램들 시청하고있었는데 갑자기 없애놓고 없어졌다고 리뷰다니 리뷰도 삭제하나봅니다? jtbc나 이런프로그램도 기존에 다보고있었는데 없어졌는데 돈받고 이런식으로 하는거면 왜 돈을받나요? 푹때부터잘보고있었는데 요금은 더올려받으면서 이런식으로 하나씩 없애나요??
39,"내가 찜한 콘텐츠에서 선택삭제를 할 수 있었으면 좋겠어요ㅠㅠ 하나하나 눌러서 삭제하는 것도 힘들고, 아래로 내려서 삭제하다 보면 스크롤이 맨 위로 올라가 있어서 짜증납니다.. 그리고 TV에서 자막 싱크 좀 맞춰주세요.."
40,제가 잘몰라서 구독 취소도 해보고 연간에서 월간으로 바꿔보고했는데 이미 나간 99000원은 증발하고 추가로 9900원나가서 월간 구독으로 바뀌었어요…어떻게 해요…환불방법도 모르겠고 진짜…
41,"티비로 시청할 때 미드 2~3개 연속 시청하면 다음 에피소드 넘어갈때 갑자기 화면 끊김??화면이상?? 나오는데 언제 개선되는 걸까요??
이런 현상 저만 있는건가요??"
42,"검색시 관련 검색 목록 안뜨고 정확하게 쳐야해요
자꾸 없다고 나오고 계속 했는데 이유를 알았습니다;
자막크기 없어서 불편하구요ㅠㅠㅠㅠㅠㅠ
카테고리에 더보기가 있었으면 좋겠어요
한줄씩 넘기니까 보기가 어렵고 더 헷갈리네요
저거 이외에는 음질도 종류도 만족 스럽고
애들이 좋아해서 일단 믿고 봅니다!!!!!!
얼른 의견이 수립되어서 보완됬으면 좋겠어요"
43,성인인증이 안돼요. 어지간한거 다봐서 고르고 고른게 하필 성인인증이 필요한 프로그램이네요. 아이패드는 핀번호키패드가 활성화가 안돼고 안드는 그냥 안돼요.빨리고쳐주세요.화면밝기 조잘도 안돼고 불편하네요
44,화질쩜
45,영상재생에 문제가 있다는데 도대체 뭐 어쩌자는 건가요
46,보고 싶었던 콘텐츠가 많아서 자주 이용하고 있습니다. 요즘에는 이렇게 된 이상 청와대로 간다 보는 재미로 계속 이용하게 되요.
47,"영상의 많고 적음을 떠나서
기본적인 ott 재생 기능들 구현이 전혀 안되어 있는..."
48,콘텐츠가 다양해서 웨이브앱 너무 좋습니다.
49,콘텐츠 저장기능 사용하지말것. 저장기능 사용하면 바로 앱이 고장나버림. 저장된 콘텐츠 기능 사용할경우에 단순히 재생불가뿐만아니라 앱 자체가 일반적인 기능들도 전부 무한로딩에 앱자체가 뻗음. 노답앱임
50,시청 중에 카톡이나 인터넷을 확인하고 다시 어플을 키면 이후부턴 자막이 안나오네요...완전히 종료 후에 다시켜야만 자막이 나와요 오류수정 부탁드립니다
51,엄마가 팬트하우스 본다고 결제했는데 생각보다 콘텐츠도 많고 사용성도 좋네요. 앞으로 건승하세요~^^
52,돈을 내고 결제했는데 실시간 시청은 또 돈을 내야함 ㅋㅋ 그럴꺼면 축구 중계권 갖고가질 마시지
53,"콘텐츠에 대해서는 한글자막 좀 아쉬운거 제외하고는 별 4개 줄만한데, 앱 자체가 넷플릭스 대비 너무 허접. 거의 wavve 앱 수준으로 조잡스럽고, 다운로드도 안되고, 태블릿에서의 실행도 불안정"
54,"집에 TV가 따로 없어 항상 유튜브로 클립 영상만 봐왔었는데, 저렴하고 합리적인 가격에 많은 콘텐츠를 시청할 수 있어 너무 좋은 것 같습니다^^ 이렇게 좋은 서비스를 제공해주셔서 감사드립니다 많이 번창하세요!!"
55,나참~ 영화가 안된다닌까 기다려 달라고만 하고 ~ 본사나 개발은 하는데는 이게 문제 안되남 안 나오는거 왜 프로그램에 올렸지 처음부터TV 만 나온다고 하지
56,일단 사용은 잘하고 있는데 사용할때마다 렉이 너무 많이 걸린다는 점이 아쉽고요 또 방영이 끝난지 오래된 프로그램은 무료화 시켜주시면 안될까요?? 제가 끝난지 오래된 프로그램을 다시 정주행하면서 보고싶은데 다른곳은 안나와서 이곳으로 왔는데 저는 지금 돈이 없는 학생이여서 구매도 못하는데 끝난지 좀 된 프로그램들은 무료화 시켜주시면 안될까요??
57,굿 좋아요 콘텐츠많음
58,"영상을 10분 뒤로가기 하면 영상이 끊겨요 
그리고 영상이 가끔 버벅거려요"
