,0
0,기대가 됩니다.
1,"기대반,걱정반으로 구독신청 완.료.
앞으로 디즈니플러스만의 많은,오리지널.콘텐츠
기대합니다.
앱 화면에서 볼륨이나 밝기 컨트롤 가능하게
해주세용!"
2,사랑해요
3,기대됩니다!!
4,확인 해야되는데 글자가 없네요???
5,사랑해요!!!!!!!!!
6,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
7,최고의 선택이라 자부합니다
8,"역시 콘텐츠양이 엄청나네요
구독료도 넷플보다 훨 싸고
기대됩니다!!"
9,"화면 슬라이드로 볼륨 조절 밝기조절,
ㅠㅠ빠른재생(1.5배, 3배) 기능이 없는게 너무 불편해요
첫 홈 화면에 카테고리 바가 있으면 편할거같아요.
(드라마 영화 애니메이션 등)"
10,시청기록 지우는 것도 추가하면 좋을 것 같아요
11,다양한거 볼수 있어 좋네요 영상재생만 조금 고쳐졌으면 좋겠어요
12,스타워즈 컨텐츠 미쳤네요ㅠㅜ
13,드림웍스 화이팅
14,기대보다 볼게 별로...
15,디즈니 콘텐츠야 말해 뭐해요~ 그.런.데.. 어플 이용해 폰으로 시청할때는 불편하네요 어플에 PIP가 적용되어도 팝업창이 안되요 설정하는 다른 방법이 있는건데 제가 모르는건지 모르겠는데 팝업창이 안되다니...많이 불편하네요
16,첫 가입자입니다. 와우멤버십30일무료체험 버튼을 몇 번을 눌러도 다음으로 진행이 되지 않네요. 앱 지웠다가 다시 설치해도 똑같습니다. 서버가 한번에 몰리는 가입자들을 감당 못해서 이런건지 다른 사람들도 저랑 비슷한 현상을 겪는 것 같습니다. 개선 부탁드립니다. TV조선만 원망스러워지네요
17,디즈니 콘텐츠 이용이 가능한건 매력적이지만 가족끼리 계정 공유할 때마다 이런저런 렉이 걸려서 귀찮음.
18,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
19,대만족
20,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
21,PC 환경에서 자동재생 안되는 문제 언제 고치나요.
22,스타스포츠랑 espn 넣어줘ㅠㅠ 이럴거면 왜 iptv에서 빼간거냐고..
23,다른거 다 필요 없고 다큐랑 심슨 이거 두개만으로도 가치가 충분하다
24,최고다 디즈니!! 보고싶은걸 넘어 갖고싶었던 컨텐츠들~^^
25,재미있어요 드디어 굿
26,"생각보다 컨텐츠의 다양성과 컨텐츠 수는 생각보다 적은 것 같네요. 디즈니에서 만든 영화들도 생각보다 없고, 애니도 그리 많지는 않네요. 볼거리가 금방 소신 될것 같아요. 많이 아쉬워요."
27,그동안 못보던 스타워즈 드라마 애니 볼수있어강추
28,최고임
29,실시간으로도 볼 수 있고 중드보느라 앱 설치하게 되었는데 신작도 많이 올라오고 잘 보고 있어여~^^
30,넷플릭스도 볼게 없다고 했지만 여긴 넷플릭스 오리지널도 없네..
31,"카테고리도 불편하고 직관적이지 못함
넷플릭스를 예로들면 영화도 한국영화 해외영화
그중에서도 세부 탭이 다있고
드라마, 등등 세분화되어 있는데 그른게 없음
걍 컨텐츠 있으니까 보겠지 하고 성의없이 내놓은느낌
한두달은 가겠지만 이대로라면 롱런은 힘들지 않을까??"
32,좋은데 시청중인 콘텐츠 삭제가 안 됨. 드라마 대충 맛 보고 볼까말까 정하는데 너무 지저분 해져서 불편해요
33,"초기에 삼개월은 천원도 안되는 금액이라고 하길래 그냥 한번 가입해봤습니다. 사실 금액 명시가 다 다르게 나와 불편을 겪었지만 워낙 저렴하니 대수롭지 않게 여겼습니다. 두달째엔 아무 알림 없이 6천원대 금액이 출금됐지만 워낙 혼동되게 만든 요금제이기도 하고 다른 플랫폼에 비해 저렴한 편이니 수긍했습니다. 
근데 여러모로 개선되어야 할 방면이 많은 것 같습니다. 콘텐츠는 다른 플랫폼에 비해 적은 편이지만 저야 워낙 마이너한 취향이라 콘텐츠 다양성에선 나쁘지 않았습니다. 프랑스 드라마라던지 다큐멘터리 좋았어요. 
근데 솔직히 터치가 잘 먹지 않는다던가 뒤로가기 누르면 바로 전단계로 가지 않는 점, 쓸데없는 여백이나 답답한 ui/ux 디자인? 한 5년정도 뒤쳐진 느낌입니다..조금만 더 개선됐으면 좋겠어요."
34,내가 찾던 그 콘텐츠! 웨이브에 없었어!
35,완전 만족
36,"콘텐츠는 다양해서 좋으나 넷플릭스에 비해 한없이 떨어지는 UI/UX 및 자막 상태는 개선이 필요해보입니다. 시청중인 영상목록 삭제 기능도 없고, 자막 번역은 정말 발 번역이 따로 없습니다. 스타워즈 자막 중에는 채팅 이모티콘 나오는 것도 봤네요. 다만 9900원으로 이만한 콘텐츠들을 4명 동시 스트리밍 가능한 점은 매우 좋습니다."
37,"다 좋은데 삼성폰에서 hdr,4k,돌비비젼 다 지원하는데 저런것 안되고 달랑 hd만 뜨던데 타 ott서비스들도 hdr 4k 돌비비젼 다 해줘요 자막 폰트 크기 변경 됐으면 좋겠고 밝기 음량 조절 되게 해주세요"
38,가성비좋음
39,올라오는게 예전거나 개느림. Ex) 런닝맨 8월치 매주 업로드중 누가 봄?
40,최고
41,쿠플 지지합니다. 중드를 비롯해서 여러 드라마의 독점 콘텐츠 좋아요~! 앱 기능의 측면에서는 부족한 것이 많지만 앞으로 더 좋아질 것이라 믿어요 🙏
42,볼거리 즐길거리 정말 환상적으로 다양함
43,"와우회원들에게 이런 서비스까지..
쿠팡을 사랑하는 1인인데...넘 좋은 서비스 감사해요~~~~ 원하는것도 많고 다양한 프로그램들 최신이 있어서 좋아여 넷*** 없는게 은근히 많아서 돈아깝다 생각했는데 ㅋㅋㅋ  이거 있어서 여즘 여가시간 잘 즐기고잇네요 ㅎㅎ"
44,하이큐 4기!!
