,0
0,도대체 아이패드 블루투스 키보드로 재생하고 멈출 수 있는 기능 언제 내 주실 건가요... 넷츨 왓챠 등등 심지어 인강 앱까지도 키보드 스페이스로 멈출 ㅜ수 있는데.. 너무 불편해요 ㅠㅜ
1,제목처럼 글자가 안보이고 칸만 보여요.  뭐가 뭔지 모르겠어요ㅠㅠㅠ 빨리 수정좀요 아이패드로도 했는데 똑같아요 화면에 아무글자도 안떠요
2,버튼이 에피소드 끝나고 바로뜨면 젛겠어요 왓이프는 언제공개되나요?
3,"영상에 비해 자막 너무 커서 얼굴 다 가리고 
자막 뒤에 배경 때문에 얼굴 싹다 가리고 미치겠어요
자막크기랑 배경 설정좀 할 수 있게 바꿔주세요 제발"
4,뒤로가기나 다른 상단바 터치들이 잘 먹히지 않습니다
5,"pip모드로 영상보다가
전체로돌아가면 프로필화면으로 넘어가네요
ios최신버젼에 맞춰 업데이트 부탁드립니다"
6,방금 깔았는데.. 버튼에 텍스트도 안나오고…. 뭔지 모르겠네요….
7,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
8,로고만 뜨고 그 뒤로는 아무것도 안뜸
9,개선 부탁합니다
10,"1. 자막 설정
  자막 크기가 너무 커서 화면을 너무 많이 가려요 사용자 설정으로 자막 글씨 크기 설정, 위치 설정을 할 수 있게 해주세요
2. 백그라운드 재생
  백그라운드 재생할 수 있게 해주세요"
11,1.5배 / 2배속 기능이 없어서 불편해요. 나중에 업데이트 해주시리라 믿습니다.
12,시청기록 지우는 것도 추가하면 좋을 것 같아요
13,화면에 아무것도 안나오네. 하단 버튼 백그라운드 색깔만 나오고.. 어쩌라는건지
14,갤럭시탭에서는 자막이 너무 크게 나오고 크기 조절이 되지 않아서 불편하네요. 화면 비율 조정도 가능했으면 좋겠어요... 지플립에서 꽉찬화면(22:9)으로 나오니까 너무 많이 잘려요!
15,갤럭시 탭 S6라이트에서 설치가 안되네요. 용량도 충분한대요
16,밝기조절 소리조절탭이 따로없는것같고 작은 화면으로 띄워놓는 기능도 없어서 이런부분을 보완하면 좋을 것 같습니다
17,영상 배속조절이 없는게 많이 아쉽네요... 요즘 적용 안되는 프로그램이 거의 없는데~ 진짜 그것만 있으면 완전 좋을거 같아요!!
18,출시돼서 좋긴한데 앱UI가 너무 구림...플레이어에선 기본적인 볼륨 및 밝기조절도 안되고 pip모드도 안돼있고 하여튼 불편한 점이 많음 못보던거 볼수있다는게 최대 장점임..그외에 죄다 별로..
19,한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막(cc) 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요!
20,다좋은데 자막 폰트가 고정되서 불편하네요. 자막 폰트가 너무 알아보기 힘들어요 (폰트가 작은데 거기에 글씨가 너무 얇아서 눈에 잘안들어 와요. 자막 폰트 수정해야할것 같아요(갤럭시)
21,자막이 너무 작고 반투명 박스도 너무 거슬립니다. 자막 설정하는 UI좀 만들어주세요. 이건 아닙니다. 미국이야 자막 안보니까 신경 안쓰이겠지만 타국도 좀 신경 써줘야 하는거 아니겠습니까? 자막 때문에 결제하기 싫어집니다. 불법 다운로드가 가독성 더 좋으면 안되는거 아니겠습니까?
22,"휴대폰 영상배속재생기능, 팝업창보기 기능 추가 해주세욤~"
23,왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네ㅋㅋ 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요ㅎㅎ
24,재생이안됨
25,갤럭시탭A 쓰고있는데 버퍼링때문에 볼수가 없네요 사양에따라 제약이 있나요?
26,배속 만들어주세요
27,배속 기능 추가 해주세요
28,한국 자막 표시 위치 조정이 안됩니다. 버그인거 같으니 업데이트 필요해보입니다. 화면 중간에 자막이 표시되네요.ㅋㅋㅋ 넷플릭스랑 비교해서 앱이나 웹브라우저 기술력이 한참 떨어집니다. 한국에 늦게 들어온 만큼 제대로 좀 하시지. ㅉㅉㅉ UI도 굉장히 비효율적입니다.
29,배속 설정 추가해주세요 쿠플에도 있는게 여긴 없네ㅜㅠㅡㅠㅠㅜㅡ
30,"PC, 태블릿, 휴대폰 다 끊김이 심해서 볼수가 없는데 도대체 뭘로 보라는겁니까 그나마 휴대폰은 덜한데 PC는 영상 픽셀 다 깨지고 태블릿은 콘텐츠 열기도 어려울 정도로 끊기고 버벅거리네요"
31,같은 네트워크상황에서 넷플릭스보다 로딩이 길고 더딤 인터페이스도 너무 간결해서 불편함 다음회넘김도없고 몇화까지있나보려면 나갔다가 보고 들어와야하고 밝기조정도 인터페이스상엔 없음
32,1. 화면밝기 & 소리 조절 못 함 2. 자막 크기 설정이 없음 3. 결제 관리 앱으로 안됨 4. 자막 오역과 오타 너무 많음 아직 앱에서 부족한 부분이 많은 것 같음 자막번역 때문에 앱 출시가 늦어졌다고 아는데 늦어진거치고 자막의 질이 기대이하임
33,"유튜브에서 디즈니영화가 하나당 6000원이상이라
다 볼 수 없어 안좋았는데 9900원으로 이걸 다 볼 수 있는게 너무 좋아서 디즈니 진짜 좋아요"
34,"검색 기능도 그렇고
유사컨첸츠도 추천도 그렇고 UI에 대한 전체적인
변화가 시급해보입니다

아이패드 프로로 로키 보는데 갑자기 어플이 튕겨버리는 현상이 1회 있었습니다"
35,영상을 보려고하면 검은화면과 소리만 들리네요 다시삭제했다가 깔아도
36,넷플에 없어서 못보던 예능이나 드라마가 있어서 좋습니다. 특히 무한도전.. !! 들어온 거 보고 놀랐었는데 회차도 계속 업데이트 되니까 너무 좋네요 ㅠㅠ
37,개선되어야할게 좀 많다. 왓챠처럼 만들어졌음 좋겠다. 적어도 배속기능은 대중성을 위해 있어야할테고 팝업기능도 필수라고 생각한다. 이 두개만큼은 어플의 성공을 위해서라도 갖추세요
38,화면밝기조절이 불편하네요
39,"영상을 재생한 후에 화면내에서  컨트롤 할 수 있는 기능을 만들어 주세요 밝기를 조절하거나 볼륨조절, 다음화로 중간에 바로 넘어가거나 하는 기능들이 필요합니다!!"
40,"배속기능과 자막 크기조절기능이 필요할 것 같아요
그리고 넘길때도 조금 늦게 버퍼링돼서 넘어가서 약간 답답하긴 합니다 ㅜ 그 외에는 너무 잘 쓰고있어요~♡"
