,0
0,너무 좋아요 ㅠㅠ 관심에 추가하느라 손가락 아팠음 볼게 너무 많아서 너무 ㅅ행복함
1,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
2,방금 깔았는데.. 버튼에 텍스트도 안나오고…. 뭔지 모르겠네요….
3,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
4,"1. 자막 설정
  자막 크기가 너무 커서 화면을 너무 많이 가려요 사용자 설정으로 자막 글씨 크기 설정, 위치 설정을 할 수 있게 해주세요
2. 백그라운드 재생
  백그라운드 재생할 수 있게 해주세요"
5,시청기록 지우는 것도 추가하면 좋을 것 같아요
6,화면에 아무것도 안나오네. 하단 버튼 백그라운드 색깔만 나오고.. 어쩌라는건지
7,자막 크기 좀 줄이고 시청한 콘텐츠도 볼 수 있게 해주세요 ㅜㅜ
8,배속왜없냐
9,밝기조절 소리조절탭이 따로없는것같고 작은 화면으로 띄워놓는 기능도 없어서 이런부분을 보완하면 좋을 것 같습니다
10,출시돼서 좋긴한데 앱UI가 너무 구림...플레이어에선 기본적인 볼륨 및 밝기조절도 안되고 pip모드도 안돼있고 하여튼 불편한 점이 많음 못보던거 볼수있다는게 최대 장점임..그외에 죄다 별로..
11,일부 컨텐츠가 카테고리 목록에 없는 경우가 있습니다 따로 검색을 하거나 비슷한 컨텐츠 목록으로 찾아들어가야 합니다 예를 들어 '일곱개의 대죄'는 검색을 해야지 찾을 수 있고 카테고리 목록 어디에서도 찾을 수가 없어요 새로운 볼만한 거 둘러볼 때 이런식으로 목록에서 누락된 작품은 아예 볼 기회가 없겠죠
12,팝업재생 안되는거 실화냐
13,한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막(cc) 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요!
14,다 좋은데 자막 사이즈가 다른 ott에 비해 너무 커요 자막 크기 조정 가능했으면 좋을거같아요
15,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
16,배속설정
17,기본적인 것만 충고합니다. 1) 자막 사이즈 키우세요 2) 키워드 기반 컨텐츠 검색 가능하게 해주세요 3) 자막팀 늘려서 컨텐츠 빨리 늘려주세요
18,왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네ㅋㅋ 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요ㅎㅎ
19,자막이 영상을 다 가림. 게다가 불투명 자막이라 더 불편함. 다음화로 바로 넘기기 기능도 없음. 재생바를 꼭 손으로 넘겨야함.화면 밝기 소리 제어 기능 없음. 영상에서 회차정보 보는 내용도 없어서 재생 취소를 반복해야함
20,배속 만들어주세요
21,배속 기능 추가 해주세요
22,한국 자막 표시 위치 조정이 안됩니다. 버그인거 같으니 업데이트 필요해보입니다. 화면 중간에 자막이 표시되네요.ㅋㅋㅋ 넷플릭스랑 비교해서 앱이나 웹브라우저 기술력이 한참 떨어집니다. 한국에 늦게 들어온 만큼 제대로 좀 하시지. ㅉㅉㅉ UI도 굉장히 비효율적입니다.
