,0
0,실행하고 가입하는데 글씨가 하나도 안보임
1,아직은 오류 천지인듯 뒤로 가기 여러번 누르면 갑자기 빨리감기 되는 현상도 있고 다운 받은후 영상 보는중 전화 오니 영상 파일 이상으로 다운로드 삭제후 다시 스트리밍으로 봐야하는 경우도 있었습니다.
2,리뷰가 6개밖에 없다 나도 빨리 써야지
3,첫리뷰 와 첫리뷰
4,로고만 뜨고 그 뒤로는 아무것도 안뜸
5,며칠째 영상 재생이 안됩니다. 영상에 문제가 있다니 디바이스에 오류가 있다니 오류코드도 가지각색;; 2초에 한번씩 화면 멈추고 소리만 재생되네요. s21과 아이패드 이용해 사용중인데 s21에서만 오류가 생기네요. 기기가 문제인지 어플이 문제인지 다 짜증납니다.
6,잘 시청하고 있었는데 어느날부터 로그아웃된 후 로그인 안됨
7,접속 안됌 ㅡㅡ 아니 10월 때도 이런일이 있더니 아직도 안고치고 뭐함?
8,다 좋은데.. 제가좋아하는 ☆명탐정코난☆ 도 내줬으면 합니다.. 넷플은 다운로드하면 데이터없이 볼수있다는게 너무 좋았어용~!♡
9,무한반복 로그인 뭐 해결이 되었다구요? ?? 괜한 시간만 낭비했네 잰장..
10,설치가 안됩니다 ㅠ 갤럭시 탭s2 디즈니도 되는데.....
11,다운로드를 받아서 플레이 하는데 왜 자꾸 와이파이 연결이 안되서 데이타를 사용하겠다고 하는건지 모르겠네요~ 실제로도 데이타가 나가고.. 그러면 다운로드 받는 의미가 뭐가 있는건지…
12,오류코드39번이자꾸 뜨는데 몬가요? 영상을재생할수없다고합니다
13,통화 중에 재생 불가. 친구랑 전화하면서 못 봄
14,오류 때매 이용을 못하겠다 이걸 쓰라고 만들었냐? 넷플릭스보다가 이거 볼라니까 갑갑해 디 지 겠네. 디 지 라고 디지니냐? 성인 인증을하세요 해놓고 인증창이 안떠. 어쩌라고?
15,조금보다가 버퍼걸리고 조금보다 버퍼걸리고ㅡㅡ 데이터도아닌 와이파이인데 이거 너무 심한거아닙니까? 영화를 볼수가없어요
16,로딩이 너무 길어요..보고 싶은 영화 선택하면 화면 전환이 안되고 계속 렉 걸려서 답답해요
17,설치가 안댐...
18,로그인 안됨 핀번호 안됨 다운 안됨 스트리밍 안됨. 어썸!!! + 다운시 배터리 광탈
19,오류코드39 오류발생하면서 재생 안되네요
20,접속오류 무한로딩 스트레스
21,루팅............................'에러
22,"아이디비번 맞는데 친구가 로그인 안된다해서 다시 설정했어요
아이패드로 로그인하는데 나도안됨
비번재설정한다고 코드 받아적으라는데 이젠 코드도안옴
넘 번거롭네요.."
23,노트20인데 사용 자체가 안됩니다
24,로딩이 느려
