,0
0,"TV에서 시청중입니다

아직은 안정화가 덜 되어 있는듯한 느낌입니다 

딜레이가 좀 길고 리모컨 방향키(좌, 우) 버튼으로 되감기나 빨리감긴 지원이 아직 되지 않는 것 같습니다"
1,기대가 됩니다.
2,"기대반,걱정반으로 구독신청 완.료.
앞으로 디즈니플러스만의 많은,오리지널.콘텐츠
기대합니다.
앱 화면에서 볼륨이나 밝기 컨트롤 가능하게
해주세용!"
3,사랑해요
4,"엄청 좋은 컨텐츠에 감각하면서 보고 있는데, 화면의 반을 가리는 자막때문에 거슬립니다. 자막 크기 조정 해주세요"
5,기대됩니다!!
6,감사감사요
7,확인 해야되는데 글자가 없네요???
8,"디즈니 사랑해요ㅠㅠ
디즈니 픽사 마블 스타 네셔널 지오그래픽 다 있으무ㅠㅠ"
9,한국에도 디즈니 플러스를 보게 되어서 좋은데 컨탠츠가 어떤게 있나 볼려면 9900원 가입을 하고 볼수 있다는게 아쉬움…
10,"깔고 실행했는데 파란버튼에 아무 글자도 안뜸
다음으로 넘어가지지도 않음~~~~~"
11,한국에 떴다!
12,헤헤소울봐야지
13,너무 좋아요 ㅠㅠ 관심에 추가하느라 손가락 아팠음 볼게 너무 많아서 너무 ㅅ행복함
14,사랑해요!!!!!!!!!
15,"pip모드에서 앞뒤로 감을 때 자주 자막꺼짐. pip모드에서 전체화면으로 돌아갈 시 초기화 되어 처음 계정설정으로 감.
한글 자막이 매우 엉터리임. 
너무 직관적으로 표현되어 있어 이해하기 어려움"
16,이건 좀 귀하군요
17,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
18,진짜 구독하길 잘했네요 제가 좋아하는 시리즈가 있어서 감사함!!!
19,일본어랑 브라질어랑 다있는데 앱 언어설정에 한국어가없네요…? 웃긴건 또 영상 자막이랑 더빙은 한국어 지원이되네요
20,최고의 선택이라 자부합니다
21,10등안에 들어보기
22,"평생 디즈니 보면서 자란 어른이가 또 디즈니를 보네요. 로그인하는 순간부터 두근두근.

컨텐트 목록 첫 화면 보고 와… 했슴니다."
23,"근데 없네요, 다크윙 덕, 칩과 데일은 왜 저렇게 만들어 둔건디, 곰돌이 푸 이런거 하나도 없습니다
거기다가 결제 안하면 뭐가 있는지도 확인 안되게 해뒀습니다 이거 거의 사기 아닙니까?"
24,어릴적 나왔던 것들도 보이고 많이 기대가 됩니다
25,"역시 콘텐츠양이 엄청나네요
구독료도 넷플보다 훨 싸고
기대됩니다!!"
26,한국에도 나왔다
27,"더빙버전말고 자막버전은 없나요?
더빙,자막 버전이 따로 있으면 좋을거같아요."
28,감사합니다 감사합니다
29,스타워즈 시리즈 마블 시리즈 디즈니 프린세스 픽사 작품 내셔널 지오그래픽 등등 너무 많다
30,"화면 슬라이드로 볼륨 조절 밝기조절,
ㅠㅠ빠른재생(1.5배, 3배) 기능이 없는게 너무 불편해요
첫 홈 화면에 카테고리 바가 있으면 편할거같아요.
(드라마 영화 애니메이션 등)"
31,라고 말할 수 있게 좋은 컨텐츠 기대합니다
32,시청기록 지우는 것도 추가하면 좋을 것 같아요
33,다양한거 볼수 있어 좋네요 영상재생만 조금 고쳐졌으면 좋겠어요
34,언어에 한국어 체크하는데도 없고 언어설정 다 바꿨는데 계속 영어로 나오네요 한국어로 바꾸는 방법좀 알려주세요
35,다 좋은데 한국어 자막이 좀 커서 아쉬워요 나머지는 다 정말 👍🏻👍🏻 4k여서 더 좋습니당
36,내셔널지오그래픽을 풀로 볼 수 있다니....
37,완다비전 로키 팔콘앤윈터솔저 등등 마블드라마도 실컷보고있고 디즈니 영화도 제공해줘서 좋네요! 무엇보다 한국어패치 너무 좋네요
