,0
0,이메일 누르고 다음이 안됨
1,인증하려는 창은 왜 키가 안먹히는거냐고!!!
2,프로필 시청기록 다 지워도 취향추천에 관련된거 보지도 않았는데 이상한거 뜹니다ㅡㅡ 요즘 4인팟 이용자도 많은데 프로필 삭제하고 다시 만드는 기능좀 추가해주세요
3,정말 잘 이용하고 있습니다. 근데 프로필에 비밀번호 설정이 있으면 정말 좋을거 같습니다
4,이렇게 된 이상 청와대로간다~! 보러 왔어요!!! 응원해요~~
5,성인인증히려는데 pin입력이 아예안되는데요?
6,S20+사용하는데 무한로딩....너무 자주있음 프로필 핀번호도 가끔 잘못된 거라고 나오고.... 짜증난다 1년구독 해놓고 한편도 제대로 못봄
7,성인인증 하려는데 pin번호가 안눌러지네요
8,성인인증을 하는데 앱에서 인증번호 입력이 되지 않네요. 다른분들은 PC에서 하니까 된다고 하네요. 이건 분명 앱오류인데 그걸 피해서 PC에서 인증을 해야만 하나요? 오류를 수정해주시는게 맞지 않나요?
9,킹스맨 시청 시 왜 성인 인증이 필요하죠? 참조로 전 시청 가능으로 되어 있는데..
10,성인인증이 안되네요
11,킹스맨보려는데성인인증하래서하려는데 핀입력왜안댐???
12,성인인증에 문제가 있는 것 같아요 그거 빼곤 괜찮아요
13,성인인증 자체가 안됨 개구림 볼수 있는게 없음
14,성인인증 하라는데 핀코드 안처지는데 해결방법좀 결제만하고 아우것도 못 보네
15,성인인증 하래서 하려고 하는데 핀 번호가 왜 안눌리죠
16,성인인증이 가입시 기본 프로필 말고는 다른 프로필은 안되네요. 참.. 어쩌라는건지.. 하..
17,성인인증 핀번호 개짜증 이것때문에 탈퇴할판 뭐 이렇게 만든건지 핀번호 눌러지지도않어
18,성인인증을 할려고 비밀번호를 누르니까 안눌러져요
19,성인인증 하느라 머리폭발직전 입니다 티비에선 앱에서 하라하고 앱엔 설정 다 되어있어도 먹질 않고 공유기까지 다 바꿔놨는데 뭐가 문제인지 노트북도 안돼서 짜증 백만개예요.... ㅜㅜ
20,성인인증 핀번호 왜 먹통인거야?? 개판이네.
21,성인인증 안됨 비번 걸어놓은거 안풀림 인증 일년에 한번인데 왜 볼려면 인증해야하고 로그아웃 계속 되면서 재생 자체를 안되게 해놓았는지 왜 인증만하다가 끝나는건지
22,별로 없어요 사용하기 불편ㅠ 복잡하고 그리고 무조건 자동결제됩니다 해지도 하기 쉽지않고 그냥 다되갈때쯤 탈퇴가답임ㅋㅋ
23,성인인증이 안돼 ㅋㅋㅋ 어떻게 해야됨?
24,"분명 처음에 성인인증 하래서 만들자마자 해놨는데,, 오늘 성인인증 또 하래서 했더니 프로필 두개중에 하나는 성인인증이 계속 안됩니다, 한프로필로만 뜨네요,, 고쳐주세요ㅠ"
25,성인 인증 핀 번호 입력 오류 계속 나고 윈도우 앱에서 깐거는 키보드 방향키 오류 계속 나고 최악 이네요 윈도우 초기화 까지 했음
26,성인인증 핀입력 오류 왜 아직도 수정이 안됐나요 ㅠㅠ
27,성인인증 구독취소를 위한 핀버튼 입력은 폰에서는 안됩니다 모바일에서 가입하고 이용하려고 설치한건데 왜이러나요
28,성인인증이 안됩니다 팝업창 들어가서 핀 입력하려하면 입력 자체가 안돼요;
29,성인인증 창에서 프로필 핀번호와 본인확인 비밀번호가 입력이 안 돼요^^... 태블릿 핸드폰 모두 똑같은 걸 보니 제 기기 문제는 아닌 것 같네요. 검토 부탁드립니다.
30,성인인증시 숫자입력이 왜 안되나요?
31,프로필 잠금 기능 만들어주세요
32,"앱을 아주 잘 사용하고 있는 유저입니다. 
다만 여러개의 프로필의 순서를 바꿀 수가 없어서 아주 곤란합니다. 수정 부탁합니다."
33,성인 인증이 안됩니다. 문자 메세지 전송 버튼을 눌러도 계속 응답없다가 시간이 경과합니다 메세지가 뜹니다.
34,성인인증 하는 문자가 왜이렇게 안떠요??????
35,"이사하고 TV변경해서 등록했는데 아이디 비번을 수십번 반복해도 로그인 되지 않고 이메일, 전화번호, 카드번호 전부 눌러서 확인하고 이메일 로 보낸다고 계속 뜨는데 이메일에는 답변오지 않네요 취소도 못하겠네요"
36,성인인증 나만 안되나? 핀 입력 하라는데 키보드가 안뜨면 어쩌라고
37,성인인증 허려고 정말 여러번 시도 끝에 들어갔으나 숫자가 입력이 안됩니다... 언제 수정해주시나요? 성인인증 할 수 있게 바로 해줘야 하는거 아닌지.. 어쩌라는건지...
38,성인인증에러도 해결못하는 넷플릭스 어렵다.나잡아라.
39,입력잠금 기능이 없고 실수로 시청을 눌렀을때 시청중이라고 된걸 삭제할수 있는기능도 없어요 ㅠㅠ
40,내 계정을 누군가 해킹했는지는 모르겠지만 자꾸 모르는 프로필에 핀번호까지 걸려서 생성되는데 짜증나네요
41,성인인증에 들어가면 pin번호가 써지질 않아서 볼수가 없네요 디즈니라 아예 19금은 못 보도록 막아놓은 건가요ㅡㅡ
42,지브리 또는 핀과 제이크 프로필 좀 내주세요 사랑하는 저의 하쿠와 제이크를 프로필로 하고싶어요 그리고 찜했던거 초기화 좀 시킬 수 있게해주세요 일일히 삭제하는거 귀찮아요 그렇다고 프로필을 지우면 시청했던게 날라가잖아요 그거 말고는 괜춘 가격 오른게 좀 그렇지만
43,다 좋은데 프로필 잠금이나 초기화 웂나요
44,다 좋은데 프로필 잠금 기능이 없어서 불편합니다!!!!!
45,비밀번호를 몇번 치게 하는거야 드럽게 만들어났냐 퉤
46,비번까먹어서 오류뜬것같은데 83으로 떳는데 뭔가요?
47,"아니..........공유해서 쓸려고하니까 로그인하면서 아이디 비밀번호까지다적었는데 구독을하라는건어쩌란거죠? 친구가사서 친구가공유해서프로필딴걸로들어가같이할려고하니까 마지막1단계라면서 구독하라네요 하............실망입니다,.."
48,성인인증 1년에 한번이라며 아무리 성인인증을 5번을 해도 영상 틀려고만하면 다시 성인인증 하라고하고 영상은 볼수가 없고 도대체 앱을 어떻게 만들었길래 이따위인건가요? 이해를 할수가없네
49,제발 프로필 비번으로 잠그는 기능 좀 추가해주세요 제발... 너무 불편해요 제발 개별 프로필 잠금 추가해주세요...
50,근데 ios에서는 프로필 탭에 “새로운 기기 연결하기” 항목이 없는 것 같은데요. 그래서 TV 연결은 못하고 있는데… 빨리 개선되면 좋을 것 같습니다.
51,프로필에서 새기기연결하기가 안되는 이유는 뭔지 ㅡㅡ
52,앱설치에 화딱지나서 못해먹겄다
53,제발 프로필 계정 잠금버튼좀 만들어주세요.. 사생활 보호하고 싶어요
54,성인인증 방법중에 핸드폰 선택 하고 창이 계속 안뜨네요.............
55,"프로필별 성인인증이 되었으면합니다.,"
56,디즈니 개노잼 귀칼이나 보러 가야지 ㅋ
57,프로필 순서 좀 원하는댸로 고정시킬수 있게 해주세요.
58,잘 쓰고있는데 프로필 잠금 기능 있으면 좋을거 같아요. 프로필에 비번이라도 걸수있게요.
59,다좋은데 자동재생 프로필 수정햇는데도 안됨
60,프로필잠금설정 프로필삭제 추가좀여
61,"성인증을 못해서 아쉽다.... 데드플보고 싶은데,"
62,여러사람이 사용하기위해 한 사람이 계정공유를 말고 각 개인이 계정을 따로 만든후에 돈내고 결제한 사람의 계정에 추가를 하는게 맞다고 봅니다 단순 프로필 추가해서 본계정 아이디와 비밀번호를 알려주는건 위험이 너무커요 여러가지가 위험합니다 정말로요
63,프로필 기능이 왜 사라졌죠?
64,이메일 주소를 모르는데 어케 해요!
65,성인인증이 안되는데 뭐가 문제인건가요?
66,킹스맨볼수가없다 성인인증하래서하겟다하면아무것도안된다
67,"진짜 다좋고 아무할말없어요 근데 일곱개의 대죄보시면 시즌1,2하고 3건너뛰고 4,5 있는기 좀 아쉽네요"
68,그래서 프로필 잠금은 도대체 언제생기나요?
69,비번수정좀 하게해줘요 띠벌넘들아
70,성인인증더럽게어려워요
71,프로필 설정에 콘텐츠 등급은 19+등급 콘텐츠까지 시청가능하다고 떠 있는데 영화 하나 보려고 하니 성인인증 다시 하라고 하고.. 계정 아이디 비밀번호 입력해도 잘못된 비밀번호라고 계속 오류만 뜨고.. 성인 인증 좀 번거롭고 제대로 인증이 안돼서 불편하네요. 결국 못 봄..
72,성인 인증 안돼요^^ 쓰레기같은어플
73,이메일 입력했는데 가입이 안됨
74,호주에서는 못사용하나요? 재생버튼 누르면 Content is not available in your region [USR-2100] 이것만 나오고 재생 안되요
75,성인 인증 하라 해서 모든등급관람 확인 했는데 왜 계속 인증하라는 팝업이 뜨는건가요?
76,프로필 추가 왜사라졌나요 동시 시청가능한 회선인데 시청목록 섞이는거 너무불편해요 더 좋은서비스제공은 못할망정 왜 있는 서비스도 없애는건지
77,"웨이브 정말 재밌게 잘 보고 있는 사람입니다. 
친구들하고 같이 사용하고 있는 중이여서 프로필을 만들었습니다. 그런데 아쉬운건 친구들하고 같이 사용하다보니  다른데처럼  프로필 비밀번호가 따로 설정하는 게 있었으면 좋겠습니다. 
그것만 빼고 너무 좋습니다.
꼭 프로필 비밀번호 설정하는게 생겼으면 좋겠습니다:)"
78,비번 바꾸려고하는데 다안된다고하네 ...어쩌라는겨
79,비밀번호를 입력했는데 계속 안된다고 뜨면서 오류나요...살려주세요
80,이메일을 모르면 못 해요......
