,0
0,자막크기 150% 만들어주시길. 100은 너무작고 200은 너무크네요
1,한글 설정 방법 알려주세요..
2,자막이 좀 이상해요...ㅠㅠ
3,한국에도 디즈니 플러스를 보게 되어서 좋은데 컨탠츠가 어떤게 있나 볼려면 9900원 가입을 하고 볼수 있다는게 아쉬움…
4,한국에 떴다!
5,자막이 너무 커요
6,"자막을 한번 정하면, 외국 거 이든 한국거 이든 
그대로 나오는게 흠이네요
외국 영상에서는 자막이 나오게 하고
한국 영상에서는 자동으로 자막이 안나오게 해야하는
시스템이 있어야할 거 같네요"
7,한국어 자막이 너무 커요
8,자막 골때림
9,일본어랑 브라질어랑 다있는데 앱 언어설정에 한국어가없네요…? 웃긴건 또 영상 자막이랑 더빙은 한국어 지원이되네요
10,한국에도 나왔다
11,자막 크기가 너무 큰데요..조절할 수 있을까요?
12,"더빙버전말고 자막버전은 없나요?
더빙,자막 버전이 따로 있으면 좋을거같아요."
13,언어에 한국어 체크하는데도 없고 언어설정 다 바꿨는데 계속 영어로 나오네요 한국어로 바꾸는 방법좀 알려주세요
14,자막이 화면의 4분의 1정도 가리네요 ㅠㅠ 글씨 크기가 조금 작으면 좋을 것 같아요 !!! 엄청 기대했는데 볼 것도 많고 너무 만족스럽습니다 ㅎㅎ
15,다 좋은데 한국어 자막이 좀 커서 아쉬워요 나머지는 다 정말 👍🏻👍🏻 4k여서 더 좋습니당
16,자막 크기 좀 줄이고 시청한 콘텐츠도 볼 수 있게 해주세요 ㅜㅜ
17,배속왜없냐
18,"자막보다가 눈빠지겠어요. 스마트티비는 자막크기와 테두리 투명 가능한데, 모바일기기는 크기나 테두리배경 조절이 안되네요. 자막 크기 변화없으면 재구독 의향 없습니다."
19,자막이 너무 작아요...
20,자막크기조절가능하게해주세요 짜증납니다
21,한국 서비스 시작! (2021.11.12)
22,자막 배경 없애는 기능 넣어주세요
23,자막크기 심각하게 작은데 크기조정 안되요?
24,자막 크기가 핸드폰 시스템 자막과 동기화됨. 모바일 환경에서도 자막 크기 수정 필요.
25,한국어 자막같은 기본적인게 추가되어있지않네요. 실망스럽습니다
