,0
0,방금 깔았는데.. 버튼에 텍스트도 안나오고…. 뭔지 모르겠네요….
1,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
2,"1. 자막 설정
  자막 크기가 너무 커서 화면을 너무 많이 가려요 사용자 설정으로 자막 글씨 크기 설정, 위치 설정을 할 수 있게 해주세요
2. 백그라운드 재생
  백그라운드 재생할 수 있게 해주세요"
3,화면에 아무것도 안나오네. 하단 버튼 백그라운드 색깔만 나오고.. 어쩌라는건지
4,배속왜없냐
5,밝기조절 소리조절탭이 따로없는것같고 작은 화면으로 띄워놓는 기능도 없어서 이런부분을 보완하면 좋을 것 같습니다
6,출시돼서 좋긴한데 앱UI가 너무 구림...플레이어에선 기본적인 볼륨 및 밝기조절도 안되고 pip모드도 안돼있고 하여튼 불편한 점이 많음 못보던거 볼수있다는게 최대 장점임..그외에 죄다 별로..
7,팝업재생 안되는거 실화냐
8,다 좋은데 자막 사이즈가 다른 ott에 비해 너무 커요 자막 크기 조정 가능했으면 좋을거같아요
9,배속설정
10,왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네ㅋㅋ 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요ㅎㅎ
11,자막이 영상을 다 가림. 게다가 불투명 자막이라 더 불편함. 다음화로 바로 넘기기 기능도 없음. 재생바를 꼭 손으로 넘겨야함.화면 밝기 소리 제어 기능 없음. 영상에서 회차정보 보는 내용도 없어서 재생 취소를 반복해야함
12,배속 만들어주세요
13,배속 기능 추가 해주세요
14,배속 설정 추가해주세요 쿠플에도 있는게 여긴 없네ㅜㅠㅡㅠㅠㅜㅡ
15,1. 화면밝기 & 소리 조절 못 함 2. 자막 크기 설정이 없음 3. 결제 관리 앱으로 안됨 4. 자막 오역과 오타 너무 많음 아직 앱에서 부족한 부분이 많은 것 같음 자막번역 때문에 앱 출시가 늦어졌다고 아는데 늦어진거치고 자막의 질이 기대이하임
16,화면밝기조절이 불편하네요
