,0
0,기다렸다 디즈니 플러스
1,크롬캐스트 연결시에도 자막 아이폰 동기화와 다음화 넘기기 앞부분스킵이 있었으면 좋겠습니다
2,제발 크롬캐스트에서 지원하게 해주세요ㅠㅠ진짜 많은 ott 중에 티빙만 안됨...
3,크롬캐스트4도 지원부탁드립니다
4,티비로 시청하는 경우에서도 재생 속도 조절 할 있게 해주세요!!!
5,이게 오늘 11월 12월에 온 디플+임?? 이거 다운 받으면 되나?
6,2.35:1화면비율 영화를 보면 왜 화면이 꽉차지않죠??! 그래서 확대시키면 완전오바되서 화면다짤려나가고 빨리수정해주세요 그리고 아이폰은PIP모드 되면서 안드로이드는 왜 안되나요??! 이것도 수정해주세요
7,크롬캐스트로 미러링해서 사용중이었는데 갑자기 앱에서 미러링버튼이 사라졌네요..혹시 어디로 간건가요?
8,디즈니 컨텐츠 다양하게 이용할 수 있는 건 좋은데요 성인인증을 하려하니 핀번호 입력이 안됩니다. 사용기종은 갤럭시21과 갤럭시탭FE 사용중입니다(안드로이드). 빠른 해결 바랍니다. 뱀파이어 다큐멘터리 보고싶어요....
9,심슨가족 더무비 밖에없네요 안드로이드 셋탑에시는 자막두 안나오구요 ㅎㅎ 심슨때문에 보는건대 이게 뮌지
10,미러링시에 연속재생이 안돼요 왜그러죠?
11,"티빙 설치하는데 안드로이드티비만 설치된다고 안된다네요
넷플 왓차 웨이브 디즈니플러스 다 되는데, 아무래도 티빙만 설치가 안되는건 문제가 있는거같습니다
처음에 6월쯤엔 잘만 됐엇는데 언제부턴가 안되는걸보니 업데이트가 필요한것같습니다ㅠ 사용에 불편하니 빨리 고쳐주세요"
12,제발 안드로이드 PIP 기능을 돌려주세요
13,안드로이드 티비 앱은 엄청 끊기고 탐색도 힘들고 참 그러네요
