,0
0,기대가 됩니다.
1,기대됩니다!!
2,감사감사요
3,缺点是里面的内容过少.希望后期能大大增加吧～本人是国家地理的铁粉～～～～～
4,최고의 선택이라 자부합니다
5,기대보다 볼게 별로...
6,후발주자인데 기본 기능은 오래 전에 나온 넷플릭스보다 한참 떨어지면서 콘텐츠만 내세우고 배짱장사하는 게 스팀과 에픽 게임즈 관계 같네요. 1. 이미 많이 얘기 나온 자막 문제 2. 디즈니 채널로 더빙된 작품이라고 한국 자막 지원 x. 한국 영화도 cc 지원해주는 넷플릭스랑 천지 차이. 캐리비안의 해적처럼 유명한 작품은 온갖 언어 더빙에 자막 다 지원해준다는 점에서 더 짜증남. 3. 보는 중인 콘텐츠 목록 지울 수 없음 4. 찜한 콘텐츠 항목 들어가기가 불편함 5. 디즈니 극장판 애니메이션 시작하기 전에 나왔던 단편 애니메이션 제목을 기억하기도 어려운데 다 분리해놔서 하나하나 찾아야 함. 자기 전에 앰피비아 보려다가 중국어랑 영어 자막만 있는 거 보고 그냥 넷플릭스 보러 갑니다.
7,대만족
8,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
9,스타스포츠랑 espn 넣어줘ㅠㅠ 이럴거면 왜 iptv에서 빼간거냐고..
10,재미있어요 드디어 굿
11,최고임
12,"최대 7명 동시접속 4명, 생각보다 이게 많이 겹칠 수도 있다고 생각이 들더라고요 앱에 들어갈때 누가누가 접속을 하고 있는지가 표시가 되면 끊길일도 없을것 같습니다!!"
13,감사해요
14,"ㅋㅋㅋㅋ마블영화는 시청도 안됨 디즈니 영화빼고 실행도 안되서 강제 디즈니 시청행 ㅋㅋㅋㅋ 자막 사이즈도 못골라 코리아 ip면 자막을 한국어로 디폴트 해두지도 않아 ㅋㅋㅋ 소리, 밝기 제어 안 돼 콘텐츠는 겁나 없고 성인 인증 안 되서 15세 영상은 다 막혀있고 UI는 겁나 불편하게 하고 되는게 머임? ㅋㅋㅋㅋ 개킹받는 건 자막도 개후짐 심슨에서 환상적이다를 돈이 많다로 갈긴 어메징함이란...."
15,완전 만족
16,굳
17,프로필 여러 개를 성인인증하는데 문제 있고 티비로 시청 시 자막 뒤 검은 박스 처리가 거슬림 그리고 아동용을 제외한 컨텐츠는 굳이 더빙 할 필요가 있을까 싶다 그 비용으로 자막 퀄리티에 더 투자하는게 맞다고 봄 마블 등 디즈니 소유의 콘텐츠는 빨리 볼 수 있는 점은 장점으로 작용할 듯
18,"다 좋은데 삼성폰에서 hdr,4k,돌비비젼 다 지원하는데 저런것 안되고 달랑 hd만 뜨던데 타 ott서비스들도 hdr 4k 돌비비젼 다 해줘요 자막 폰트 크기 변경 됐으면 좋겠고 밝기 음량 조절 되게 해주세요"
19,최고
20,오디오 자막 들어가면 톱니바퀴 설정모양이 보인다는데 노트8에는 안보여서 자막설정을 못 하네요. 검은바탕이 너무 신경쓰이는데 어떻게 설정할 수 있나요?
21,하이큐 4기!!
22,편리합니다
23,감사합니다!
24,빨리감기 개선이 필요합니다. 그 외 전반적으로 만족
25,구성이 너무 좋네요^^가성비 짱!
26,재미있는 디즈니을 볼수 있어서 너무좋아요
27,왕실탐정 미라가 키즈로 분류되어 있는데요 정작 키즈 프로필로 접속하면 안보이네요 수정해주세요
28,처음에는 잘 맞게 나오다가 후반부쯤에 자막이 더 빨리 나와서 싱크가 안 맞아요. 보기 너무 불편하네요 ㅠㅠ
29,키즈모드 안전하고 좋아요
30,돈을 내고 결제했는데 실시간 시청은 또 돈을 내야함 ㅋㅋ 그럴꺼면 축구 중계권 갖고가질 마시지
31,지난방송 보기 유료는 이해하겠는데 실시간은 도대체 왜 유료화된거죠...? 다른 앱들은 실시간은 걍 보여주는데 왜.....? 도대체 왜죠...🤦‍♀️이해가 안되네
32,만족< 매우)
33,매우만족
34,최고입니다
35,어제부터 오디오가 몇 초 빠르게 나오고 입 모양과 나오는 오디오가 맞지를 않아 보는게 불편함이 있습니다!
36,스포츠중계 확대
37,감사합니다♡
38,내용이 다양함
39,굳
40,"로켓와우 회원 진짜 할만한듯 ㅋㅋㅋㅋ
쿠팡최고"
41,최고😗
42,와우회원 무료인것에 무조건 감사
43,다 좋은데 디센던츠3는 오디오에 한국말이 없더라고요 이것만 고쳐주시면 다 괜찮을 거 같네요
44,안녕하세요 꺼진 화면 오디오 재생하게 안 되나요 그리고 자막 크게 보기 있었으면 좋겠네요
45,하이
46,너무 너무 잘 이용하고 있습니다 :) 그런데 이용하는 데 있어서 약간의 불편사항이 있어서 이렇게 말씀을 드리게 되었습니다. 시청 중인 영상이 1분 정도 남았을 때에 “다음화로 이동하기” 기능이 영상을 시청하는 데 거슬립니다.. 이 기능을 활성화/비활성화 할 수 있도록 따로 기능을 추가해주셨으면 하는 바람이 있네요.
47,최고입니다 추천
48,재미에 재미를더한 웨이브~
49,과거3사 방송볼수있어 넘나좋음
50,"편의성이 너무 떨어지네요. 다른건 몰라도 배속, 밝기, 소리는 어려운 기술도 아닌데 빠르게 적용부탁드립니다."
51,"정말 다양한 컨텐츠가 카테고리별로 보기 편하게 되어있어서 6개월째 웨이브만 쓰고 있네요 ㅎㅎ 다른 OTT 플랫폼보다 구독료가 저렴하면서, 많은 컨텐츠를 제공해준다는 점에서 계속 사용 하지 않을 이유가 없네요!!"
52,최고입니다
53,최고의 뮤지컬
54,최고
55,더빙판 자막 제대로 안되어있고 카테고리도 넷플릭스에 비해 불편해죽겠음
56,멀티버스 war 로의 완벽한 도입!
57,만족스럽게 사용하고 있어요
58,한달에 8.3으로 고화질에 디즈니 마블 볼거리들을 볼 수 있다??? 이게 혜자고 결제 안하고 어떻게 견딤?
59,봄 감사
60,"멜로가 체질이나 검블유 있었으면 좋겠어영 ㅜㅜㅜ
그리고 프로필 잠금 기능이 있었으면 좋겠습니다 약간 사생활적으로 쪼끔 그래서,,, 그것 말고는 좋은것 같아용 아 그리고 종료작들 모여있는 카테고리도 있었으면 좋겠급니당"
61,굳
62,카테고리좀 어떻게해주면안되나 그냥 영화선택하면 장르 고를수있게해주고 장르누르면 주르르륵 다 펼쳐져있었음 좋겠다 추천해주는거만 슬라이드로 넘겨야되고 너무불편; 제목을 알면 검색해서찾는데 몰랐던거 찾아보는재미도있는건데 왜케 보기가불편한지;
63,구성 깔끔하고 좋아요^^~
64,한글 자막이랑 오디오랑 타이밍이 너무 안 맞네요... 네모 박스에 자막이 있어서 집중도 안되구요.. 세심한 부분에 많이 실망돼요.....
65,"뭐이딴게다잇어? 왜 결제를먼저 요구하냐고..
무슨콘텐츠가잇는지 내가원하는게잇는지 알아야될거아니야?"
66,하이큐!! 4기 좀 나오게 해주세요 티비로 3기 끝까지 다 봤는데 한창 좋은데서 끊김
67,재미지게잘보고있음
68,편리하고 좋네요
69,재미있게 활용할수있어 좋은거같아요
70,재미있다
71,전체화면기능은 도대체 언제 만드는건지... 일안하나?.....
72,재미가 있다.
73,며칠 전에 갑자기 앱이 실행되질 않아서 삭제했다 다시 설치했는데도 화면이 계속 까맣고 홈화면이 나오질 않습니다. 해결 좀 부탁드려요 ㅜㅜㅜㅜ
74,재미있어요
75,재미있어요 ~~^^
76,재미있어요
77,재미있어요
78,내용이 다양해서 좋아요
79,굳
80,"화질이 갑자기왜이러죠? 고화질로해도 영,,,,돈도 올린다던데 왜죠?왜 마음은 디지니로 기울려지죠?"
81,볼게많구 실시간으로 볼수도있구 너무좋아요~~~♡
82,퀵 vod 빨라서 대만족
83,최고
84,카테고리좀 예전처럼 바꿔줘요 너무 불편함..
85,진짜 쿠팡이 가성비는 최고네요. 어느 날 보게된 김에 로켓배송도 쓸라고 멤버쉽들어갑니다. 혜택은 진짜 최고
86,개인적으로 넷플보다 선호함
87,하이큐 4기제발 방영해주세요ㅠㅠ
88,아니 유료 짱나네ㅡㅡ
89,카테고리..어디감?? 필터기능에 외국영화는 왜 아무것도 안뜨고...삭제했다 다시 깔아보고 난리를쳐도 못찾겠음;;
90,순위20위 뭐냐 변경도 안되는 순위 실시간 으로 다시 돌려라
91,왜 검은 화면만 나오고 실행이안되나요. 어제부터 이런 현상있었고 일부러 하루 더 기다렸는데고 안켜지네요. 앱 삭제했다가 깔아보고 여러번 시도도했는데 아예 실행이 안됩니다. 이런 문제 많은데 빠른 조치좀 취해주세요.
92,굳
93,하이큐 다음화 언제 나오나요..;;
94,재미써요
95,굳
96,귀멸의칼날 2기는 볼수 없는건가....
97,전체관람가 영화에 한국어 오디오가 없는게 많아요 아직 자막 읽기 힘든 어린아이들 위해 한국어 오디오를 많이 도입해 주세요 타 ott서비스에는 전체관람가 영화에 한국어 오디오가 많습니다
98,하이큐가 3기까지밖에 없는데 4기도 보고싶어요 찾아보니까 다른 많은분들도 4기 찾고잇더라구요 다 좋은데 3기끝나고 볼게없어졌어요ㅠㅠ
99,재미짐
100,"분명 프로필 설정에는 모든 연령 시청 가능으로 설정되어 있는데 왜 18+등급 (킹스맨,데드풀 등) 영상을 보려고 누르면 시청나이가 안된다고 못보는걸까요. 또한 1.다른 어플이랑 비교했을때 전체적인 인터페이스 개선이 필요 2.자회사 영상만 있어 계속 이용하기엔 한계가있음 3.영상 시청시 10초 +-(건너뛰기, 되감기) 기능은 없어서 다소 불편함 4.보는 도중에 화질변경이 될때가있음 (개인의 문제 일 수 있지만 WIFI가 잘 터지는곳에서도 가끔 있음) 등이 개선되면 좋을듯"
101,라디오스타랑 전지적참견시점도  올려주시면 안될까요 ㅠㅠ 너무 보고싶어요
102,오디오에 왜 한국어는 없눈거죠..? 저 더빙으로 보고싶어요 있을텐데 한번 힘 좀 써보십쇼...
103,최고입니다~~^^
104,감사합니다^^
105,하이큐 4기 보고싶어서 2주동안 1 2 3기 정주행했는데요 4기 없는거 보고 개 얼탱없어서 왓챠 결제해서 봤습니다… 진짜 기절 제발 추가점 해주세요 추가해주시면 5점..
106,한국 콘텐츠 볼거리 가 많아서
107,관심 콘텐츠 추가했는데 바로 안보여서 뭐지? 했는데 프로필을 누르고 관심 컨텐츠를 눌러야 볼 수가 있는데 진짜 짜증남 두 번 클릭하게 하지 말고 내가 보고 싶은 것들은 바로 홈에서 뜰 수 있게 해줬으면;; 그리고 오디오는 좀 고정을 해놓을 수 없나?? 자막은 한국어로 고정되는데 오디오는 뭔 ;; 틀 때마다 색다른 언어로 말하냐... 콩고어였다가 갑자기 중국어였다가;; 매번 틀어서 바꾸기 귀찮으니까 설정에서 오디오 언어 고정좀 해놨으면 좋겠음 진짜
108,다른건 좋은데 왜 심야괴담회 프로는 없는건가요? 올려주세요 볼거리가 많아좋은데 저프로가없네요
109,재미슴
110,화질을 고화질로 바꿔도 계속안좋아요
111,최고입니다
112,만족스럽네요
113,재미있긴 한데 렉 너무 심해요
114,우주패스로 웨이브라이트 이용으로 들어옴. 근데 막상 볼수있는게 없네요. 다 이용권결제하라그러고... 라이트 유저 존을 따로 만들어주던지... 우주패스고 나발이고 어플 삭제했습니다.
115,하이큐 4기랑 지박소년 하나코군.. 제발요.. 진짜 하이큐 4기는 줘야 하는거 아닌가요.. 다 좋은데 애니메이션 좀 늘려주세요..
116,감사합니다 최고에요
117,기대 이하
118,기대보다 더 별로입니다. 무엇보다 설강화 방영은 진짜 실망스럽기짝이 없군요
