,0
0,기대가 됩니다.
1,"기대반,걱정반으로 구독신청 완.료.
앞으로 디즈니플러스만의 많은,오리지널.콘텐츠
기대합니다.
앱 화면에서 볼륨이나 밝기 컨트롤 가능하게
해주세용!"
2,"엄청 좋은 컨텐츠에 감각하면서 보고 있는데, 화면의 반을 가리는 자막때문에 거슬립니다. 자막 크기 조정 해주세요"
3,기대됩니다!!
4,확인 해야되는데 글자가 없네요???
5,"디즈니 사랑해요ㅠㅠ
디즈니 픽사 마블 스타 네셔널 지오그래픽 다 있으무ㅠㅠ"
6,버튼이 에피소드 끝나고 바로뜨면 젛겠어요 왓이프는 언제공개되나요?
7,진짜 구독하길 잘했네요 제가 좋아하는 시리즈가 있어서 감사함!!!
8,컨텐츠 너무 빈약
9,"영상에 비해 자막 너무 커서 얼굴 다 가리고 
자막 뒤에 배경 때문에 얼굴 싹다 가리고 미치겠어요
자막크기랑 배경 설정좀 할 수 있게 바꿔주세요 제발"
10,최고의 선택이라 자부합니다
11,"역시 콘텐츠양이 엄청나네요
구독료도 넷플보다 훨 싸고
기대됩니다!!"
12,"화면 슬라이드로 볼륨 조절 밝기조절,
ㅠㅠ빠른재생(1.5배, 3배) 기능이 없는게 너무 불편해요
첫 홈 화면에 카테고리 바가 있으면 편할거같아요.
(드라마 영화 애니메이션 등)"
13,라고 말할 수 있게 좋은 컨텐츠 기대합니다
14,시청기록 지우는 것도 추가하면 좋을 것 같아요
15,다양한거 볼수 있어 좋네요 영상재생만 조금 고쳐졌으면 좋겠어요
16,기대보다 볼게 별로...
17,영상 배속조절이 없는게 많이 아쉽네요... 요즘 적용 안되는 프로그램이 거의 없는데~ 진짜 그것만 있으면 완전 좋을거 같아요!!
18,디즈니 콘텐츠야 말해 뭐해요~ 그.런.데.. 어플 이용해 폰으로 시청할때는 불편하네요 어플에 PIP가 적용되어도 팝업창이 안되요 설정하는 다른 방법이 있는건데 제가 모르는건지 모르겠는데 팝업창이 안되다니...많이 불편하네요
19,GOOD
20,"넘 기대를 많이 해서 그른가 상당히 실망이네요... 배속 안되는건 뭐 안되는 다른 ott 서비스도 많으니까 이해하는데 밝기 조절, 음량조절 이나 자막 크기 조절 같은 간단한 것도 아직은 제공을 하지 않네요... 아직 자막 지원하지 않는 작품들도 꽤 있는것 같고요.. 또 한달 무료 아니 최소한의 2주 무료 이용조차도 없는게 불친절하고 결제를 해야지 무슨컨텐츠들이 있는지 둘러볼수 있네요.. 이런것들이 개선되지 않는다면 이번 한달이 마지막 이용이 될것같습니다, 괜히 넷플이 시장 1위겠어요.. 다 이유가 있더라고요. ㅠ ㅠ"
21,일부 컨텐츠가 카테고리 목록에 없는 경우가 있습니다 따로 검색을 하거나 비슷한 컨텐츠 목록으로 찾아들어가야 합니다 예를 들어 '일곱개의 대죄'는 검색을 해야지 찾을 수 있고 카테고리 목록 어디에서도 찾을 수가 없어요 새로운 볼만한 거 둘러볼 때 이런식으로 목록에서 누락된 작품은 아예 볼 기회가 없겠죠
22,디즈니 콘텐츠 이용이 가능한건 매력적이지만 가족끼리 계정 공유할 때마다 이런저런 렉이 걸려서 귀찮음.
23,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
24,"콘텐츠는 좋아요. 그렇지만, 배속 기능이랑 보던 영상을 앱 켜자마자 이어볼 수 있는 기능 추가되면 좋겠어요"
25,후발주자인데 기본 기능은 오래 전에 나온 넷플릭스보다 한참 떨어지면서 콘텐츠만 내세우고 배짱장사하는 게 스팀과 에픽 게임즈 관계 같네요. 1. 이미 많이 얘기 나온 자막 문제 2. 디즈니 채널로 더빙된 작품이라고 한국 자막 지원 x. 한국 영화도 cc 지원해주는 넷플릭스랑 천지 차이. 캐리비안의 해적처럼 유명한 작품은 온갖 언어 더빙에 자막 다 지원해준다는 점에서 더 짜증남. 3. 보는 중인 콘텐츠 목록 지울 수 없음 4. 찜한 콘텐츠 항목 들어가기가 불편함 5. 디즈니 극장판 애니메이션 시작하기 전에 나왔던 단편 애니메이션 제목을 기억하기도 어려운데 다 분리해놔서 하나하나 찾아야 함. 자기 전에 앰피비아 보려다가 중국어랑 영어 자막만 있는 거 보고 그냥 넷플릭스 보러 갑니다.
26,대만족
27,컨텐츠는 맘에 드는데 번역상태 왜 이럼? 자막상태도 엉망이고 기기따라 자막이 붕 뜨는 현상도 있음. 유튜브로 런칭기념인지 뭔지 할 시간에 기본은 제대로 하고 하자... 일단 계속 구독은 할껀데 개선 안하면 탈주각임
28,"1. 1.25배속, 1.5배속으로 보기 만들어주세요 2. 관심 컨텐츠 항목 홈 화면에서 볼 수 있게 해주세요"
29,PC 환경에서 자동재생 안되는 문제 언제 고치나요.
30,기본적인 것만 충고합니다. 1) 자막 사이즈 키우세요 2) 키워드 기반 컨텐츠 검색 가능하게 해주세요 3) 자막팀 늘려서 컨텐츠 빨리 늘려주세요
31,"12일 밤 00시 기다려서 바로 가입함. 검색 어려움 볼것 특정 시리즈 말고 별로 없음, 예정작 언제 어디서 나오는지 모름, 자막 검은색 바탕화면 안에 나와서 걸리적 거림..... 왜 넷플이 1위인지 나는 이제 알겠소 반성해라 디즈니 !!!!"
32,샹치를 보는데 중간중간 중국어가 나올 땐 자막이 안 나오는 부분이 있네요 개선해 주세요
33,좋은 콘텐츠가 많아서 재밌게 보고있어요~!!
34,디즈니+ 기타 영화들은 너무 기대 하지 말고 자사(디즈니)의 시리즈 들을 감상하는데 이용 하세요 마블 드라마를 보기위한 어플 디즈니+😄
35,마블 팬들이라면 한국에선 못보던 에오쉴7 팔윈 로키 완비 등등을 볼 수 있으니 한달이라도 구독하는 게 좋음 마블드라마를 볼 수 있단 게 젤 메리트인 듯 +지금 블위랑 샹치까진 볼 수 있음 +크루엘라도 있네 ㅎㅎ 보고는 싶었지만 평이 별로에다 코시국이라 영화관 가기 껄끄럽던 분들 부담없이 보면 됨 미뤄뒀던 마블시리즈있음 다 여기서 ㄱ (아쉽게도 없는 것도 _스파이더맨_몇개 있음 ㅠㅠ)
36,최고다 디즈니!! 보고싶은걸 넘어 갖고싶었던 컨텐츠들~^^
37,재미있어요 드디어 굿
38,요한이 벼ㅇ시나 스파이더맨은 소니꺼잖아 왜 디즈니에서 찾아
