,0
0,도대체 아이패드 블루투스 키보드로 재생하고 멈출 수 있는 기능 언제 내 주실 건가요... 넷츨 왓챠 등등 심지어 인강 앱까지도 키보드 스페이스로 멈출 ㅜ수 있는데.. 너무 불편해요 ㅠㅜ
1,제목처럼 글자가 안보이고 칸만 보여요.  뭐가 뭔지 모르겠어요ㅠㅠㅠ 빨리 수정좀요 아이패드로도 했는데 똑같아요 화면에 아무글자도 안떠요
2,"아직은 전채적으로 쿠팡플레이 정도의 느낌
TV와의 연동이나 자막도 2% 부족.
볼거 골라보고 이탈 하지 않을 수 있는 그런 한국시장이
되길 바랍니다."
3,무엇보다도 동시 접속 4명인데도 화질 저하없이 9900원에 좋은 화질로 감상할 수 있어서 너무 좋습니다. 2% 아쉬운게 있다면 휴대폰으로 시청할 때 화면으로 밝기 조정이나 음량 조절이 없는게 조금 아쉬울뿐 그거 외에는 아이맥스도 지원하니 정말 좋습니다 :)
4,실행하고 가입하는데 글씨가 하나도 안보임
5,기다렸다 디즈니 플러스
6,"아이패드로 시청중인데, 기본적으로 앱에서 나오는 글씨가 이미지화 된 글씨말고는 보이지가 않습니다. 어서 패치해주세요"
7,아니 드디어 디즈니 플러스 나와서 감격의 눈물 흘리면서 딱 영화 골랐는데 뭔 자막 크기가 대문짝만해가지고 화면의 반이 절반입니다.. 제발 제발제발 줄여주세요 젭알
8,디즈니 플러스 좋아용
9,크롬캐스트 연결시에도 자막 아이폰 동기화와 다음화 넘기기 앞부분스킵이 있었으면 좋겠습니다
10,"모바일 기기 자막좀 손봐주세요 플스 자막도 마찬가지고요
무슨 모바일 자막은 너무 커서 화면을 가릴 정도고
플스는 검은색 박스에 흰색 자막… 무슨생각인거죠…??"
11,아이패드에서만
12,디즈니 플러스 1년 구독 가즈앙
13,디즈니 플러스 나오기까지 얼마나 기다렸는지 ㅎㅎ 역시써보니 좋네요
14,페이스북으로 로그인하려는데 비활성화 되있다면서 페이스북 앱 깔고 다시 시작하라는데 이미 깔려있는데 뭐 어떻게 하라는 건지도 모르겠고 지웠다가 다시 깔아도 안되고 핸드폰 전원을 껐다가 다시 켜봐도 안되요 이건 뭐 어떡하라는 건가요
15,크롬캐스트4도 지원부탁드립니다
16,며칠째 영상 재생이 안됩니다. 영상에 문제가 있다니 디바이스에 오류가 있다니 오류코드도 가지각색;; 2초에 한번씩 화면 멈추고 소리만 재생되네요. s21과 아이패드 이용해 사용중인데 s21에서만 오류가 생기네요. 기기가 문제인지 어플이 문제인지 다 짜증납니다.
17,티비로 시청하는 경우에서도 재생 속도 조절 할 있게 해주세요!!!
18,자꾸 로그인이 안되요 어떻게좀 해주세요
19,"아이패드앱에서 한 달치 결제했고 아이패드, 아이폰 모두에서 볼 수 있는데 안드폰이나 피씨에서는 결제내역이 복구가 안 되어서 볼 수가 없습니다… 설마 플랫폼별로 각각 결제해야 하는건가요? 답변 좀 부탁드립니다"
20,"그릅워치 할시 어플로 넘어가는게 아니라 웹으로 넘어가게 되는데, 모바일로 하는사람들은 같이보기가 아직 실행이 안됨. 빨리해결해줘야할듯"
21,화면이 안뜨잖아! 글씨가 안나와 로그인을 할수가없어!
22,"화면이 안보여요!
글씨가 안보여서 로그인도 못하고 아무것도 못하고있어요. 
남색 화면 밖에 안보여요."
23,핸드폰 앱에서도 자막수정 기능을 넣어주세요
24,역시 디즈니플러스
25,"애플아이디로 결제되는거말고

카드결제는 언제지원되나요?"
26,왜 구독하려면 이 기기에서 구글플레이 계정으로 로그인 하라는게 계속 뜨네요
27,갤럭시탭에서는 자막이 너무 크게 나오고 크기 조절이 되지 않아서 불편하네요. 화면 비율 조정도 가능했으면 좋겠어요... 지플립에서 꽉찬화면(22:9)으로 나오니까 너무 많이 잘려요!
28,이게 오늘 11월 12월에 온 디플+임?? 이거 다운 받으면 되나?
29,갤럭시 탭 S6라이트에서 설치가 안되네요. 용량도 충분한대요
30,2.35:1화면비율 영화를 보면 왜 화면이 꽉차지않죠??! 그래서 확대시키면 완전오바되서 화면다짤려나가고 빨리수정해주세요 그리고 아이폰은PIP모드 되면서 안드로이드는 왜 안되나요??! 이것도 수정해주세요
31,오늘 잠깐결제해서 봤는데 미드 슈퍼내츄럴 폭스건데도 업로드안됐고 디즈니명작 반절이상이 자막없고 더빙이 대부분이고 볼품없음 준비안된상태에서 런칭한거같음 무료기간을 주는것도아님 디즈니 고객센터 전화해서30분만에 통화됐는데 상담사가 환불해주라는말에 환불된다는 말도 안해줌 절차도 모르고이상한 전화번호 알려주고 구근플레이가서 다시 알아보라고함 오늘 1시간 손해봄 자막 나오는지 체그만하고 아예안봤는데 환불안해주면 방통위나 어디다가 ㄹㅈ 해야하나 무튼 가만히 안있을꺼임
32,설치가 안됩니다 ㅠ 갤럭시 탭s2 디즈니도 되는데.....
33,로켓배송이나 제대로해 뭔 스트리밍서비스야 디즈니 플러스 보러가야지
34,몇일전부터 모바일에서 서비스 연결이 지연되고 있다면서 재생이 안됩니다
35,"태블릿 pc를 하나 구매해서 사용하려고 검색했는데, 거주 국가에선 사용할 수 없다고 나오네요.. 혹시 구글계정과 연관이 있는건가요??"
36,역시 믿고 선택하는 디즈니. 생각보다 볼 게 많아서 뭘 봐야할 지 모르겠어요!
37,샤오미 미스틱도 구글 기반인데 웨이브 와차 티빙 아마존 넷플릭스 디즈니플러스 다 되는데 쿠팡플레이만 지원 안되네요 이것도 지원했음 좋겠습니다.
38,갤럭시도 pip모드 지원좀ㅠ
39,다좋은데 자막 폰트가 고정되서 불편하네요. 자막 폰트가 너무 알아보기 힘들어요 (폰트가 작은데 거기에 글씨가 너무 얇아서 눈에 잘안들어 와요. 자막 폰트 수정해야할것 같아요(갤럭시)
40,가입 및 모바일.TV설정 매우 간편하고 좋네요. Tv 자막 사이즈 150%도 넣어 주세요.
41,모바일에서 자막설정 좀 할 수 있게 해주세요. 자막이 넘 작음
42,디즈니 컨텐츠 다양하게 이용할 수 있는 건 좋은데요 성인인증을 하려하니 핀번호 입력이 안됩니다. 사용기종은 갤럭시21과 갤럭시탭FE 사용중입니다(안드로이드). 빠른 해결 바랍니다. 뱀파이어 다큐멘터리 보고싶어요....
43,설치가 안댐...
44,가입하고 폰 태블릿 pc tv 설치완료 했습니다 넘 기다리던 ott라 반갑고 자잘한 오류같은거는 차차 좋아질거라 보입니다
45,"휴대폰 영상배속재생기능, 팝업창보기 기능 추가 해주세욤~"
46,아니 모바일 기기에서 성인인증하기 위해 비번을 누르라고 뜨기만하고 자판이 안 묵는건 무슨 경우지?
47,로그인 안됨 핀번호 안됨 다운 안됨 스트리밍 안됨. 어썸!!! + 다운시 배터리 광탈
