,0
0,시청기록 지우는 것도 추가하면 좋을 것 같아요
1,한글 자막 배경이 검은색으로 나와서 짜증나셨죠? 저도 그랬습니다. 디플 앱에서는 설정이 불가능해요. 해결방법이 있습니다. 설정 들어가셔서 자막으로 검색하시면 구글 자막(cc) 뜹니다. 눌러서 배경색 사용안함 설정하고 글씨 크기도 취향에 맞게 설정해주세요. 그럼 즐감 되세요!
2,기사엔 샹치와 텐 링즈 있다던데 없네요 첫판부터 장난질 입니까? 콘테츠도 생각보다 없네요 ㅡㅡ
3,굳
4,"화질 좋고 다 좋은데

자막이 씹혀서 안보일때가 있어요 ㅜㅜ"
5,"다 좋은데 삼성폰에서 hdr,4k,돌비비젼 다 지원하는데 저런것 안되고 달랑 hd만 뜨던데 타 ott서비스들도 hdr 4k 돌비비젼 다 해줘요 자막 폰트 크기 변경 됐으면 좋겠고 밝기 음량 조절 되게 해주세요"
6,"영상 우측 상단에 보면 설정하는 버튼 있어요
오디오를 코리안으로 하면 더빙으로 들리고 
영어로 하면 원작 그대로 들립니다 
모르면 검색이라도 하고 찾아라도 보세요 
그냥 냅다 욕하지 마시구요..."
7,하이큐 4기!!
8,편리합니다
9,화질쩜
10,시청 중에 카톡이나 인터넷을 확인하고 다시 어플을 키면 이후부턴 자막이 안나오네요...완전히 종료 후에 다시켜야만 자막이 나와요 오류수정 부탁드립니다
11,돈을 내고 결제했는데 실시간 시청은 또 돈을 내야함 ㅋㅋ 그럴꺼면 축구 중계권 갖고가질 마시지
12,지난방송 보기 유료는 이해하겠는데 실시간은 도대체 왜 유료화된거죠...? 다른 앱들은 실시간은 걍 보여주는데 왜.....? 도대체 왜죠...🤦‍♀️이해가 안되네
13,화질이 넷플릭스에 비해 너무 구려요
14,스포츠중계 확대
15,굳
16,영상이 재생이 안되잖아 도둑놈들아 계속 재생 눌러도 안열린다고요 진짜 짜증나죽겠네..... 계정 등급도 이미 설정했는데 뭐가문제냐고 아 진짜 돈도 받아먹으면서 이따위로 앱을 만드는 이유가뭡니까 영상하나보려고 뭔짓하고있는건지ㅋㅋㅋ
