,0
0,"TV에서 시청중입니다

아직은 안정화가 덜 되어 있는듯한 느낌입니다 

딜레이가 좀 길고 리모컨 방향키(좌, 우) 버튼으로 되감기나 빨리감긴 지원이 아직 되지 않는 것 같습니다"
1,기대가 됩니다.
2,"기대반,걱정반으로 구독신청 완.료.
앞으로 디즈니플러스만의 많은,오리지널.콘텐츠
기대합니다.
앱 화면에서 볼륨이나 밝기 컨트롤 가능하게
해주세용!"
3,사랑해요
4,"엄청 좋은 컨텐츠에 감각하면서 보고 있는데, 화면의 반을 가리는 자막때문에 거슬립니다. 자막 크기 조정 해주세요"
5,기대됩니다!!
6,감사감사요
7,"최적화는 구리고, 기타 편의기능도 넷플릭스에 비해 부족함(속도조절, 자막조절 등등등)"
8,확인 해야되는데 글자가 없네요???
9,저는 7번째 리뷰 작성자입니다
