,0
0,디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니!디즈니 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니! 디즈니!디즈니!디즈니!디즈니!디즈니!디즈니!디즈니
1,결제방법이 휴대폰 결제 밖에 없나요?..
2,결제까지 다 했는데 무한로딩 걸려서 다음 단계로 안넘어가요..
3,1월31일이랑 7월31일은 언제 추가해줄껀가요?? 상담원은 전화가 아예 되질 않고..
4,고객센터 연결좀 되게 해주세요
5,문의 사항은 제목과 같습니다.
6,너무 좋음 근데 앱이 쓰레기같음 오늘 오류만 5번에 3번 삭제했다가 다시 까는 중
7,구독은 했는데 설치가 안됩니다..
8,결제된 계정으로 로그인했는데 왜 로그인이 안되나요 ㅜ
9,로켓배송 쓰는 겸에 따라오는 덤 치고 영상 라인업이 상당히 좋음 로켓배송 없이 이것만 월 2900원에 팔아도 혜자 소리 들을듯
10,결제를 잘못해서 고객센터에 문의하였더니 친절하게 1부터10까지 알려주고 해결해주심 디즈니 진짜 감사합니다 무한한 감사 평생 이용할께요!!
11,통화 중에 재생 불가. 친구랑 전화하면서 못 봄
12,환불처리 빨리 해주세요~
13,결제를하지않고서는 뭐가있는지 볼수도없네...
14,구독 취소 했는데 99000원 언제 들어오나요 빨리 좀 보내주세요
15,쓰레기. 기업. 디즈니
16,"결제는 완료되었는데 왜 아직도 구독하라고 뜸?
어처구니가 없네
환불해주던지 구독완료처리를 하세요.
한번 써보려고했는데 완전 최악이네."
17,결재 했는데 액세스 권한 없다고 인증을 못하고 있네요 환불해 주세요
18,아니 사이트에서는 앱으로 가라하고 앱은 사이트로 가라하 에라이
19,어플로 영상 재생하는데 5분마다 자꾸 자동으로 나가져요
20,멤버쉽 가입에서 뒤로 안넘어가네요
21,결제해서 잘 쓰고있습니다. 소니도 추가해주면 좋을것같네요
22,결제 전에도 검색이 가능하게 되었으면 좋겠습니다. 뭐가 있는지 알아야 결제를 하니까요. 뭐가 있든 간에 일단 결제부터 하라는건 좀.. 부담스럽네요ㅎㅎ
23,쓰레기수준의 앱
24,탈퇴 메뉴얼좀 만들어주세요
25,환불 요청했더니 하루 기다려서 온 답변이 환불 불가..ㅋㅋㅋ 48시간 지나서 환불 요청했나 비번 잃어버렸는데 비번 찾지도 못하고 사용을 못하는데 환불을 안해주면 어떡합니까. 넷플릭스 만으로도 충분해요. 영어 못하는 제가 들어도 번역 이상한거 진짜 많고요. 볼건 진짜 없어요ㅡ
26,고객센터는 코로나로 인해 전화 받지 않고 1:1 문의는 필수 파라미터 누락이라며 글이 써지지 않는데 어떻게 해야 하나요?
27,마블 덕후로서 너무너무 좋은데요ㅠㅠ 다른앱들과 비교했을때 눈에 띄는 불편한점이 두 가지 있어요! 앱 자체에서 화면밝기 조정이 가능했으면 좋겠고 화면잠금기능도 있으면 더 편리하게 이용 가능할 것 같아요ㅎㅎ
28,"너무 만족하지만 가끔씩 자막 싱크가 안맞네요.
얼른 개선해주셨으면 하고 뉴스 기사에는 위대한 쇼맨도 나온다더니 왜 없나요ㅠ"
29,사기 결제앱.. 시청 안됨
30,환불해주세요 구글 디즈니 서로 권한없다 떠넘김
31,계정관리 할때 핀번호가 안먹히네요.. 답답해서 포기~~ 하나하나 수정해 가시겠죠? 오류 수정 부탁드려요
32,구글 번역기 돌려서 자막 넣는 듯. 한편 보는데 출연진들 이름 표기가 계속 바뀜. 마조리 마저리 이러질 않나ㅡ 마쁘띠 마프띠 마쁘티 마트프띠 이러고 ㅜ ㅜ
33,"결제하고 다른걸로 다시 결제해서 환불 해달라고 했더니 환불 안해준대요,, 연간으로 끊은건데 10만원돈 되는거 날렸네요ㅠ 미친거 아니냐고 왜 환불 안해줌?"
34,결제 단계에서 오류가 자꾸 뜨네요. 카드정보 입력해도 계좌정보 입력해도 다안되네요 ㅋ
35,구독취소 하고싶고 분명 가능하다고 했는데 구글 플레이에서 결제했으니까 구글에 문의하래서 문의했더니 취소 못해준다는 자동메일같은게 왔어요.. 어쩌라는거죠ㅠ 1년구독 일주일밖에 안지났는데 환불안되는거 너무 가혹합니다
36,요금 개비싸게 받네 미친
37,업뎃후 초기화묜에서 안 넘어감 돈내놔라 이놈드라
38,가격 인상
39,너네 월급 구글 포인트로 받아라
40,개별구매좀 풀어주세요.그러면 진짜 좋을것같아요
41,"해지하려다 코인? 준다고 떠서 눌렀는데 갑자기 코인 만료 전까지 해지 못한다고 뜨고,,;; 페이에 돈없는데 어디서 빠져나갈련지 걱정이네요 경고문? 그거는 조금 더 일찍 더 크게 알려줘야하는거아닌가.."
42,금액인상으로 구독취소갑니다
43,"아니 어플 렉 왜이래요?
무슨 클릭 한번에 15초 이상씩 기다려야 
로딩이 다 되질 않나 더빙에서 영어로 바꾸면 거의 20초간 로딩중이질 않나 
어플 관리 이따구로 하실거에요? 
개선 좀 빨리 해주셔야할듯;"
44,"넷플이랑 푹(웨이브)이랑 둘다 5년 넘게 유료 가입 중인데 웨이브만 거의 매일 사용하고 있네요.

티비엔, 엠넷, JTBC 없는 게 정말 아쉽지만, 그래도 거의 매일 잘 쓰고 있습니다!!

넷플은 ‘다음에 봐야지’라고 생각만 하고 실제로 시청은 거의 안 하게 되더라고요. 오징어게임은 너무 재밌게 봤음"
45,"진짜 별 한개도 아깝네요. Ui는 쓰레기고 오늘 갑자기 먹통이고, 껏다켜도 안되고. 짜증나네요"
46,"구글 번역기를 돌린듯한 번역, 가끔 로딩 걸리다가 저절로 꺼지는 앱."
47,가격은오르고 재미는없고 그만봐야겠다
48,처음에 돈없이 제공되는게 돈처벌어먹으려고 죄다 유료로 바꾸는 쓰레기^^
49,금액 X 같아여
50,카드에선 결재까지 끝낫는대 먼계속 가입마무리단계 거치라는 소리만하고 어제결제하고 여태 돈만날리고 못보는중 머가이따구인가요?
51,유효해요
52,"해지 방법도제대로 명시되어있지않고, 해지요청해도 결제가됨. 그딴식으로돈벌어먹으면 기분이매우좋으신가봐요. 다시는이용안함. 이거말고 다른거사용하세요.최악입니다"
53,카카오뱅크로 넷플이나 타 어플도 결제중인데 결제의 폭이 넓어지면 좋겠어요 ㅠ 농협이 있어서 결제후 잘 보고있습니다.
54,아 네이버 가입하고 다시 3000원결재해서 베이직 요금제햇는데도 계속 결제하라고 하네요 술꾼 보려하는데요
55,보는 중간중간 버퍼가 생기는데...왜 그러는거죠ㅜㅅㅜ
56,결재 안하면 들어가지도 못하구만?
57,볼게없어요 무료이벤트라 설치했는데 들어가질 않아요
58,"가격 이정도 하고 이정도면 괜찮아요.
다만 다음 편으로 넘어갈때 자막 계속 다시 설정해야하는 오류 고쳐주세요"
59,환불해주시죠 지금 한달동안 최소 1주일이상 연결불가로 시청을 못하고있는데 돈 받아놓고 뭐하는 건가요 이게. 관리 똑바로 해주시고 환불이 불가능하더라도 1주일 이상 앱 사용 못한 것에 대한 보상은 확실하게 해주세요.
60,쓰레기같은앱이다.준비도 안하고 서비스개통한게 디즈니 주식 꼬라박는 이유를 알겠다.
61,결제가 두번 됩니다. 구글 플레이스토어에서 한번 결제되고 티비랑 계정 연결하면서 결제가 한번 더 진행됬는데 어떻게 해결하나요
62,"연간멤버십 가입했는데
구독 취소 하고 싶습니다
(구독취소시에도 내년까지 구독해야
한다는 내용으로 확인이 됩니다.)"
63,가격 때문애 너쩌구 하는놈들 소직히 ㄸㄹㅇ 임
64,결제하고 이용하는 서비스에 왜계속 오류뜨는거임? 어떻게 보상할건데요
65,너무 쓰레기를 만들었어 내돈 9900 환불 시켜라
66,개별구매는 왜 있는거야!! 이럴거면 가입은 왜 돈주고 하는건지!!! 쓰레기임! 바로삭제 들어간다!
67,결제복구 안되는데 어떻게 된거에요 일 안해요? (오류코드4)
68,이거 진짜 불편한건데 여태 개선을 안해주는 이유도 모르겠고. 영상 초중반까지는 하단에 다음화 넘기기 버튼이 떠있는데 막상 영상 끝날때쯤 되면 자동으로 사라져버림.
69,"티빙 너무너무 좋고 정말 최고의 플랫폼인데
IOS는 구독하기에 왜 베이직 결제권밖에없는지ㅠㅠㅠㅠㅠㅠㅠ제발 스탠다드로 업그레이드하게해주세어여...."
70,가격 손절ㅋㅋ 디즈니로 갈아타요 번창하세요
71,계정삭제 하려고 하면 계속문제가 있다고 최악이다
72,구독취소하는걸 까먹었습니다 환불 좀 해주세요
73,와 어플진짜 쓰레기네
