,0
0,네이버ㅡ오창로또명당 굿~~~~👍👍👍👍👍
1,와우멤버십가입을 한 적이없는데 돈이빠져나갔네요 ㅎ
2,이거 로그인을 하려면 왜 자꾸 반복창이 뜨나요? 로그인 하기 - 아이디 패스워드 입력 - 로그인 하기 이거 왜이러는 걸까요?
3,가입 버튼을 아무리 눌러도 미동조차 없네요ㅠ 그냥 아이콘만 만들어두고 연결을 해두지 않은건가요...? 로딩중이라는 표시도 안뜨고 그냥.. 눌리기만 할 뿐ㅋ
4,카카오 로그인하니까 자꾸 티빙에오신걸 환영합니다 이러면서 회원가입창 뜨는데어떡하죠 이용권 결제해놓고 못쓰고있는데요
5,가입 및 모바일.TV설정 매우 간편하고 좋네요. Tv 자막 사이즈 150%도 넣어 주세요.
6,가입하고 폰 태블릿 pc tv 설치완료 했습니다 넘 기다리던 ott라 반갑고 자잘한 오류같은거는 차차 좋아질거라 보입니다
7,결재까지한 아이디로 로그인한뒤 어플 실행했을때 애플이랑 공유?할거냐고 물어보길래 승인했더니 애플아이디로 따로 결제가 되었습니다 관리를 이따위로 하는건지 참
8,회원가입하고 와우멤버쉽 가입하기 누르면 먹통됨 뭘 보라는건지 말라는건지 모르겠음
9,내가 지금 회원가입이 된건지 않된건지 회원 가입 절차가 넘어가질 않으니... 반복 로그인만 하네... 취소 방법도 없고... 점검 중이면 메인 화면에 공지 하나 띄우시던가...
10,넘넘 좋고 유용해요~^^
11,아니 왜 계속 구독만 뜨는건지 아이디로 결제했는데두 돈내구 볼수가 없네 3명이 같이보는데 내기기만 안되네 갤21+인데 뭐가문제냐
12,아니 사이트에서는 앱으로 가라하고 앱은 사이트로 가라하 에라이
13,이거 계속 로그인해도 얼마남지 않았습니다 이것만 뜨던데....
14,멤버쉽 가입에서 뒤로 안넘어가네요
15,"로그인이 진행이 안됨. 비밀번호가 잘못되었나해서 쿠팡가서 로그인 해보면 제대로 되어있는데, 이 앱에서만 비밀번호가 틀렸다거나 등록되지 않은 아이디라고 나옴 뭐 이래 ㅋㅋ"
16,아직 하나도 안 보고 친구 아이디로 같이 쓰려는데 환불 가능할까요
17,그룹워치 누르면 pc에서만 되고 폰에서는 되질 않아요. 폰에서는 자꾸 어플다운창부터 뜨고. 기존 어플을 켜서 그룹워치 초대장을 눌러도. 로그인창 다시 뜨고 상대가보낸 초대장링크의 그룹워치로 들어가지질 않습니다.
18,무료 체험 기간은 없나요 ?
19,탈퇴 메뉴얼좀 만들어주세요
20,회원가입 그지 같이 안 되네
21,와우 멤버십 30일 무료체험를 사용하려고 해도 사용이 안되네요..
