,0
0,버튼이 에피소드 끝나고 바로뜨면 젛겠어요 왓이프는 언제공개되나요?
1,뒤로가기나 다른 상단바 터치들이 잘 먹히지 않습니다
2,저렴한 가격으로 마블과 디즈니 영화를 볼 수 있다니 최고에요 ㅠㅠㅠㅠ
3,시청기록 지우는 것도 추가하면 좋을 것 같아요
4,영상 배속조절이 없는게 많이 아쉽네요... 요즘 적용 안되는 프로그램이 거의 없는데~ 진짜 그것만 있으면 완전 좋을거 같아요!!
5,"시청중인 콘텐츠 삭제 기능이 없는것, 시인성 문제 등 타 앱들과 비교했을때 부족한 기능과 시스템이 많이 보입니다. 빠른 개선이 필요할듯합니다."
6,"콘텐츠는 좋아요. 그렇지만, 배속 기능이랑 보던 영상을 앱 켜자마자 이어볼 수 있는 기능 추가되면 좋겠어요"
7,왜 이제왔나요 이렇게 꿈잼일걸 난 이제 보네ㅋㅋ 근데 오프닝 건너띄기 다음편 이어보기가 없어서 불편하긴 하지만 딱히 그렇게 큰 지장은 없어요ㅎㅎ
8,좋은 콘텐츠가 많아서 재밌게 보고있어요~!!
9,재생이안됨
10,영상을 보려고하면 검은화면과 소리만 들리네요 다시삭제했다가 깔아도
11,넷플에 없어서 못보던 예능이나 드라마가 있어서 좋습니다. 특히 무한도전.. !! 들어온 거 보고 놀랐었는데 회차도 계속 업데이트 되니까 너무 좋네요 ㅠㅠ
12,"영상을 재생한 후에 화면내에서  컨트롤 할 수 있는 기능을 만들어 주세요 밝기를 조절하거나 볼륨조절, 다음화로 중간에 바로 넘어가거나 하는 기능들이 필요합니다!!"
13,영상마다 화면비 다른건 알고 있어요 근데 좌우에 레터박스가 모든 영상에 일정하게 생깁니다 상하는 원래 생긴다지만 좌우는 없어야죠 다른 ott 앱들은 안 이렇습니다…. 똑같은 프로그램도 티빙만 생겨서 다른 앱을 이용하게 되네요
14,내가 찾던 그 콘텐츠! 웨이브에 없었어!
15,우선 다양한 콘텐츠가 있어 좋지만 자막문제와 공개예정 챕터가 없어 아쉽네요
16,영상 재생이 전반적으로 너무 어두워 시청에 방해될 정도입니다. 개선 요청합니다.
17,지금 많은 분들이 끊기는 현상에 대해 불만을 토로하는데 기계적으로 반복적인 답변만 계속 늘어놓으시고 정작 이루어져야할 업데이트는 없네요. 넷플보다가 갈아탄건데 진짜 돈아까워요. 보라는건지 말란건지. 이 부분에 대해 무슨기기 어떤프로그램에서 그런지 알려달라는것보다 전체적으로 왜 그런 문제가 생기는지 점검을 하세요;
18,영상속도 배속좀 넣어주세요
19,"백그라운 재생, 다음 에피소드 자동 재생 기능이 추가되면 좋겠습니다!! 그래비티 폴즈랑 아울하우스 한글자막 추가도 해주세요!! 오디오는 영어, 자막은 한글로 설정하고 보는데 없어서 너무 아쉽네요ㅠㅠ 또 한글 자막 검수 제대로 해주세요!!"
20,프로그램은 좋습니다! 하나 아쉬운점이 아이들 만화보여주는데 시리즈가있는건 1화에서 2화넘어갈때 버튼을 꼭 눌러줘야되네요. 타 플랫폼은 시간지나면 자동 재생되는데 그부분 업데이트해주시면 좋을것같아요. 애들한테 보여주고서 집안일하는데 계속 다음화 틀어달라고 오고 그러거든요ㅎ 부탁 좀 드립니다~^^!!
21,"영상, 자막설정,재생속도변경기능 모두없음"
22,"와우회원들에게 이런 서비스까지..
쿠팡을 사랑하는 1인인데...넘 좋은 서비스 감사해요~~~~ 원하는것도 많고 다양한 프로그램들 최신이 있어서 좋아여 넷*** 없는게 은근히 많아서 돈아깝다 생각했는데 ㅋㅋㅋ  이거 있어서 여즘 여가시간 잘 즐기고잇네요 ㅎㅎ"
23,오프닝 넘기기랑 배속좀 만들어주세요 ㅜㅠㅠ 특히 배속좀 제발~~
24,검색해도.안나오는.애니가.여러개.있음
25,프로그램도 많고 좋은데 작은 화면에서 다음화로 못 넘기니까 다시 프로그램 들어가서 또 바꾸고 너무 번거로워요
26,다 좋지만 광고 시스템이 별로입니다. 마치 초창기 모습을 보는거 같습니다(광고가 2회 나오는 경우 등). 예전처럼 1개만 나오고 방영중인 프로그램을 한번 더 눌렀을 때 광고가 나오지 않게 해줬으면 좋겠습니다.
27,재생이 안되잖아...
28,재생중 넘기는 화살표가 너무 가운데 몰려있어요.터치드래그로 넘기고싶어요.재생중 다른어플사용할수있게 화면작게해서 빠져나오게해주세요.설정에 아무것도없으니 바꿀수도없네요.
29,너무 좋아요 방송프로그램도 바로바로 볼수 있고 시간 맞추어서 영상 볼필요 없어서 편하네요
30,콘텐츠가 너무 없는데... t플랜 요금제 변경해서 무료로 볼수 있다지만 볼게 없다는게 영.. 아니 왜 웹페이지에서 보는거랑 앱에서 보는 메뉴가 다르냐 =_=.. 웹에서 먼저보고 카테고리 빈약한거 보고 컨텐츠 전혀 없는줄
31,애기가있어서 타요나 뽀로로나 이런 프로그램들 시청하고있었는데 갑자기 없애놓고 없어졌다고 리뷰다니 리뷰도 삭제하나봅니다? jtbc나 이런프로그램도 기존에 다보고있었는데 없어졌는데 돈받고 이런식으로 하는거면 왜 돈을받나요? 푹때부터잘보고있었는데 요금은 더올려받으면서 이런식으로 하나씩 없애나요??
32,"내가 찜한 콘텐츠에서 선택삭제를 할 수 있었으면 좋겠어요ㅠㅠ 하나하나 눌러서 삭제하는 것도 힘들고, 아래로 내려서 삭제하다 보면 스크롤이 맨 위로 올라가 있어서 짜증납니다.. 그리고 TV에서 자막 싱크 좀 맞춰주세요.."
33,제가 잘몰라서 구독 취소도 해보고 연간에서 월간으로 바꿔보고했는데 이미 나간 99000원은 증발하고 추가로 9900원나가서 월간 구독으로 바뀌었어요…어떻게 해요…환불방법도 모르겠고 진짜…
34,"티비로 시청할 때 미드 2~3개 연속 시청하면 다음 에피소드 넘어갈때 갑자기 화면 끊김??화면이상?? 나오는데 언제 개선되는 걸까요??
이런 현상 저만 있는건가요??"
35,영상재생에 문제가 있다는데 도대체 뭐 어쩌자는 건가요
36,보고 싶었던 콘텐츠가 많아서 자주 이용하고 있습니다. 요즘에는 이렇게 된 이상 청와대로 간다 보는 재미로 계속 이용하게 되요.
37,"영상의 많고 적음을 떠나서
기본적인 ott 재생 기능들 구현이 전혀 안되어 있는..."
38,콘텐츠가 다양해서 웨이브앱 너무 좋습니다.
39,콘텐츠 저장기능 사용하지말것. 저장기능 사용하면 바로 앱이 고장나버림. 저장된 콘텐츠 기능 사용할경우에 단순히 재생불가뿐만아니라 앱 자체가 일반적인 기능들도 전부 무한로딩에 앱자체가 뻗음. 노답앱임
40,"집에 TV가 따로 없어 항상 유튜브로 클립 영상만 봐왔었는데, 저렴하고 합리적인 가격에 많은 콘텐츠를 시청할 수 있어 너무 좋은 것 같습니다^^ 이렇게 좋은 서비스를 제공해주셔서 감사드립니다 많이 번창하세요!!"
41,나참~ 영화가 안된다닌까 기다려 달라고만 하고 ~ 본사나 개발은 하는데는 이게 문제 안되남 안 나오는거 왜 프로그램에 올렸지 처음부터TV 만 나온다고 하지
42,일단 사용은 잘하고 있는데 사용할때마다 렉이 너무 많이 걸린다는 점이 아쉽고요 또 방영이 끝난지 오래된 프로그램은 무료화 시켜주시면 안될까요?? 제가 끝난지 오래된 프로그램을 다시 정주행하면서 보고싶은데 다른곳은 안나와서 이곳으로 왔는데 저는 지금 돈이 없는 학생이여서 구매도 못하는데 끝난지 좀 된 프로그램들은 무료화 시켜주시면 안될까요??
43,굿 좋아요 콘텐츠많음
44,"영상을 10분 뒤로가기 하면 영상이 끊겨요 
그리고 영상이 가끔 버벅거려요"
45,서비스 자체는 좋은데… 없는 프로그램이 너무 많네요 ㅡㅡ;; 거침없이 하이킥 꼭 추가되면 좋을 것 같아요.. 그리고 영화 중에 후속작만 올라와있고 1부는 없는 경우가 종종 있는 것 같은데 시리즈물은 전체를 추가해주시면 완벽할 것 같네요!
